exiobase_industry_code,exiobase_industry_name,industry_group_name
PARI,Cultivation of paddy rice,Food and catering
WHEA,Cultivation of wheat,Food and catering
OCER,Cultivation of cereal grains nec,Food and catering
FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering
OILS,Cultivation of oil seeds,Food and catering
SUGB,"Cultivation of sugar cane, sugar beet",Food and catering
FIBR,Cultivation of plant-based fibers,Textile
OTCR,Cultivation of crops nec,Food and catering
CATL,Cattle farming,Food and catering
PIGS,Pigs farming,Food and catering
PLTR,Poultry farming,Food and catering
OMEA,Meat animals nec,Food and catering
OANP,Animal products nec,Food and catering
MILK,Raw milk,Food and catering
WOOL,"Wool, silk-worm cocoons",Textile
MANC,"Manure treatment (conventional), storage and land application",Food and catering
MANB,"Manure treatment (biogas), storage and land application",Food and catering
FORE,"Forestry, logging and related service activities (02)",Food and catering
FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Food and catering
COAL,Mining of coal and lignite; extraction of peat (10),Coal and Petroleum
COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum
GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels
OGPL,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Natural gas and gaseous fuels
ORAN,Mining of uranium and thorium ores (12),Minerals and Metals
IRON,Mining of iron ores,Minerals and Metals
COPO,Mining of copper ores and concentrates,Minerals and Metals
NIKO,Mining of nickel ores and concentrates,Minerals and Metals
ALUO,Mining of aluminium ores and concentrates,Minerals and Metals
PREO,Mining of precious metal ores and concentrates,Minerals and Metals
LZTO,"Mining of lead, zinc and tin ores and concentrates",Minerals and Metals
ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals
STON,Quarrying of stone,Minerals and Metals
SDCL,Quarrying of sand and clay,Minerals and Metals
CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals
PCAT,Processing of meat cattle,Food and catering
PPIG,Processing of meat pigs,Food and catering
PPLT,Processing of meat poultry,Food and catering
POME,Production of meat products nec,Food and catering
VOIL,Processing vegetable oils and fats,Food and catering
DAIR,Processing of dairy products,Food and catering
RICE,Processed rice,Food and catering
SUGR,Sugar refining,Food and catering
OFOD,Processing of Food products nec,Food and catering
BEVR,Manufacture of beverages,Food and catering
FSHP,Manufacture of fish products,Food and catering
TOBC,Manufacture of tobacco products (16),Food and catering
TEXT,Manufacture of textiles (17),Textile
GARM,Manufacture of wearing apparel; dressing and dyeing of fur (18),Textile
LETH,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Textile
WOOD,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Furniture and timber
WOOW,Re-processing of secondary wood material into new wood material,Furniture and timber
PULP,Pulp,Paper Products
PAPR,Re-processing of secondary paper into new pulp,Paper Products
PAPE,Paper,Paper Products
MDIA,"Publishing, printing and reproduction of recorded media (22)",Paper Products
COKE,Manufacture of coke oven products,Coal and Petroleum
REFN,Petroleum Refinery,Coal and Petroleum
NUCF,Processing of nuclear fuel,Chemical
PLAS,"Plastics, basic",Chemical
PLAW,Re-processing of secondary plastic into new plastic,Chemical
NFER,N-fertiliser,Chemical
PFER,P- and other fertiliser,Chemical
CHEM,Chemicals nec,Chemical
RUBP,Manufacture of rubber and plastic products (25),Chemical
GLAS,Manufacture of glass and glass products,Non-metallic mineral products
GLAW,Re-processing of secondary glass into new glass,Non-metallic mineral products
CRMC,Manufacture of ceramic goods,Non-metallic mineral products
BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",Non-metallic mineral products
CMNT,"Manufacture of cement, lime and plaster",Non-metallic mineral products
ASHW,Re-processing of ash into clinker,Non-metallic mineral products
ONMM,Manufacture of other non-metallic mineral products n.e.c.,Non-metallic mineral products
STEL,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Metal Products
STEW,Re-processing of secondary steel into new steel,Metal Products
PREM,Precious metals production,Metal Products
PREW,Re-processing of secondary preciuos metals into new preciuos metals,Metal Products
ALUM,Aluminium production,Metal Products
ALUW,Re-processing of secondary aluminium into new aluminium,Metal Products
LZTP,"Lead, zinc and tin production",Metal Products
LZTW,"Re-processing of secondary lead into new lead, zinc and tin",Metal Products
COPP,Copper production,Metal Products
COPW,Re-processing of secondary copper into new copper,Metal Products
ONFM,Other non-ferrous metal production,Metal Products
ONFW,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,Metal Products
METC,Casting of metals,Metal Products
FABM,"Manufacture of fabricated metal products, except machinery and equipment (28)",Metal Products
MACH,Manufacture of machinery and equipment n.e.c. (29),General and special Machinery
OFMA,Manufacture of office machinery and computers (30),General and special Machinery
ELMA,Manufacture of electrical machinery and apparatus n.e.c. (31),"Electrical, electronic and measuring equipment"
RATV,"Manufacture of radio, television and communication equipment and apparatus (32)","Electrical, electronic and measuring equipment"
MEIN,"Manufacture of medical, precision and optical instruments, watches and clocks (33)","Electrical, electronic and measuring equipment"
MOTO,"Manufacture of motor vehicles, trailers and semi-trailers (34)",Transport Equipment
OTRE,Manufacture of other transport equipment (35),Transport Equipment
FURN,Manufacture of furniture; manufacturing n.e.c. (36),Furniture and timber
RYMS,Recycling of waste and scrap,Waste management and disposal
BOTW,Recycling of bottles by direct reuse,Waste management and disposal
POWC,Production of electricity by coal,Electricity
POWG,Production of electricity by gas,Electricity
POWN,Production of electricity by nuclear,Electricity
POWH,Production of electricity by hydro,Electricity
POWW,Production of electricity by wind,Electricity
POWP,Production of electricity by petroleum and other oil derivatives,Electricity
POWB,Production of electricity by biomass and waste,Electricity
POWS,Production of electricity by solar photovoltaic,Electricity
POWE,Production of electricity by solar thermal,Electricity
POWO,"Production of electricity by tide, wave, ocean",Electricity
POWM,Production of electricity by Geothermal,Electricity
POWZ,Production of electricity nec,Electricity
POWT,Transmission of electricity,Electricity
POWD,Distribution and trade of electricity,Electricity
GASD,Manufacture of gas; distribution of gaseous fuels through mains,Natural gas and gaseous fuels
