exiobase_industry_code,exiobase_industry_name,isic_rev3_division,isic_rev3_description,technology_group,isic_multi_division
ALUM,Aluminium production,27,Manufacture of basic metals,Mid tech,
ALUO,Mining of aluminium ores and concentrates,13,Mining of metal ores,,
ALUW,Re-processing of secondary aluminium into new aluminium,27,Manufacture of basic metals,Mid tech,
ASHW,Re-processing of ash into clinker,26,Manufacture of other non-metallic mineral products,Mid tech,
BOTW,Recycling of bottles by direct reuse,37,Recycling,Low tech,
BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",26,Manufacture of other non-metallic mineral products,Mid tech,
CATL,Cattle farming,01,"Agriculture, hunting and related service activities",,
CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",14,Other mining and quarrying,,14;15
CMNT,"Manufacture of cement, lime and plaster",26,Manufacture of other non-metallic mineral products,Mid tech,
COAL,Mining of coal and lignite; extraction of peat (10),10,Mining of coal and lignite; extraction of peat,,
COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",11,"Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction, excluding surveying",,
COKE,Manufacture of coke oven products,23,"Manufacture of coke, refined petroleum products and nuclear fuel",Mid tech,
COMF,"Composting of food waste, incl. land application",90,"Sewage and refuse disposal, sanitation and similar activities",,
COMP,Computer and related activities (72),72,Computer and related activities,,
COMW,"Composting of paper and wood, incl. land application",90,"Sewage and refuse disposal, sanitation and similar activities",,
CONS,Construction (45),45,Construction,,
CONW,Re-processing of secondary construction material into aggregates,45,Construction,,
COPO,Mining of copper ores and concentrates,13,Mining of metal ores,,
COPP,Copper production,27,Manufacture of basic metals,Mid tech,
COPW,Re-processing of secondary copper into new copper,27,Manufacture of basic metals,Mid tech,
CRMC,Manufacture of ceramic goods,26,Manufacture of other non-metallic mineral products,Mid tech,
EDUC,Education (80),80,Education,,
ELMA,Manufacture of electrical machinery and apparatus n.e.c. (31),31,Manufacture of electrical machinery and apparatus n.e.c.,High tech,
EXTO,Extra-territorial organizations and bodies,93,Other service activities,,93;99
FABM,"Manufacture of fabricated metal products, except machinery and equipment (28)",28,"Manufacture of fabricated metal products, except machinery and equipment",Mid tech,
FAUX,Activities auxiliary to financial intermediation (67),67,Activities auxiliary to financial intermediation,,
FIBR,Cultivation of plant-based fibers,01,"Agriculture, hunting and related service activities",,
FINS,"Insurance and pension funding, except compulsory social security (66)",66,"Insurance and pension funding, except compulsory social security",,
FINT,"Financial intermediation, except insurance and pension funding (65)",65,"Financial intermediation, except insurance and pension funding",,
FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",05,"Fishing,  fish farming and related service activities",,
FORE,"Forestry, logging and related service activities (02)",02,"Forestry, logging and related service activities",,
