BEHOLD;AKTIV;BRANCHE;PRISENHED;TID;INDHOLD
P.51g Gross fixed capital formation;Dwellings;86000 Human health activities;Current prices;2022;0
P.51g Gross fixed capital formation;Dwellings;87880 Residential care;Current prices;2022;0
P.51g Gross fixed capital formation;Buildings other than dwellings;86000 Human health activities;Current prices;2022;8377
P.51g Gross fixed capital formation;Buildings other than dwellings;87880 Residential care;Current prices;2022;3124
P.51g Gross fixed capital formation;Other structures and land improvements;86000 Human health activities;Current prices;2022;0
P.51g Gross fixed capital formation;Other structures and land improvements;87880 Residential care;Current prices;2022;141
P.51g Gross fixed capital formation;Transport equipment;86000 Human health activities;Current prices;2022;199
P.51g Gross fixed capital formation;Transport equipment;87880 Residential care;Current prices;2022;394
P.51g Gross fixed capital formation;ICT equipment, other machinery and equipment and weapon systems;86000 Human health activities;Current prices;2022;6928
P.51g Gross fixed capital formation;ICT equipment, other machinery and equipment and weapon systems;87880 Residential care;Current prices;2022;1006
P.51g Gross fixed capital formation;Cultivated biological resources;86000 Human health activities;Current prices;2022;0
P.51g Gross fixed capital formation;Cultivated biological resources;87880 Residential care;Current prices;2022;0
P.51g Gross fixed capital formation;Intellectual property products;86000 Human health activities;Current prices;2022;3384
P.51g Gross fixed capital formation;Intellectual property products;87880 Residential care;Current prices;2022;256
P.51c Consumption of fixed capital;Dwellings;86000 Human health activities;Current prices;2022;0
P.51c Consumption of fixed capital;Dwellings;87880 Residential care;Current prices;2022;0
P.51c Consumption of fixed capital;Buildings other than dwellings;86000 Human health activities;Current prices;2022;3833
P.51c Consumption of fixed capital;Buildings other than dwellings;87880 Residential care;Current prices;2022;2350
P.51c Consumption of fixed capital;Other structures and land improvements;86000 Human health activities;Current prices;2022;3
P.51c Consumption of fixed capital;Other structures and land improvements;87880 Residential care;Current prices;2022;108
P.51c Consumption of fixed capital;Transport equipment;86000 Human health activities;Current prices;2022;155
P.51c Consumption of fixed capital;Transport equipment;87880 Residential care;Current prices;2022;125
P.51c Consumption of fixed capital;ICT equipment, other machinery and equipment and weapon systems;86000 Human health activities;Current prices;2022;6574
P.51c Consumption of fixed capital;ICT equipment, other machinery and equipment and weapon systems;87880 Residential care;Current prices;2022;989
P.51c Consumption of fixed capital;Cultivated biological resources;86000 Human health activities;Current prices;2022;0
P.51c Consumption of fixed capital;Cultivated biological resources;87880 Residential care;Current prices;2022;0
P.51c Consumption of fixed capital;Intellectual property products;86000 Human health activities;Current prices;2022;2560
P.51c Consumption of fixed capital;Intellectual property products;87880 Residential care;Current prices;2022;217
