# Source: Statistics Denmark StatBank table DRIVHUS, "Greenhouse Gas Accounts (in CO2 equivalents)
# by type of emission, industry and time", unit: 1,000 tonnes CO2e. Retrieved 2026-09-07 via
# https://api.statbank.dk/v1/data (POST, table DRIVHUS, lang=en). Table last updated 2025-09-15.
# Air-emission accounts follow national-accounts residence principles (same industry classification
# as the Danish IO tables, DB07). GHGEXBIO = total greenhouse gases excluding CO2 from biomass,
# consistent with the EXIOBASE/DESIRE GWP characterisation used in this model (biogenic CO2 not
# characterised). N2O for hospital activities (constant ~11 kt CO2e across 2016-2023) is dominated
# by medical (anaesthetic) N2O allocated to industry 860010 in the emission accounts; it is
# subtracted before use as the operational-direct row because anaesthetic gases are added as a
# separate bottom-up item (B_ANAE), mirroring Steenmeijer et al. 2022's use of a national direct-
# emissions figure that excludes medical gases.
industry_code,industry,emtype,year,value_kt_co2e
VQ,Q Human health and social work,GHGEXBIO,2016,233
VQ,Q Human health and social work,GHGEXBIO,2019,196
VQ,Q Human health and social work,GHGEXBIO,2022,171
VQ,Q Human health and social work,GHGEXBIO,2023,181
VQA,QA Human health activities,GHGEXBIO,2016,130
VQA,QA Human health activities,GHGEXBIO,2019,106
VQA,QA Human health activities,GHGEXBIO,2022,92
VQA,QA Human health activities,GHGEXBIO,2023,104
V860010,Hospital activities,GHGEXBIO,2016,86
V860010,Hospital activities,GHGEXBIO,2019,66
V860010,Hospital activities,GHGEXBIO,2022,59
V860010,Hospital activities,N2O,2016,11
V860010,Hospital activities,N2O,2019,11
V860010,Hospital activities,N2O,2022,11
V870000,Residential care activities,GHGEXBIO,2016,26
V870000,Residential care activities,GHGEXBIO,2019,23
V870000,Residential care activities,GHGEXBIO,2022,19
V880000,Social work activities without accommodation,GHGEXBIO,2016,77
V880000,Social work activities without accommodation,GHGEXBIO,2019,67
V880000,Social work activities without accommodation,GHGEXBIO,2022,60
