time,c_dest,c_orig,nace_r2,na_item,unit,value
2021,DK,AR,A,TOTAL,THS_T,64.608
2021,DK,AT,A,TOTAL,THS_T,20.369
2021,DK,AU,A,TOTAL,THS_T,35.296
2021,DK,BE,A,TOTAL,THS_T,53.229
2021,DK,BG,A,TOTAL,THS_T,16.029
2021,DK,BR,A,TOTAL,THS_T,227.628
2021,DK,CA,A,TOTAL,THS_T,48.66
2021,DK,CH,A,TOTAL,THS_T,9.675
2021,DK,CN,A,TOTAL,THS_T,169.687
2021,DK,CY,A,TOTAL,THS_T,1.005
2021,DK,CZ,A,TOTAL,THS_T,21.521
2021,DK,DE,A,TOTAL,THS_T,466.4
2021,DK,DK,A,TOTAL,THS_T,4368.473
2021,DK,EE,A,TOTAL,THS_T,11.656
2021,DK,EL,A,TOTAL,THS_T,17.435
2021,DK,ES,A,TOTAL,THS_T,162.383
2021,DK,EU27_2020,A,TOTAL,THS_T,6581.07
2021,DK,EXT_EU27_2020,A,TOTAL,THS_T,2188.833
2021,DK,FI,A,TOTAL,THS_T,55.92
2021,DK,FR,A,TOTAL,THS_T,163.22
2021,DK,HR,A,TOTAL,THS_T,2.623
2021,DK,HU,A,TOTAL,THS_T,25.864
2021,DK,ID,A,TOTAL,THS_T,21.039
2021,DK,IE,A,TOTAL,THS_T,70.206
2021,DK,IN,A,TOTAL,THS_T,103.691
2021,DK,IT,A,TOTAL,THS_T,111.494
2021,DK,JP,A,TOTAL,THS_T,8.624
2021,DK,KR,A,TOTAL,THS_T,8.155
2021,DK,LT,A,TOTAL,THS_T,39.717
2021,DK,LU,A,TOTAL,THS_T,7.517
2021,DK,LV,A,TOTAL,THS_T,27.27
2021,DK,MT,A,TOTAL,THS_T,0.131
2021,DK,MX,A,TOTAL,THS_T,71.86
2021,DK,NL,A,TOTAL,THS_T,366.165
2021,DK,NO,A,TOTAL,THS_T,83.473
2021,DK,PL,A,TOTAL,THS_T,319.86
2021,DK,PT,A,TOTAL,THS_T,15.445
2021,DK,RO,A,TOTAL,THS_T,14.033
2021,DK,RU,A,TOTAL,THS_T,61.613
2021,DK,SA,A,TOTAL,THS_T,0.683
2021,DK,SE,A,TOTAL,THS_T,213.123
2021,DK,SI,A,TOTAL,THS_T,3.032
2021,DK,SK,A,TOTAL,THS_T,6.95
2021,DK,TR,A,TOTAL,THS_T,38.153
2021,DK,UK,A,TOTAL,THS_T,65.66
2021,DK,US,A,TOTAL,THS_T,132.24
2021,DK,WORLD,A,TOTAL,THS_T,8769.903
2021,DK,WRL_REST,A,TOTAL,THS_T,1009.368
2021,DK,ZA,A,TOTAL,THS_T,28.72
2021,DK,AR,A01,TOTAL,THS_T,63.149
2021,DK,AT,A01,TOTAL,THS_T,20.075
2021,DK,AU,A01,TOTAL,THS_T,35.018
2021,DK,BE,A01,TOTAL,THS_T,51.117
2021,DK,BG,A01,TOTAL,THS_T,15.819
2021,DK,BR,A01,TOTAL,THS_T,227.202
2021,DK,CA,A01,TOTAL,THS_T,46.944
2021,DK,CH,A01,TOTAL,THS_T,9.427
2021,DK,CN,A01,TOTAL,THS_T,158.928
2021,DK,CY,A01,TOTAL,THS_T,0.999
2021,DK,CZ,A01,TOTAL,THS_T,20.971
2021,DK,DE,A01,TOTAL,THS_T,461.651
2021,DK,DK,A01,TOTAL,THS_T,4284.725
2021,DK,EE,A01,TOTAL,THS_T,8.797
2021,DK,EL,A01,TOTAL,THS_T,17.39
2021,DK,ES,A01,TOTAL,THS_T,161.476
2021,DK,EU27_2020,A01,TOTAL,THS_T,6425.818
2021,DK,EXT_EU27_2020,A01,TOTAL,THS_T,2093.134
2021,DK,FI,A01,TOTAL,THS_T,52.8
2021,DK,FR,A01,TOTAL,THS_T,160.885
2021,DK,HR,A01,TOTAL,THS_T,2.359
2021,DK,HU,A01,TOTAL,THS_T,25.415
2021,DK,ID,A01,TOTAL,THS_T,20.217
2021,DK,IE,A01,TOTAL,THS_T,69.821
2021,DK,IN,A01,TOTAL,THS_T,101.965
2021,DK,IT,A01,TOTAL,THS_T,111.269
2021,DK,JP,A01,TOTAL,THS_T,8.059
2021,DK,KR,A01,TOTAL,THS_T,7.513
2021,DK,LT,A01,TOTAL,THS_T,37.681
2021,DK,LU,A01,TOTAL,THS_T,7.505
2021,DK,LV,A01,TOTAL,THS_T,21.01
2021,DK,MT,A01,TOTAL,THS_T,0.118
2021,DK,MX,A01,TOTAL,THS_T,71.685
2021,DK,NL,A01,TOTAL,THS_T,358.017
2021,DK,NO,A01,TOTAL,THS_T,60.05
2021,DK,PL,A01,TOTAL,THS_T,309.21
2021,DK,PT,A01,TOTAL,THS_T,15.16
2021,DK,RO,A01,TOTAL,THS_T,13.898
2021,DK,RU,A01,TOTAL,THS_T,58.931
2021,DK,SA,A01,TOTAL,THS_T,0.639
2021,DK,SE,A01,TOTAL,THS_T,188.245
2021,DK,SI,A01,TOTAL,THS_T,2.972
2021,DK,SK,A01,TOTAL,THS_T,6.433
2021,DK,TR,A01,TOTAL,THS_T,38.035
2021,DK,UK,A01,TOTAL,THS_T,61.944
2021,DK,US,A01,TOTAL,THS_T,126.943
2021,DK,WORLD,A01,TOTAL,THS_T,8518.952
2021,DK,WRL_REST,A01,TOTAL,THS_T,968.242
2021,DK,ZA,A01,TOTAL,THS_T,28.243
2021,DK,AR,A02,TOTAL,THS_T,0.031
2021,DK,AT,A02,TOTAL,THS_T,0.292
2021,DK,AU,A02,TOTAL,THS_T,0.063
2021,DK,BE,A02,TOTAL,THS_T,0.952
2021,DK,BG,A02,TOTAL,THS_T,0.206
2021,DK,BR,A02,TOTAL,THS_T,0.27
2021,DK,CA,A02,TOTAL,THS_T,1.007
2021,DK,CH,A02,TOTAL,THS_T,0.199
2021,DK,CN,A02,TOTAL,THS_T,5.236
2021,DK,CY,A02,TOTAL,THS_T,0
2021,DK,CZ,A02,TOTAL,THS_T,0.176
2021,DK,DE,A02,TOTAL,THS_T,4.384
2021,DK,DK,A02,TOTAL,THS_T,35.358
2021,DK,EE,A02,TOTAL,THS_T,1.247
2021,DK,EL,A02,TOTAL,THS_T,0
2021,DK,ES,A02,TOTAL,THS_T,0.333
2021,DK,EU27_2020,A02,TOTAL,THS_T,83.505
2021,DK,EXT_EU27_2020,A02,TOTAL,THS_T,20.793
2021,DK,FI,A02,TOTAL,THS_T,2.794
2021,DK,FR,A02,TOTAL,THS_T,0.597
2021,DK,HR,A02,TOTAL,THS_T,0.22
2021,DK,HU,A02,TOTAL,THS_T,0.426
2021,DK,ID,A02,TOTAL,THS_T,0.377
2021,DK,IE,A02,TOTAL,THS_T,0.14
2021,DK,IN,A02,TOTAL,THS_T,0.882
2021,DK,IT,A02,TOTAL,THS_T,0.053
2021,DK,JP,A02,TOTAL,THS_T,0.115
2021,DK,KR,A02,TOTAL,THS_T,0.097
2021,DK,LT,A02,TOTAL,THS_T,1.327
2021,DK,LU,A02,TOTAL,THS_T,0.012
2021,DK,LV,A02,TOTAL,THS_T,6.141
2021,DK,MT,A02,TOTAL,THS_T,0
2021,DK,MX,A02,TOTAL,THS_T,0.06
2021,DK,NL,A02,TOTAL,THS_T,0.449
2021,DK,NO,A02,TOTAL,THS_T,0.95
2021,DK,PL,A02,TOTAL,THS_T,3.752
2021,DK,PT,A02,TOTAL,THS_T,0.134
2021,DK,RO,A02,TOTAL,THS_T,0.113
2021,DK,RU,A02,TOTAL,THS_T,1.12
2021,DK,SA,A02,TOTAL,THS_T,0
2021,DK,SE,A02,TOTAL,THS_T,23.832
2021,DK,SI,A02,TOTAL,THS_T,0.056
2021,DK,SK,A02,TOTAL,THS_T,0.511
2021,DK,TR,A02,TOTAL,THS_T,0.019
2021,DK,UK,A02,TOTAL,THS_T,0.168
2021,DK,US,A02,TOTAL,THS_T,1.718
2021,DK,WORLD,A02,TOTAL,THS_T,104.298
2021,DK,WRL_REST,A02,TOTAL,THS_T,8.386
2021,DK,ZA,A02,TOTAL,THS_T,0.095
2021,DK,AR,A03,TOTAL,THS_T,1.428
2021,DK,AT,A03,TOTAL,THS_T,0.002
2021,DK,AU,A03,TOTAL,THS_T,0.215
2021,DK,BE,A03,TOTAL,THS_T,1.16
2021,DK,BG,A03,TOTAL,THS_T,0.004
2021,DK,BR,A03,TOTAL,THS_T,0.156
2021,DK,CA,A03,TOTAL,THS_T,0.709
2021,DK,CH,A03,TOTAL,THS_T,0.049
2021,DK,CN,A03,TOTAL,THS_T,5.523
2021,DK,CY,A03,TOTAL,THS_T,0.006
2021,DK,CZ,A03,TOTAL,THS_T,0.374
2021,DK,DE,A03,TOTAL,THS_T,0.365
2021,DK,DK,A03,TOTAL,THS_T,48.39
2021,DK,EE,A03,TOTAL,THS_T,1.612
