time,c_dest,c_orig,nace_r2,na_item,unit,value
2022,WORLD,AR,A,TOTAL,THS_T,158136.67
2022,WORLD,AT,A,TOTAL,THS_T,8411.2
2022,WORLD,AU,A,TOTAL,THS_T,122524.338
2022,WORLD,BE,A,TOTAL,THS_T,11252.873
2022,WORLD,BG,A,TOTAL,THS_T,6321.083
2022,WORLD,BR,A,TOTAL,THS_T,661576.668
2022,WORLD,CA,A,TOTAL,THS_T,93207.171
2022,WORLD,CH,A,TOTAL,THS_T,6673.164
2022,WORLD,CN,A,TOTAL,THS_T,1026160.917
2022,WORLD,CY,A,TOTAL,THS_T,616.825
2022,WORLD,CZ,A,TOTAL,THS_T,8714.337
2022,WORLD,DE,A,TOTAL,THS_T,65152.876
2022,WORLD,DK,A,TOTAL,THS_T,14035.998
2022,WORLD,EE,A,TOTAL,THS_T,1738.38
2022,WORLD,EL,A,TOTAL,THS_T,9072.86
2022,WORLD,ES,A,TOTAL,THS_T,46491.078
2022,WORLD,EU27_2020,A,TOTAL,THS_T,460191.457
2022,WORLD,EXT_EU27_2020,A,TOTAL,THS_T,6923191.061
2022,WORLD,FI,A,TOTAL,THS_T,7526.218
2022,WORLD,FR,A,TOTAL,THS_T,79226.494
2022,WORLD,HR,A,TOTAL,THS_T,3398.699
2022,WORLD,HU,A,TOTAL,THS_T,8480.685
2022,WORLD,ID,A,TOTAL,THS_T,173663.444
2022,WORLD,IE,A,TOTAL,THS_T,21953.378
2022,WORLD,IN,A,TOTAL,THS_T,902034.078
2022,WORLD,IT,A,TOTAL,THS_T,40510.061
2022,WORLD,JP,A,TOTAL,THS_T,69241.234
2022,WORLD,KR,A,TOTAL,THS_T,38548.82
2022,WORLD,LT,A,TOTAL,THS_T,4169.196
2022,WORLD,LU,A,TOTAL,THS_T,741.676
2022,WORLD,LV,A,TOTAL,THS_T,2952.544
2022,WORLD,MT,A,TOTAL,THS_T,150.503
2022,WORLD,MX,A,TOTAL,THS_T,132895.92
2022,WORLD,NL,A,TOTAL,THS_T,26373.801
2022,WORLD,NO,A,TOTAL,THS_T,6056.069
2022,WORLD,PL,A,TOTAL,THS_T,52235.195
2022,WORLD,PT,A,TOTAL,THS_T,8796.449
2022,WORLD,RO,A,TOTAL,THS_T,20128.299
2022,WORLD,RU,A,TOTAL,THS_T,149864.987
2022,WORLD,SA,A,TOTAL,THS_T,22437.968
2022,WORLD,SE,A,TOTAL,THS_T,7941.211
2022,WORLD,SI,A,TOTAL,THS_T,1922.943
2022,WORLD,SK,A,TOTAL,THS_T,1876.595
2022,WORLD,TR,A,TOTAL,THS_T,82646.788
2022,WORLD,UK,A,TOTAL,THS_T,49073.908
2022,WORLD,US,A,TOTAL,THS_T,518510.464
2022,WORLD,WORLD,A,TOTAL,THS_T,7383382.518
2022,WORLD,WRL_REST,A,TOTAL,THS_T,2660217.45
2022,WORLD,ZA,A,TOTAL,THS_T,49721.003
2022,WORLD,AR,A01,TOTAL,THS_T,156635.956
2022,WORLD,AT,A01,TOTAL,THS_T,8290.498
2022,WORLD,AU,A01,TOTAL,THS_T,121394.079
2022,WORLD,BE,A01,TOTAL,THS_T,10859.179
