time,c_dest,c_orig,prd_ava,ind_use,unit,value
2022,DK,DOM,B2A3G,A01,MIO_EUR,2736.668
2022,DK,AL,CPA_A01,A01,MIO_EUR,0.081
2022,DK,AR,CPA_A01,A01,MIO_EUR,0.129
2022,DK,AT,CPA_A01,A01,MIO_EUR,0.236
2022,DK,AU,CPA_A01,A01,MIO_EUR,0.038
2022,DK,BE,CPA_A01,A01,MIO_EUR,1.015
2022,DK,BG,CPA_A01,A01,MIO_EUR,0.742
2022,DK,BR,CPA_A01,A01,MIO_EUR,0.946
2022,DK,CA,CPA_A01,A01,MIO_EUR,0.189
2022,DK,CH,CPA_A01,A01,MIO_EUR,0.013
2022,DK,CN,CPA_A01,A01,MIO_EUR,0.981
2022,DK,CY,CPA_A01,A01,MIO_EUR,0.01
2022,DK,CZ,CPA_A01,A01,MIO_EUR,0.403
2022,DK,DE,CPA_A01,A01,MIO_EUR,18.353
2022,DK,DK,CPA_A01,A01,MIO_EUR,1825.651
2022,DK,EE,CPA_A01,A01,MIO_EUR,0.367
2022,DK,EL,CPA_A01,A01,MIO_EUR,0.431
2022,DK,ES,CPA_A01,A01,MIO_EUR,12.098
2022,DK,FI,CPA_A01,A01,MIO_EUR,0.201
2022,DK,FR,CPA_A01,A01,MIO_EUR,2.4
2022,DK,HR,CPA_A01,A01,MIO_EUR,0.084
2022,DK,HU,CPA_A01,A01,MIO_EUR,0.249
2022,DK,ID,CPA_A01,A01,MIO_EUR,0.046
2022,DK,IE,CPA_A01,A01,MIO_EUR,0.261
2022,DK,IN,CPA_A01,A01,MIO_EUR,0.272
2022,DK,IT,CPA_A01,A01,MIO_EUR,8.244
2022,DK,JP,CPA_A01,A01,MIO_EUR,0.383
2022,DK,KR,CPA_A01,A01,MIO_EUR,0.023
2022,DK,LT,CPA_A01,A01,MIO_EUR,1.494
2022,DK,LU,CPA_A01,A01,MIO_EUR,0.363
2022,DK,LV,CPA_A01,A01,MIO_EUR,0.612
2022,DK,ME,CPA_A01,A01,MIO_EUR,0.008
2022,DK,MK,CPA_A01,A01,MIO_EUR,0.027
2022,DK,MT,CPA_A01,A01,MIO_EUR,0
2022,DK,MX,CPA_A01,A01,MIO_EUR,0.211
2022,DK,NL,CPA_A01,A01,MIO_EUR,23.276
2022,DK,NO,CPA_A01,A01,MIO_EUR,0.283
2022,DK,PL,CPA_A01,A01,MIO_EUR,6.183
2022,DK,PT,CPA_A01,A01,MIO_EUR,0.424
2022,DK,RO,CPA_A01,A01,MIO_EUR,0.168
2022,DK,RS,CPA_A01,A01,MIO_EUR,0.063
2022,DK,RU,CPA_A01,A01,MIO_EUR,0.36
2022,DK,SA,CPA_A01,A01,MIO_EUR,0.023
2022,DK,SE,CPA_A01,A01,MIO_EUR,9.163
2022,DK,SI,CPA_A01,A01,MIO_EUR,0.166
2022,DK,SK,CPA_A01,A01,MIO_EUR,0.155
2022,DK,TR,CPA_A01,A01,MIO_EUR,0.987
2022,DK,UK,CPA_A01,A01,MIO_EUR,2.419
2022,DK,US,CPA_A01,A01,MIO_EUR,1.529
2022,DK,WRL_REST,CPA_A01,A01,MIO_EUR,10.091
2022,DK,ZA,CPA_A01,A01,MIO_EUR,0.269
2022,DK,AL,CPA_A02,A01,MIO_EUR,0
2022,DK,AR,CPA_A02,A01,MIO_EUR,0
2022,DK,AT,CPA_A02,A01,MIO_EUR,0.003
2022,DK,AU,CPA_A02,A01,MIO_EUR,0.002
2022,DK,BE,CPA_A02,A01,MIO_EUR,0.004
2022,DK,BG,CPA_A02,A01,MIO_EUR,0.001
2022,DK,BR,CPA_A02,A01,MIO_EUR,0.002
2022,DK,CA,CPA_A02,A01,MIO_EUR,0.003
2022,DK,CH,CPA_A02,A01,MIO_EUR,0.004
2022,DK,CN,CPA_A02,A01,MIO_EUR,0.004
2022,DK,CY,CPA_A02,A01,MIO_EUR,0
2022,DK,CZ,CPA_A02,A01,MIO_EUR,0.006
2022,DK,DE,CPA_A02,A01,MIO_EUR,0.061
2022,DK,DK,CPA_A02,A01,MIO_EUR,149.741
2022,DK,EE,CPA_A02,A01,MIO_EUR,0.016
2022,DK,EL,CPA_A02,A01,MIO_EUR,0.001
2022,DK,ES,CPA_A02,A01,MIO_EUR,0.005
2022,DK,FI,CPA_A02,A01,MIO_EUR,0.011
2022,DK,FR,CPA_A02,A01,MIO_EUR,0.02
2022,DK,HR,CPA_A02,A01,MIO_EUR,0
2022,DK,HU,CPA_A02,A01,MIO_EUR,0.002
2022,DK,ID,CPA_A02,A01,MIO_EUR,0
2022,DK,IE,CPA_A02,A01,MIO_EUR,0.001
2022,DK,IN,CPA_A02,A01,MIO_EUR,0.009
2022,DK,IT,CPA_A02,A01,MIO_EUR,0.01
2022,DK,JP,CPA_A02,A01,MIO_EUR,0.001
2022,DK,KR,CPA_A02,A01,MIO_EUR,0.003
2022,DK,LT,CPA_A02,A01,MIO_EUR,0.011
2022,DK,LU,CPA_A02,A01,MIO_EUR,0
2022,DK,LV,CPA_A02,A01,MIO_EUR,0.015
2022,DK,ME,CPA_A02,A01,MIO_EUR,0
2022,DK,MK,CPA_A02,A01,MIO_EUR,0
2022,DK,MT,CPA_A02,A01,MIO_EUR,0
2022,DK,MX,CPA_A02,A01,MIO_EUR,0.002
2022,DK,NL,CPA_A02,A01,MIO_EUR,0.011
2022,DK,NO,CPA_A02,A01,MIO_EUR,0.061
2022,DK,PL,CPA_A02,A01,MIO_EUR,0.016
2022,DK,PT,CPA_A02,A01,MIO_EUR,0.002
2022,DK,RO,CPA_A02,A01,MIO_EUR,0.005
2022,DK,RS,CPA_A02,A01,MIO_EUR,0
2022,DK,RU,CPA_A02,A01,MIO_EUR,0.002
2022,DK,SA,CPA_A02,A01,MIO_EUR,0
2022,DK,SE,CPA_A02,A01,MIO_EUR,0.165
2022,DK,SI,CPA_A02,A01,MIO_EUR,0
2022,DK,SK,CPA_A02,A01,MIO_EUR,0.001
2022,DK,TR,CPA_A02,A01,MIO_EUR,0.002
2022,DK,UK,CPA_A02,A01,MIO_EUR,0.009
2022,DK,US,CPA_A02,A01,MIO_EUR,0.027
2022,DK,WRL_REST,CPA_A02,A01,MIO_EUR,0.119
2022,DK,ZA,CPA_A02,A01,MIO_EUR,0
2022,DK,AL,CPA_A03,A01,MIO_EUR,0
2022,DK,AR,CPA_A03,A01,MIO_EUR,0.026
2022,DK,AT,CPA_A03,A01,MIO_EUR,0.001
2022,DK,AU,CPA_A03,A01,MIO_EUR,0.001
2022,DK,BE,CPA_A03,A01,MIO_EUR,0.003
2022,DK,BG,CPA_A03,A01,MIO_EUR,0
2022,DK,BR,CPA_A03,A01,MIO_EUR,0.002
2022,DK,CA,CPA_A03,A01,MIO_EUR,0.002
2022,DK,CH,CPA_A03,A01,MIO_EUR,0.001
2022,DK,CN,CPA_A03,A01,MIO_EUR,0.005
2022,DK,CY,CPA_A03,A01,MIO_EUR,0
2022,DK,CZ,CPA_A03,A01,MIO_EUR,0.002
2022,DK,DE,CPA_A03,A01,MIO_EUR,0.018
2022,DK,DK,CPA_A03,A01,MIO_EUR,0.644
2022,DK,EE,CPA_A03,A01,MIO_EUR,0.001
2022,DK,EL,CPA_A03,A01,MIO_EUR,0.001
2022,DK,ES,CPA_A03,A01,MIO_EUR,0.005
2022,DK,FI,CPA_A03,A01,MIO_EUR,0.005
2022,DK,FR,CPA_A03,A01,MIO_EUR,0.026
2022,DK,HR,CPA_A03,A01,MIO_EUR,0
2022,DK,HU,CPA_A03,A01,MIO_EUR,0.001
2022,DK,ID,CPA_A03,A01,MIO_EUR,0.001
2022,DK,IE,CPA_A03,A01,MIO_EUR,0.004
2022,DK,IN,CPA_A03,A01,MIO_EUR,0.008
2022,DK,IT,CPA_A03,A01,MIO_EUR,0.003
2022,DK,JP,CPA_A03,A01,MIO_EUR,0.001
2022,DK,KR,CPA_A03,A01,MIO_EUR,0.001
2022,DK,LT,CPA_A03,A01,MIO_EUR,0.002
2022,DK,LU,CPA_A03,A01,MIO_EUR,0
2022,DK,LV,CPA_A03,A01,MIO_EUR,0.001
2022,DK,ME,CPA_A03,A01,MIO_EUR,0
2022,DK,MK,CPA_A03,A01,MIO_EUR,0
2022,DK,MT,CPA_A03,A01,MIO_EUR,0.004
2022,DK,MX,CPA_A03,A01,MIO_EUR,0.001
2022,DK,NL,CPA_A03,A01,MIO_EUR,0.031
2022,DK,NO,CPA_A03,A01,MIO_EUR,2.064
2022,DK,PL,CPA_A03,A01,MIO_EUR,0.024
2022,DK,PT,CPA_A03,A01,MIO_EUR,0.001
2022,DK,RO,CPA_A03,A01,MIO_EUR,0.001
2022,DK,RS,CPA_A03,A01,MIO_EUR,0
2022,DK,RU,CPA_A03,A01,MIO_EUR,0.001
2022,DK,SA,CPA_A03,A01,MIO_EUR,0.001
2022,DK,SE,CPA_A03,A01,MIO_EUR,0.037
2022,DK,SI,CPA_A03,A01,MIO_EUR,0
2022,DK,SK,CPA_A03,A01,MIO_EUR,0
2022,DK,TR,CPA_A03,A01,MIO_EUR,0.002
2022,DK,UK,CPA_A03,A01,MIO_EUR,0.059
2022,DK,US,CPA_A03,A01,MIO_EUR,0.07
2022,DK,WRL_REST,CPA_A03,A01,MIO_EUR,0.371
2022,DK,ZA,CPA_A03,A01,MIO_EUR,0
2022,DK,AL,CPA_B,A01,MIO_EUR,0
2022,DK,AR,CPA_B,A01,MIO_EUR,0
2022,DK,AT,CPA_B,A01,MIO_EUR,0
2022,DK,AU,CPA_B,A01,MIO_EUR,0.018
2022,DK,BE,CPA_B,A01,MIO_EUR,0
2022,DK,BG,CPA_B,A01,MIO_EUR,0
2022,DK,BR,CPA_B,A01,MIO_EUR,0.001
2022,DK,CA,CPA_B,A01,MIO_EUR,0.011
2022,DK,CH,CPA_B,A01,MIO_EUR,0
2022,DK,CN,CPA_B,A01,MIO_EUR,0.002
2022,DK,CY,CPA_B,A01,MIO_EUR,0
2022,DK,CZ,CPA_B,A01,MIO_EUR,0
2022,DK,DE,CPA_B,A01,MIO_EUR,0.108
2022,DK,DK,CPA_B,A01,MIO_EUR,47.905
2022,DK,EE,CPA_B,A01,MIO_EUR,0
2022,DK,EL,CPA_B,A01,MIO_EUR,0
2022,DK,ES,CPA_B,A01,MIO_EUR,0.001
2022,DK,FI,CPA_B,A01,MIO_EUR,0.005
2022,DK,FR,CPA_B,A01,MIO_EUR,0
2022,DK,HR,CPA_B,A01,MIO_EUR,0
2022,DK,HU,CPA_B,A01,MIO_EUR,0
2022,DK,ID,CPA_B,A01,MIO_EUR,0
2022,DK,IE,CPA_B,A01,MIO_EUR,0
2022,DK,IN,CPA_B,A01,MIO_EUR,0.001
2022,DK,IT,CPA_B,A01,MIO_EUR,0.006
2022,DK,JP,CPA_B,A01,MIO_EUR,0.001
2022,DK,KR,CPA_B,A01,MIO_EUR,0
2022,DK,LT,CPA_B,A01,MIO_EUR,0
2022,DK,LU,CPA_B,A01,MIO_EUR,0
2022,DK,LV,CPA_B,A01,MIO_EUR,0
2022,DK,ME,CPA_B,A01,MIO_EUR,0
2022,DK,MK,CPA_B,A01,MIO_EUR,0
2022,DK,MT,CPA_B,A01,MIO_EUR,0
2022,DK,MX,CPA_B,A01,MIO_EUR,0.001
2022,DK,NL,CPA_B,A01,MIO_EUR,0.04
2022,DK,NO,CPA_B,A01,MIO_EUR,1.527
2022,DK,PL,CPA_B,A01,MIO_EUR,0.003
2022,DK,PT,CPA_B,A01,MIO_EUR,0.001
2022,DK,RO,CPA_B,A01,MIO_EUR,0
2022,DK,RS,CPA_B,A01,MIO_EUR,0
2022,DK,RU,CPA_B,A01,MIO_EUR,0.02
2022,DK,SA,CPA_B,A01,MIO_EUR,0
2022,DK,SE,CPA_B,A01,MIO_EUR,0.026
2022,DK,SI,CPA_B,A01,MIO_EUR,0
2022,DK,SK,CPA_B,A01,MIO_EUR,0
2022,DK,TR,CPA_B,A01,MIO_EUR,0.001
2022,DK,UK,CPA_B,A01,MIO_EUR,0.414
2022,DK,US,CPA_B,A01,MIO_EUR,0.64
2022,DK,WRL_REST,CPA_B,A01,MIO_EUR,0.339
2022,DK,ZA,CPA_B,A01,MIO_EUR,0.062
2022,DK,AL,CPA_C10-12,A01,MIO_EUR,0.007
2022,DK,AR,CPA_C10-12,A01,MIO_EUR,4.833
2022,DK,AT,CPA_C10-12,A01,MIO_EUR,9.959
2022,DK,AU,CPA_C10-12,A01,MIO_EUR,2.1
2022,DK,BE,CPA_C10-12,A01,MIO_EUR,23.486
2022,DK,BG,CPA_C10-12,A01,MIO_EUR,1.045
