scope,consuming_country_iso3,model,analysis_year,indicator,unit,sector_code,sector_name,sector_group,national,healthcare,healthcare_vs_sector_ratio_pct,sector_share_of_national_pct
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ALUM,Aluminium production,Metal Products,175.47193266854458,0.24467562150462027,0.13943860866158983,0.29237573605713435
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ALUO,Mining of aluminium ores and concentrates,Minerals and Metals,0.0037020579601086314,0.0001137291909086908,3.072053223752164,6.16846184202863e-06
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ALUW,Re-processing of secondary aluminium into new aluminium,Metal Products,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_ASHW,Re-processing of ash into clinker,Non-metallic mineral products,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_BEVR,Manufacture of beverages,Food and catering,416.2342902292262,5.1155827411931165,1.2290152112109485,0.6935400159287382
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_BIOF,"Biogasification of food waste, incl. land application",Waste management and disposal,0.8363909068403165,0.1498573672908428,17.917144491320197,0.001393615510469432
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_BIOP,"Biogasification of paper, incl. land application",Waste management and disposal,0.06338976947180935,0.010098429337282467,15.930692636093955,0.00010562162407375533
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_BIOS,"Biogasification of sewage slugde, incl. land application",Waste management and disposal,3.648473144230167,1.3321380799275075,36.51220736088467,0.0060791774775967086
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_BOTW,Recycling of bottles by direct reuse,Waste management and disposal,0.0,0.0,,0.0
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_BRIK,"Manufacture of bricks, tiles and construction products, in baked clay",Non-metallic mineral products,46.54849893717143,0.1649148403446509,0.35428605456696627,0.07756027663306135
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_CATL,Cattle farming,Food and catering,291.6841463990883,0.4001444985154095,0.13718417797308857,0.48601144184535483
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_CHEM,Chemicals nec,Chemical,594.3800469521339,1590.048673352611,267.5138039215942,0.9903709447001305
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,5.846674660486726,0.20905645820576652,3.5756471899936866,0.009741875987514198
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_CMNT,"Manufacture of cement, lime and plaster",Non-metallic mineral products,207.83372289043064,0.49199387093888464,0.23672475481674474,0.34629776274457763
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COAL,Mining of coal and lignite; extraction of peat (10),Coal and Petroleum,33.42116586755275,0.21426168600423,0.6410957859858741,0.05568718496348433
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum,3.062754153243736,1.7998486341331643,58.76569075016878,0.005103237801615705
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COKE,Manufacture of coke oven products,Coal and Petroleum,9.152836299877034,0.23346952532412057,2.5507888229931215,0.015250685448606348
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COMF,"Composting of food waste, incl. land application",Waste management and disposal,5.024656325830314,0.9398714260758955,18.705188278137285,0.008372208417364321
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COMP,Computer and related activities (72),Services,1419.7189358659593,35.110269824579596,2.47304370869464,2.365571305652299
"ALL Danish final demand (163 products x 49 regions, 7 FD categories)",DNK,EXIOBASE v3.10.2 IOT_2022_ixi (screened),2022,climate_change,kt CO2eq,A_COMW,"Composting of paper and wood, incl. land application",Waste management and disposal,0.003937459795126495,0.0006692385075914628,16.99670707545505,6.56069428476667e-06
