country_consuming,sector_consuming,analysis,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,ghg_protocol_scope,value,indicator,unit,component_type,analysis_year,model
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,OCER,Cultivation of cereal grains nec,Food and catering,Scope 3,0.000265016966976578,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,Scope 3,0.000256550316754468,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,OILS,Cultivation of oil seeds,Food and catering,Scope 3,0.0135039960468475,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,OTCR,Cultivation of crops nec,Food and catering,Scope 3,0.004898586940954735,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,CATL,Cattle farming,Food and catering,Scope 3,0.001082097632394657,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,PIGS,Pigs farming,Food and catering,Scope 3,4.705098180004298e-05,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,PLTR,Poultry farming,Food and catering,Scope 3,7.972053659289017e-05,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,OMEA,Meat animals nec,Food and catering,Scope 3,0.03438441403240812,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,OANP,Animal products nec,Food and catering,Scope 3,0.000953613721021198,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
DNK,health_and_eldercare,"B L diag(y): impacts attributed along the chain driven by each element of health-care final demand, indexed by the PURCHASED product (Steenmeijer figure 1)",AUT,Austria,Europe,MILK,Raw milk,Food and catering,Scope 3,0.0002029666054305496,climate_change,kt CO2eq,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi
