producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
BRA,America,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,6.121027596509141,1,9.051244647481878,99.74741706284927
DNK,Denmark,POWB,Production of electricity by biomass and waste,blue_water_consumption,Mm3,5.390951816776056,2,7.9716719140843235,99.74741706284927
RoW Asia and Pacific,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,4.390268039856239,3,6.49194754805909,99.74741706284927
RoW Asia and Pacific,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,3.619645345755962,4,5.3524175548956645,99.74741706284927
RoW Middle East,Middle East,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,3.076422053212938,5,4.549146071228178,99.74741706284927
RoW Asia and Pacific,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.772040171298691,6,4.099052547546305,99.74741706284927
IND,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.441854104451524,7,3.6108020335430795,99.74741706284927
RoW Middle East,Middle East,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.87207200908976,8,2.768257696083242,99.74741706284927
RoW Africa,Africa,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.577171134715734,9,2.332183863931611,99.74741706284927
CHN,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.417890566234021,10,2.09665357588975,99.74741706284927
RoW Middle East,Middle East,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,1.340459733293084,11,1.9821555767945633,99.74741706284927
RoW Middle East,Middle East,OCER,Cultivation of cereal grains nec,blue_water_consumption,Mm3,1.310578560483079,12,1.9379698904546934,99.74741706284927
IND,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.302108510643055,13,1.9254451154770174,99.74741706284927
CHN,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.216081803548646,14,1.7982362833239276,99.74741706284927
IND,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.072734401899562,15,1.5862665802880087,99.74741706284927
USA,America,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,0.9012238281020196,16,1.3326516212643171,99.74741706284927
RoW Middle East,Middle East,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,0.9010010774577848,17,1.332322236933898,99.74741706284927
RoW Asia and Pacific,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,0.865203378498695,18,1.2793877049477302,99.74741706284927
CHN,Asia and Pacific,PLAW,Re-processing of secondary plastic into new plastic,blue_water_consumption,Mm3,0.7842143880466705,19,1.159628211173856,99.74741706284927
RoW Africa,Africa,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,0.7448265916473091,20,1.1013849545123204,99.74741706284927
OTH,Other,OTHER,All other pairs,blue_water_consumption,Mm3,24.508588277210823,21,36.24117437208655,99.74741706284927
DNK,Denmark,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,1283.108680576918,1,18.656657190529142,90.19517872485731
DNK,Denmark,HWAT,Steam and hot water supply,climate_change,kt CO2eq,1199.875234132565,2,17.446426209627077,90.19517872485731
RoW Asia and Pacific,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,287.3273721488709,3,4.177797535612361,90.19517872485731
DEU,Europe,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,175.1937495117609,4,2.5473522048769417,90.19517872485731
DNK,Denmark,TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",climate_change,kt CO2eq,168.6981429014315,5,2.4529047838533677,90.19517872485731
RoW Middle East,Middle East,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,120.7395393221021,6,1.7555770828875137,90.19517872485731
CHN,Asia and Pacific,POWC,Production of electricity by coal,climate_change,kt CO2eq,101.677841739387,7,1.478416182448157,90.19517872485731
CHN,Asia and Pacific,CHEM,Chemicals nec,climate_change,kt CO2eq,87.32302291896407,8,1.2696942418839554,90.19517872485731
DNK,Denmark,INCT,Incineration of waste: Textiles,climate_change,kt CO2eq,76.44191767840988,9,1.1114807924699794,90.19517872485731
DNK,Denmark,TAIR,Air transport (62),climate_change,kt CO2eq,72.64945599124002,10,1.0563376400022315,90.19517872485731
DNK,Denmark,INCL,Incineration of waste: Plastic,climate_change,kt CO2eq,71.86834301541703,11,1.044980100896151,90.19517872485731
RoW Middle East,Middle East,TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),climate_change,kt CO2eq,69.9850756802379,12,1.0175970166707675,90.19517872485731
GRC,Europe,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,57.56923281020519,13,0.8370681747541769,90.19517872485731
GBR,Europe,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,52.15565186011598,14,0.7583536235334793,90.19517872485731
RoW Middle East,Middle East,TAIR,Air transport (62),climate_change,kt CO2eq,47.26244215972454,15,0.6872053745008813,90.19517872485731
CHN,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,42.67600678455841,16,0.6205176855963708,90.19517872485731
RoW Middle East,Middle East,POWG,Production of electricity by gas,climate_change,kt CO2eq,42.27456559080087,17,0.6146806502403916,90.19517872485731
JPN,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,41.78296313231526,18,0.6075326520381945,90.19517872485731
DNK,Denmark,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,41.24242027640656,19,0.5996730506559143,90.19517872485731
RoW Middle East,Middle East,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,40.8766351148887,20,0.5943544611497216,90.19517872485731
OTH,Other,OTHER,All other pairs,climate_change,kt CO2eq,2796.7560677227934,21,40.66539334577323,90.19517872485731
RoW Africa,Africa,CATL,Cattle farming,land_use,km2,252.1123473382337,1,5.877651411594199,99.96259627464876
BRA,America,FORE,"Forestry, logging and related service activities (02)",land_use,km2,220.6979583492563,2,5.14526829059729,99.96259627464876
RUS,Europe,FORE,"Forestry, logging and related service activities (02)",land_use,km2,208.6150248415878,3,4.86357137278522,99.96259627464876
BRA,America,SUGB,"Cultivation of sugar cane, sugar beet",land_use,km2,194.5475395540171,4,4.53560736931203,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,OMEA,Meat animals nec,land_use,km2,149.9006713078908,5,3.494727257962133,99.96259627464876
RoW Asia and Pacific,Asia and Pacific,CATL,Cattle farming,land_use,km2,138.8696026908005,6,3.237553118285236,99.96259627464876
DNK,Denmark,OCER,Cultivation of cereal grains nec,land_use,km2,135.9285983853167,7,3.168987662090263,99.96259627464876
AUS,Asia and Pacific,CATL,Cattle farming,land_use,km2,133.3823480969938,8,3.109625350964125,99.96259627464876
CHN,Asia and Pacific,FORE,"Forestry, logging and related service activities (02)",land_use,km2,129.0973079244064,9,3.009725553571986,99.96259627464876
