indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,34.67027952602406,42.50469034421896
blue_water_consumption,Mm3,America,16.733818277962836,20.515143630363703
blue_water_consumption,Mm3,Middle East,12.194306026793114,14.949842017928605
blue_water_consumption,Mm3,Denmark,7.212472378642119,8.84226805383279
blue_water_consumption,Mm3,Europe,5.5870229421699396,6.849517320006843
blue_water_consumption,Mm3,Africa,5.013427201643561,6.14630668348641
blue_water_consumption,Mm3,Unallocated,0.1568,0.1922319501626999
climate_change,kt CO2eq,Denmark,2603.22341543615,41.63017855567281
climate_change,kt CO2eq,Asia and Pacific,1307.0253689947772,20.90166336296974
climate_change,kt CO2eq,Europe,1117.7117894409143,17.874202072821326
climate_change,kt CO2eq,Middle East,438.44731922135804,7.011553475667829
climate_change,kt CO2eq,America,406.46427805151296,6.500087687998963
climate_change,kt CO2eq,Unallocated,220.13563306059416,3.5203608174533887
climate_change,kt CO2eq,Africa,160.20442248454702,2.5619540274159456
land_use,km2,Asia and Pacific,1455.661963532886,28.44938035981374
land_use,km2,America,1373.4282579640633,26.84220917121827
land_use,km2,Europe,1078.9648491679345,21.087231897128675
land_use,km2,Africa,741.8339437139784,14.498363326962647
land_use,km2,Denmark,377.11626551371035,7.370340330548641
land_use,km2,Middle East,88.19452309283892,1.7236690907489431
land_use,km2,Unallocated,1.4739,0.028805823579096466
material_extraction,kt,Asia and Pacific,4039.0485316966797,53.47590542669929
material_extraction,kt,Denmark,1535.1257076586867,20.32464738084401
material_extraction,kt,Europe,826.534279792283,10.943089351672192
material_extraction,kt,America,529.6411558346174,7.012305036008584
material_extraction,kt,Middle East,474.5762579589024,6.283260745497017
material_extraction,kt,Africa,125.46151538288406,1.6610763843650012
material_extraction,kt,Unallocated,22.6376,0.2997156749138952
waste_generation,kt,Denmark,176.6162857609926,49.39375129988185
waste_generation,kt,Europe,59.57623189486774,16.66150756664314
waste_generation,kt,Asia and Pacific,58.035906846023785,16.230729441875326
waste_generation,kt,America,35.1307248839055,9.824905333183281
waste_generation,kt,Africa,23.211643502769025,6.491531296206826
waste_generation,kt,Middle East,4.997282248538894,1.3975750622095813
