indicator,unit,producing_sector_group,value
material_extraction,kt,Minerals and Metals,5468.383632046056
land_use,km2,Food and catering,4041.2105485067445
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",1310.9396824108112
climate_change,kt CO2eq,Transport,1007.9820106588401
climate_change,kt CO2eq,Private travel,541.0577101256928
climate_change,kt CO2eq,Food and catering,453.3779810943673
climate_change,kt CO2eq,Electricity,408.9926193245042
climate_change,kt CO2eq,Coal and Petroleum,399.3681876487321
climate_change,kt CO2eq,Services,342.6800055517726
climate_change,kt CO2eq,Chemical,311.62969234975463
climate_change,kt CO2eq,Waste management and disposal,299.2702163816399
climate_change,kt CO2eq,Operational impact,195.9599983729744
climate_change,kt CO2eq,Natural gas and gaseous fuels,102.49063214319072
climate_change,kt CO2eq,Minerals and Metals,81.64798603867028
climate_change,kt CO2eq,Metal Products,78.0050647218232
waste_generation,kt,Waste management and disposal,72.42059574038755
climate_change,kt CO2eq,Non-metallic mineral products,63.34350571334362
blue_water_consumption,Mm3,Food and catering,54.24710453289001
waste_generation,kt,Food and catering,51.78171681502571
waste_generation,kt,Operational impact,49.10282360999154
waste_generation,kt,Chemical,43.99840363131562
waste_generation,kt,"Steam, hot water supply and water distribution",37.39724276780394
material_extraction,kt,Chemical,29.563260572125607
material_extraction,kt,Private travel,24.654016494832803
land_use,km2,Services,22.936766741681193
land_use,km2,Transport,22.3214017698838
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",18.590089817740104
material_extraction,kt,Food and catering,18.27055362756647
climate_change,kt CO2eq,Paper Products,16.77953256363284
material_extraction,kt,Services,14.857849312990703
climate_change,kt CO2eq,Textile,14.50711898479128
land_use,km2,Textile,12.272932780762108
waste_generation,kt,Electricity,12.157555140977632
waste_generation,kt,Paper Products,12.020425509407222
land_use,km2,Furniture and timber,10.567582688760709
material_extraction,kt,Non-metallic mineral products,10.309635752194998
climate_change,kt CO2eq,Furniture and timber,9.543749538208287
waste_generation,kt,Coal and Petroleum,8.614334495394532
waste_generation,kt,Services,8.263795087679094
land_use,km2,Paper Products,7.393825070469006
waste_generation,kt,Transport,6.638441321681143
blue_water_consumption,Mm3,Electricity,5.94154019643332
material_extraction,kt,Transport,5.6883739899516685
land_use,km2,Waste management and disposal,5.224957034198081
waste_generation,kt,Metal Products,4.807781259478725
land_use,km2,Minerals and Metals,3.829015238605234
climate_change,kt CO2eq,Construction,3.6086683545245566
material_extraction,kt,Coal and Petroleum,3.1163873861357994
waste_generation,kt,Construction,3.086610022924747
climate_change,kt CO2eq,Transport Equipment,2.957317277505282
climate_change,kt CO2eq,General and special Machinery,2.6944803153024
material_extraction,kt,Construction,2.5102307189415756
blue_water_consumption,Mm3,Chemical,2.2245512113768218
material_extraction,kt,Natural gas and gaseous fuels,2.206981939868908
material_extraction,kt,Metal Products,1.8485458480693548
land_use,km2,Private travel,1.604972599752538
land_use,km2,Electricity,1.2464606827355484
waste_generation,kt,"Electrical, electronic and measuring equipment",1.1286059360713152
waste_generation,kt,Non-metallic mineral products,1.1211514889573428
waste_generation,kt,Furniture and timber,1.0768389949416177
material_extraction,kt,Waste management and disposal,0.8230783661241506
blue_water_consumption,Mm3,Metal Products,0.7564162291438429
waste_generation,kt,Textile,0.49213842057943397
waste_generation,kt,General and special Machinery,0.4498700266878896
blue_water_consumption,Mm3,Minerals and Metals,0.4227063076987463
blue_water_consumption,Mm3,Textile,0.37751547463030777
land_use,km2,Construction,0.3754290509921901
waste_generation,kt,Minerals and Metals,0.36999684098478897
blue_water_consumption,Mm3,Paper Products,0.3696770430127404
blue_water_consumption,Mm3,Services,0.36176473729913944
material_extraction,kt,Electricity,0.31333720886420713
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.2921729937624391
land_use,km2,Chemical,0.27892596232487754
land_use,km2,Non-metallic mineral products,0.2421102966407684
land_use,km2,Metal Products,0.22788649338152805
material_extraction,kt,"Electrical, electronic and measuring equipment",0.2217736292798606
land_use,km2,"Steam, hot water supply and water distribution",0.1902122847716555
land_use,km2,Coal and Petroleum,0.17493267882675556
waste_generation,kt,Transport Equipment,0.1728772369740319
blue_water_consumption,Mm3,Private travel,0.17124519106882052
waste_generation,kt,Natural gas and gaseous fuels,0.11418396195513206
blue_water_consumption,Mm3,General and special Machinery,0.10734168773566982
land_use,km2,General and special Machinery,0.10548318472250244
material_extraction,kt,Paper Products,0.08877845106063899
blue_water_consumption,Mm3,Non-metallic mineral products,0.075202813804733
material_extraction,kt,General and special Machinery,0.07392209710059688
blue_water_consumption,Mm3,Coal and Petroleum,0.059595401029160326
material_extraction,kt,Furniture and timber,0.05484719835064295
blue_water_consumption,Mm3,Furniture and timber,0.049535758798428704
material_extraction,kt,Transport Equipment,0.04390925941346217
blue_water_consumption,Mm3,Transport,0.04265698882966717
blue_water_consumption,Mm3,Waste management and disposal,0.039375680707925555
material_extraction,kt,Textile,0.027765412443430455
land_use,km2,Natural gas and gaseous fuels,0.023210365986997734
material_extraction,kt,"Steam, hot water supply and water distribution",0.020378075910748573
land_use,km2,Transport Equipment,0.020156069840163895
blue_water_consumption,Mm3,Transport Equipment,0.008116967050646545
land_use,km2,"Electrical, electronic and measuring equipment",0.004314781803468866
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.0029551503863575997
blue_water_consumption,Mm3,Construction,0.001336568290558012
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.0008054396059680764
