country_consuming,sector_consuming,analysis,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,Total (MEUR),value,indicator,unit,component_type,analysis_year,model
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OCER,Cultivation of cereal grains nec,Food and catering,0.0003333246190005587,0.7948371836763601,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,0.001517019902453973,0.1689374122172503,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OILS,Cultivation of oil seeds,Food and catering,0.02513838035529752,0.5369734203193799,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OTCR,Cultivation of crops nec,Food and catering,0.0002573784654586382,19.0315703260423,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,CATL,Cattle farming,Food and catering,0.000281920536899049,3.837578899514854,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PIGS,Pigs farming,Food and catering,6.885696205484848e-05,0.682883304194414,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PLTR,Poultry farming,Food and catering,0.0001898869045507407,0.4194624797144849,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OMEA,Meat animals nec,Food and catering,0.006029080125032829,5.702891396966372,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OANP,Animal products nec,Food and catering,0.008948294606140978,0.1063791399257528,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,MILK,Raw milk,Food and catering,0.0001135440251962799,1.787256235299098,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,FORE,"Forestry, logging and related service activities (02)",Food and catering,3.788830859028265e-05,0.4670520818225457,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2016,EXIOBASE v3.7 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022)
