indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,20.216885053087896,44.875559851485846
blue_water_consumption,Mm3,imported,24.834107335631035,55.124440148514154
climate_change,kt CO2eq,domestic,2988.55971539425,81.05978303775993
climate_change,kt CO2eq,imported,698.2990490834372,18.94021696224006
land_use,km2,domestic,1448.2919496490035,50.66503040568062
land_use,km2,imported,1410.2713198336482,49.334969594319375
material_extraction,kt,domestic,1947.4416266744456,80.3000289551863
material_extraction,kt,imported,477.7650040246169,19.699971044813687
waste_generation,kt,domestic,183.84749179300158,80.34497973909092
waste_generation,kt,imported,44.97513332934034,19.65502026090908
