indicator,unit,contribution_group,value,share_pct
blue_water_consumption,Mm3,Pharmaceuticals and chemical products,17.155790941431622,33.106035318719734
blue_water_consumption,Mm3,Food and food services,16.628964284278005,32.08940239412225
blue_water_consumption,Mm3,Services,9.480173134697328,18.29416945545254
blue_water_consumption,Mm3,Transport,3.0111577676541508,5.8107198756688065
blue_water_consumption,Mm3,"Medical, electrical equipment and machinery",2.550320247308372,4.921428132907255
blue_water_consumption,Mm3,Other,2.4638593241565547,4.754581941710061
blue_water_consumption,Mm3,Heat and electricity,0.3736696324722284,0.721081300908316
blue_water_consumption,Mm3,Individual travel,0.1568,0.3025815805110337
climate_change,kt CO2eq,Transport,757.3804832911318,19.53744503688187
climate_change,kt CO2eq,Pharmaceuticals and chemical products,734.5684549894798,18.948984205165402
climate_change,kt CO2eq,Services,565.9790136285213,14.600038045270459
climate_change,kt CO2eq,Individual travel,541.0577101256927,13.957166188686314
climate_change,kt CO2eq,Other,440.4231284690381,11.361188801755524
climate_change,kt CO2eq,Food and food services,375.33009076542794,9.682043808618555
climate_change,kt CO2eq,"Medical, electrical equipment and machinery",196.57714818440795,5.070919191726185
climate_change,kt CO2eq,Operational impacts,195.72222862199442,5.048865621123166
climate_change,kt CO2eq,Heat and electricity,69.5202267281509,1.7933491007725284
land_use,km2,Food and food services,1269.053169506194,40.27229419271397
land_use,km2,Pharmaceuticals and chemical products,767.4471830654105,24.354266217077498
land_use,km2,Services,542.3412744110678,17.21072676918076
land_use,km2,Transport,206.70786512909797,6.559693601857588
land_use,km2,Other,199.79793160160494,6.340412895140171
land_use,km2,"Medical, electrical equipment and machinery",132.50868724844983,4.205047482790949
land_use,km2,Heat and electricity,31.851700796205602,1.0107859117535838
land_use,km2,Individual travel,1.4739,0.04677292948548236
material_extraction,kt,Pharmaceuticals and chemical products,1165.3062207787752,40.585953079965016
material_extraction,kt,Other,976.393290982436,34.00638526491556
material_extraction,kt,Services,293.89370825029425,10.235898548256188
material_extraction,kt,"Medical, electrical equipment and machinery",168.07800169246622,5.853916995230514
material_extraction,kt,Transport,119.74844847703771,4.170667610475509
material_extraction,kt,Food and food services,106.46306644771461,3.707956709188833
material_extraction,kt,Individual travel,22.6376,0.7884353100157674
material_extraction,kt,Heat and electricity,18.685418926196732,0.6507864819526102
waste_generation,kt,Pharmaceuticals and chemical products,78.07038644610186,30.129763149131264
waste_generation,kt,Operational impacts,49.10282360999154,18.950289766325174
waste_generation,kt,Other,40.348621111771166,15.571773790706061
waste_generation,kt,Services,30.222043883525274,11.663616200003249
waste_generation,kt,Food and food services,28.509167674193545,11.002564592085614
waste_generation,kt,Heat and electricity,11.941306377584171,4.608517380610281
waste_generation,kt,Transport,11.94041566636506,4.608173627757403
waste_generation,kt,"Medical, electrical equipment and machinery",8.979075786339385,3.465301493380957
