indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,24.535112451854356,47.33982612690496
blue_water_consumption,Mm3,Middle East,11.641912279900886,22.462750239953916
blue_water_consumption,Mm3,Europe,5.253857642081584,10.137174131959405
blue_water_consumption,Mm3,Denmark,4.535707637855617,8.751523407928431
blue_water_consumption,Mm3,America,3.3999428504093467,6.5600964208186205
blue_water_consumption,Mm3,Africa,2.2974024698965034,4.432775015066317
blue_water_consumption,Mm3,Unallocated,0.1637,0.31585465736834784
climate_change,kt CO2eq,Denmark,1497.959108938969,38.397236994083634
climate_change,kt CO2eq,Europe,946.7779745868495,24.268792154640117
climate_change,kt CO2eq,Asia and Pacific,721.2250504897314,18.487186348724585
climate_change,kt CO2eq,Middle East,230.7993563967998,5.916087784216651
climate_change,kt CO2eq,Unallocated,230.1477330605942,5.89938470098704
climate_change,kt CO2eq,America,164.67840332412865,4.2212071361031285
climate_change,kt CO2eq,Africa,109.62825800677152,2.8101048812448304
land_use,km2,Asia and Pacific,898.6841455463386,28.518356606434708
land_use,km2,Europe,882.7614968793271,28.01307588566628
land_use,km2,Africa,503.33070945374703,15.972424498982766
land_use,km2,America,431.53481406402494,13.694092386694711
land_use,km2,Denmark,315.0177291105054,9.996602232991558
land_use,km2,Middle East,118.37891670408764,3.7565725154728757
land_use,km2,Unallocated,1.5402,0.048875873757100674
material_extraction,kt,Denmark,1728.5739870550242,60.18247596166148
material_extraction,kt,Europe,490.8668007854403,17.09014462781399
material_extraction,kt,Asia and Pacific,337.47562670347327,11.749638108537559
material_extraction,kt,Middle East,145.61479577621418,5.069762134622066
material_extraction,kt,America,103.09985688144708,3.589551101014524
material_extraction,kt,Africa,42.93708835332261,1.4949086975964754
material_extraction,kt,Unallocated,23.6533,0.8235193687539011
waste_generation,kt,Denmark,158.8176189059767,61.29260350017131
waste_generation,kt,Europe,53.51725553474307,20.653954809952847
waste_generation,kt,Asia and Pacific,26.377419958524467,10.179857587667833
waste_generation,kt,Africa,10.594482662221209,4.088736687894813
waste_generation,kt,America,6.729989110126454,2.5973097753824095
waste_generation,kt,Middle East,3.0770743842800585,1.1875376389307761
