indicator,unit,producing_sector_group,value
land_use,km2,Food and catering,2821.983065022806
material_extraction,kt,Minerals and Metals,2172.98716708055
climate_change,kt CO2eq,Transport,807.0401712260114
climate_change,kt CO2eq,Private travel,541.0577101256928
climate_change,kt CO2eq,Food and catering,392.2069390800656
climate_change,kt CO2eq,Waste management and disposal,313.8006069153781
climate_change,kt CO2eq,Coal and Petroleum,293.45313158842924
climate_change,kt CO2eq,Electricity,251.95983471030897
climate_change,kt CO2eq,Services,229.25560774813607
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",208.54705542408436
climate_change,kt CO2eq,Operational impact,195.9599983729744
climate_change,kt CO2eq,Chemical,161.71203718581248
material_extraction,kt,Non-metallic mineral products,113.15913556361913
climate_change,kt CO2eq,Metal Products,66.89217895338814
climate_change,kt CO2eq,Natural gas and gaseous fuels,65.72725126938009
climate_change,kt CO2eq,Minerals and Metals,51.47110120283017
climate_change,kt CO2eq,Non-metallic mineral products,50.370616064177526
waste_generation,kt,Operational impact,49.10282360999154
waste_generation,kt,Waste management and disposal,38.66915916913706
blue_water_consumption,Mm3,Food and catering,38.11681088277877
waste_generation,kt,Food and catering,37.665988063302
waste_generation,kt,Chemical,37.573152799049446
material_extraction,kt,Food and catering,30.690245120005034
material_extraction,kt,Private travel,24.654016494832803
material_extraction,kt,Chemical,22.40913622925999
material_extraction,kt,Services,19.47912766318901
waste_generation,kt,Electricity,18.081292698733513
material_extraction,kt,Transport,16.023628713567533
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",14.937266721848811
climate_change,kt CO2eq,Paper Products,14.92729684007831
waste_generation,kt,Paper Products,12.503041470557909
climate_change,kt CO2eq,Textile,10.950685165972551
waste_generation,kt,Coal and Petroleum,8.859377099108334
land_use,km2,Furniture and timber,8.67230281866704
waste_generation,kt,Services,7.467944802577965
land_use,km2,Services,7.377474025365235
climate_change,kt CO2eq,Furniture and timber,6.676948121752668
land_use,km2,Textile,5.790106738644388
waste_generation,kt,"Steam, hot water supply and water distribution",5.4287659643687824
land_use,km2,Paper Products,5.3935365514200875
material_extraction,kt,Electricity,5.117528507069121
climate_change,kt CO2eq,Construction,4.132415171204285
material_extraction,kt,Coal and Petroleum,4.003043970202885
waste_generation,kt,Metal Products,3.7966641525872924
material_extraction,kt,Construction,3.6356053525477394
material_extraction,kt,Metal Products,3.496853158785179
blue_water_consumption,Mm3,Electricity,3.4746532526343477
land_use,km2,Transport,3.4086312768483715
waste_generation,kt,Transport,3.3575012057433127
climate_change,kt CO2eq,General and special Machinery,3.292748110216381
material_extraction,kt,Natural gas and gaseous fuels,3.2506581959025906
climate_change,kt CO2eq,Transport Equipment,2.487164479943106
waste_generation,kt,Construction,2.4019505074425003
material_extraction,kt,"Electrical, electronic and measuring equipment",1.849111403166697
material_extraction,kt,"Steam, hot water supply and water distribution",1.6675762859695162
material_extraction,kt,Waste management and disposal,1.6614852853826643
land_use,km2,Private travel,1.604972599752538
blue_water_consumption,Mm3,Chemical,1.3175982090004914
land_use,km2,Electricity,1.1464792627214686
waste_generation,kt,"Electrical, electronic and measuring equipment",0.9691662851796123
land_use,km2,Waste management and disposal,0.911284541931657
waste_generation,kt,Furniture and timber,0.8249977936102512
land_use,km2,Coal and Petroleum,0.8233950798528376
waste_generation,kt,Non-metallic mineral products,0.8023066541256295
blue_water_consumption,Mm3,Metal Products,0.67385904314684
waste_generation,kt,Textile,0.38426399941680683
blue_water_consumption,Mm3,Paper Products,0.3715299191818637
waste_generation,kt,General and special Machinery,0.3471680720887752
material_extraction,kt,General and special Machinery,0.34125958736183143
land_use,km2,Chemical,0.33052393710474515
land_use,km2,Minerals and Metals,0.30656099763109296
material_extraction,kt,Paper Products,0.2811969455046011
material_extraction,kt,Furniture and timber,0.26395057804950534
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.21489417588160967
waste_generation,kt,Transport Equipment,0.20782162608207752
blue_water_consumption,Mm3,Services,0.20659357109415571
waste_generation,kt,Minerals and Metals,0.2065792328487061
land_use,km2,General and special Machinery,0.20394700491762222
blue_water_consumption,Mm3,Textile,0.18633924487059197
land_use,km2,Construction,0.17736036441396608
waste_generation,kt,Natural gas and gaseous fuels,0.1726599163903026
blue_water_consumption,Mm3,Private travel,0.17124519106882052
land_use,km2,Metal Products,0.157282785342505
material_extraction,kt,Transport Equipment,0.1442285251124594
land_use,km2,"Steam, hot water supply and water distribution",0.13493634890088083
blue_water_consumption,Mm3,General and special Machinery,0.09565509209933142
material_extraction,kt,Textile,0.09167603898480205
land_use,km2,Non-metallic mineral products,0.08124964009086937
blue_water_consumption,Mm3,Non-metallic mineral products,0.07552600405316039
blue_water_consumption,Mm3,Furniture and timber,0.04522745663847426
land_use,km2,Natural gas and gaseous fuels,0.035928118515112815
blue_water_consumption,Mm3,Transport,0.03401606358611926
blue_water_consumption,Mm3,Coal and Petroleum,0.023121434362184643
land_use,km2,Transport Equipment,0.01851361925192504
blue_water_consumption,Mm3,Minerals and Metals,0.017015551669115468
blue_water_consumption,Mm3,Waste management and disposal,0.012355739668266055
blue_water_consumption,Mm3,Transport Equipment,0.007838801215830683
land_use,km2,"Electrical, electronic and measuring equipment",0.0057187484734405455
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.0038848048648786847
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.0016428069760322961
blue_water_consumption,Mm3,Construction,0.0011851439280550825
