indicator,unit,producing_sector_group,value
land_use,km2,Food and catering,5055.506365260139
material_extraction,kt,Minerals and Metals,4712.018549545492
climate_change,kt CO2eq,Transport,1125.4528041556916
material_extraction,kt,Non-metallic mineral products,612.9020443282185
climate_change,kt CO2eq,Food and catering,571.1756463413674
climate_change,kt CO2eq,Private travel,541.0577101256928
climate_change,kt CO2eq,Coal and Petroleum,516.376966169092
climate_change,kt CO2eq,Electricity,501.38135959154647
climate_change,kt CO2eq,Waste management and disposal,448.330953798983
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",361.4849607278574
climate_change,kt CO2eq,Non-metallic mineral products,290.3344334356707
climate_change,kt CO2eq,Chemical,279.93122689344244
climate_change,kt CO2eq,Services,206.28794929589947
climate_change,kt CO2eq,Metal Products,204.46399145607324
climate_change,kt CO2eq,Operational impact,195.72222862199442
climate_change,kt CO2eq,Natural gas and gaseous fuels,126.42767860031357
climate_change,kt CO2eq,Minerals and Metals,115.18087477725393
waste_generation,kt,Chemical,64.49792788824732
blue_water_consumption,Mm3,Food and catering,59.60566348244956
waste_generation,kt,Food and catering,53.051226680846845
waste_generation,kt,Waste management and disposal,51.62733478289383
land_use,km2,Furniture and timber,51.10712341582156
waste_generation,kt,Operational impact,49.10282360999154
material_extraction,kt,Food and catering,47.45834429375475
climate_change,kt CO2eq,Construction,46.11092023397016
material_extraction,kt,Construction,41.352466241189546
material_extraction,kt,Chemical,40.70801816166596
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",33.102591439988345
material_extraction,kt,Services,31.613558588819934
waste_generation,kt,Electricity,30.08166668884827
climate_change,kt CO2eq,Furniture and timber,25.697671602276916
climate_change,kt CO2eq,Paper Products,24.21536383324865
waste_generation,kt,Construction,23.588632481138987
material_extraction,kt,Private travel,22.6376
material_extraction,kt,Transport,22.189227557930273
climate_change,kt CO2eq,Textile,19.508298888546747
waste_generation,kt,Paper Products,18.84935670085933
waste_generation,kt,Coal and Petroleum,14.977682019102389
climate_change,kt CO2eq,General and special Machinery,13.803387012715145
waste_generation,kt,Metal Products,12.812976688610345
land_use,km2,Textile,12.42606014174375
land_use,km2,Services,12.010596967428825
waste_generation,kt,Services,10.88717074094991
climate_change,kt CO2eq,Transport Equipment,10.711613579426581
material_extraction,kt,Electricity,10.231549486505786
material_extraction,kt,Metal Products,10.046399392876532
waste_generation,kt,"Steam, hot water supply and water distribution",9.466635032553606
land_use,km2,Paper Products,7.989289675521421
material_extraction,kt,Coal and Petroleum,6.952036690540415
material_extraction,kt,Natural gas and gaseous fuels,6.557898289548691
blue_water_consumption,Mm3,Electricity,5.619276948314281
waste_generation,kt,Transport,4.882725286040408
land_use,km2,Transport,4.820303000630196
waste_generation,kt,Non-metallic mineral products,4.6367812974533855
waste_generation,kt,Furniture and timber,4.204784634042291
material_extraction,kt,"Electrical, electronic and measuring equipment",3.649487659110875
material_extraction,kt,Waste management and disposal,3.441990316255896
material_extraction,kt,"Steam, hot water supply and water distribution",3.409174349010654
land_use,km2,Construction,3.1112473833521306
blue_water_consumption,Mm3,Chemical,2.5455648956065273
waste_generation,kt,"Electrical, electronic and measuring equipment",2.118539649966293
blue_water_consumption,Mm3,Metal Products,2.0594326079407503
land_use,km2,Electricity,1.9059917858947932
land_use,km2,Waste management and disposal,1.5035663621010087
land_use,km2,Private travel,1.4739
land_use,km2,Coal and Petroleum,1.355058564726759
waste_generation,kt,General and special Machinery,1.2371210886801625
material_extraction,kt,General and special Machinery,1.0736047096406718
waste_generation,kt,Transport Equipment,1.0498048439094338
material_extraction,kt,Furniture and timber,0.9102225192652122
land_use,km2,Minerals and Metals,0.7407948943229796
land_use,km2,General and special Machinery,0.6881036501795718
waste_generation,kt,Textile,0.6828427420561292
land_use,km2,Chemical,0.6590028856665806
blue_water_consumption,Mm3,Paper Products,0.5939016056075206
material_extraction,kt,Paper Products,0.4751718828645255
waste_generation,kt,Minerals and Metals,0.4631127504317854
land_use,km2,Metal Products,0.46142662620089775
material_extraction,kt,Transport Equipment,0.4578937317445377
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.45692512534903007
blue_water_consumption,Mm3,Non-metallic mineral products,0.37771545340322027
blue_water_consumption,Mm3,Services,0.35723988454828615
blue_water_consumption,Mm3,Textile,0.3359569690511712
blue_water_consumption,Mm3,General and special Machinery,0.32791238633369557
waste_generation,kt,Natural gas and gaseous fuels,0.2916140081350212
land_use,km2,Non-metallic mineral products,0.2368128640592808
land_use,km2,"Steam, hot water supply and water distribution",0.21658080862371135
material_extraction,kt,Textile,0.16356293906014563
blue_water_consumption,Mm3,Private travel,0.1568
blue_water_consumption,Mm3,Furniture and timber,0.13025903336405437
land_use,km2,Natural gas and gaseous fuels,0.0642274051645925
land_use,km2,Transport Equipment,0.05328882363885348
blue_water_consumption,Mm3,Transport,0.04756906646767074
blue_water_consumption,Mm3,Coal and Petroleum,0.03827118375733591
blue_water_consumption,Mm3,Transport Equipment,0.03286193077309088
blue_water_consumption,Mm3,Minerals and Metals,0.03209541999689374
blue_water_consumption,Mm3,Waste management and disposal,0.02169097938107044
land_use,km2,"Electrical, electronic and measuring equipment",0.012230436282824877
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.006925780439929048
blue_water_consumption,Mm3,Construction,0.006808852849267278
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.003172526592205168
