indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,6.513450349287068,8.951603631445645
blue_water_consumption,Mm3,imported,66.24949378293849,91.04839636855436
climate_change,kt CO2eq,domestic,1939.3856221536762,34.13560302070206
climate_change,kt CO2eq,imported,3742.030408427375,65.86439697929794
land_use,km2,domestic,435.1860360388684,8.439712551282613
land_use,km2,imported,4721.2222349126305,91.56028744871739
material_extraction,kt,domestic,2859.096995999773,51.24505202521795
material_extraction,kt,imported,2720.1675046837213,48.754947974782056
waste_generation,kt,domestic,185.22813925328586,51.66599168524965
waste_generation,kt,imported,173.28262036147143,48.33400831475035
