indicator,unit,purchased_sector_group,value
climate_change,kt CO2eq,Transport,2605.151771420495
land_use,km2,Food and catering,1337.8357982740486
material_extraction,kt,Chemical,1245.891498883343
climate_change,kt CO2eq,Services,914.4263351040306
climate_change,kt CO2eq,Chemical,850.953240290228
land_use,km2,Chemical,825.2149865554253
material_extraction,kt,Minerals and Metals,731.8656257997801
climate_change,kt CO2eq,Private travel,621.4199186512448
land_use,km2,Services,596.8902132739016
climate_change,kt CO2eq,Food and catering,403.7975149234971
land_use,km2,Transport,360.7227649918731
material_extraction,kt,Services,321.3033365112241
climate_change,kt CO2eq,Waste management and disposal,246.69608265701953
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",241.08924649821523
material_extraction,kt,Transport,191.62427302253045
material_extraction,kt,"Electrical, electronic and measuring equipment",183.36484453387484
climate_change,kt CO2eq,Operational impact,164.3446991455533
land_use,km2,"Electrical, electronic and measuring equipment",146.33513453121498
material_extraction,kt,Food and catering,112.65007722079503
waste_generation,kt,Chemical,83.65034829828102
material_extraction,kt,Non-metallic mineral products,77.92121853175145
material_extraction,kt,Construction,75.23286301308275
land_use,km2,Paper Products,74.1449331878129
climate_change,kt CO2eq,Electricity,72.539291406211
material_extraction,kt,Metal Products,47.7264808851905
land_use,km2,Construction,43.27853714529772
waste_generation,kt,Operational impact,42.71652604695465
climate_change,kt CO2eq,Construction,36.83032313915416
climate_change,kt CO2eq,Coal and Petroleum,34.99274317271789
land_use,km2,Electricity,33.63052441273819
waste_generation,kt,Services,33.24295150556371
climate_change,kt CO2eq,General and special Machinery,31.667870235430257
waste_generation,kt,Food and catering,30.09059304799275
waste_generation,kt,Waste management and disposal,29.620394903550007
land_use,km2,Waste management and disposal,28.3264451949221
climate_change,kt CO2eq,Metal Products,25.245475784780677
material_extraction,kt,Paper Products,24.28609101179449
material_extraction,kt,General and special Machinery,24.094070084924724
material_extraction,kt,Private travel,23.4337
material_extraction,kt,Waste management and disposal,23.406490375604893
climate_change,kt CO2eq,Natural gas and gaseous fuels,22.133907419130484
land_use,km2,Furniture and timber,20.56324041818255
waste_generation,kt,Transport,20.440289437322924
material_extraction,kt,Electricity,19.718599336850193
climate_change,kt CO2eq,Paper Products,19.18610990216932
climate_change,kt CO2eq,Furniture and timber,18.50696477199124
blue_water_consumption,Mm3,Chemical,18.397371608682317
blue_water_consumption,Mm3,Food and catering,17.53150099957247
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",17.00692117854728
climate_change,kt CO2eq,Minerals and Metals,14.007050850599871
waste_generation,kt,Electricity,12.582465655960686
land_use,km2,General and special Machinery,12.487474572601073
climate_change,kt CO2eq,Non-metallic mineral products,12.023047953405001
material_extraction,kt,Furniture and timber,11.646865114575373
land_use,km2,Metal Products,10.544018604285004
blue_water_consumption,Mm3,Services,10.350224794747678
waste_generation,kt,"Electrical, electronic and measuring equipment",9.882374133226564
land_use,km2,Textile,8.10120758301054
climate_change,kt CO2eq,Textile,6.789754751220614
waste_generation,kt,Paper Products,5.913374313359534
blue_water_consumption,Mm3,Transport,5.205566457762348
material_extraction,kt,Coal and Petroleum,5.109255843876458
land_use,km2,Coal and Petroleum,3.955300094144629
land_use,km2,Minerals and Metals,3.5667778522283275
land_use,km2,Non-metallic mineral products,3.3675885200671467
material_extraction,kt,Transport Equipment,3.1354395614312187
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",2.8040138608851506
climate_change,kt CO2eq,Transport Equipment,2.528097768510511
land_use,km2,Natural gas and gaseous fuels,2.474363697539468
material_extraction,kt,Textile,2.464006362171572
material_extraction,kt,Natural gas and gaseous fuels,2.046075284432087
waste_generation,kt,Construction,1.6785605173888127
land_use,km2,Transport Equipment,1.586188658826269
land_use,km2,Private travel,1.5258
waste_generation,kt,Metal Products,1.119588027614909
waste_generation,kt,Coal and Petroleum,0.9343609833859501
waste_generation,kt,General and special Machinery,0.9251279860875272
waste_generation,kt,Furniture and timber,0.8162388496967621
blue_water_consumption,Mm3,Waste management and disposal,0.7964835837684384
material_extraction,kt,"Steam, hot water supply and water distribution",0.7508426740587718
land_use,km2,"Steam, hot water supply and water distribution",0.7380102766549084
waste_generation,kt,Natural gas and gaseous fuels,0.5820411981453912
blue_water_consumption,Mm3,Electricity,0.3947383778073561
blue_water_consumption,Mm3,Construction,0.3217977436069003
blue_water_consumption,Mm3,Paper Products,0.319243289191427
waste_generation,kt,Non-metallic mineral products,0.28941886573726633
waste_generation,kt,"Steam, hot water supply and water distribution",0.26948775205991826
blue_water_consumption,Mm3,Metal Products,0.24632166451422582
blue_water_consumption,Mm3,General and special Machinery,0.2361182207137314
waste_generation,kt,Textile,0.2360319860102403
blue_water_consumption,Mm3,Textile,0.23591031812170193
blue_water_consumption,Mm3,Furniture and timber,0.1986641441232273
blue_water_consumption,Mm3,Private travel,0.1624
waste_generation,kt,Transport Equipment,0.13541509574222688
waste_generation,kt,Minerals and Metals,0.12756874157241516
blue_water_consumption,Mm3,Coal and Petroleum,0.09318331230035141
blue_water_consumption,Mm3,Non-metallic mineral products,0.060453111754794724
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.04448875256286586
blue_water_consumption,Mm3,Minerals and Metals,0.0400693967747804
blue_water_consumption,Mm3,Transport Equipment,0.02678667492539495
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.013871684620898654
