indicator,unit,producing_sector_group,value
land_use,km2,Food and catering,3470.586529513414
climate_change,kt CO2eq,Transport,3007.407222435124
material_extraction,kt,Minerals and Metals,2823.738515028876
climate_change,kt CO2eq,Private travel,621.4199186512448
climate_change,kt CO2eq,Food and catering,458.69309119205445
climate_change,kt CO2eq,Coal and Petroleum,363.48292986107316
climate_change,kt CO2eq,Waste management and disposal,336.1087712501901
climate_change,kt CO2eq,Electricity,331.991672276997
climate_change,kt CO2eq,"Steam, hot water supply and water distribution",258.69286905815585
climate_change,kt CO2eq,Chemical,253.84124351670872
climate_change,kt CO2eq,Services,187.62725295574506
climate_change,kt CO2eq,Operational impact,164.3446991455533
material_extraction,kt,Non-metallic mineral products,130.3682373201189
climate_change,kt CO2eq,Metal Products,87.65122191065961
climate_change,kt CO2eq,Natural gas and gaseous fuels,81.61250817993385
climate_change,kt CO2eq,Minerals and Metals,69.75966910642961
waste_generation,kt,Chemical,63.39914617951391
climate_change,kt CO2eq,Non-metallic mineral products,61.32405122086731
blue_water_consumption,Mm3,Food and catering,48.66995588756265
waste_generation,kt,Food and catering,44.04872803596203
waste_generation,kt,Operational impact,42.71652604695465
waste_generation,kt,Waste management and disposal,41.53987917694203
material_extraction,kt,Food and catering,35.538410509327875
material_extraction,kt,Chemical,34.63234277280917
material_extraction,kt,Services,26.109144527598463
climate_change,kt CO2eq,"Electrical, electronic and measuring equipment",24.24104457920731
material_extraction,kt,Private travel,23.4337
waste_generation,kt,Electricity,21.627521269702033
material_extraction,kt,Transport,20.95826533339547
climate_change,kt CO2eq,Paper Products,18.24118139501411
waste_generation,kt,Paper Products,14.33056988433899
climate_change,kt CO2eq,Textile,13.79210987699551
waste_generation,kt,Coal and Petroleum,11.781601718463374
land_use,km2,Furniture and timber,10.167283735559783
land_use,km2,Services,9.24710879764015
waste_generation,kt,Services,8.944191152896204
climate_change,kt CO2eq,Furniture and timber,8.452075459623222
land_use,km2,Textile,7.3502615056573966
waste_generation,kt,Transport,7.20420382065128
land_use,km2,Paper Products,6.855594592374343
waste_generation,kt,"Steam, hot water supply and water distribution",6.6590955348374115
material_extraction,kt,Electricity,6.279137565675082
material_extraction,kt,Coal and Petroleum,5.378542599457615
climate_change,kt CO2eq,Construction,4.892569097986263
waste_generation,kt,Metal Products,4.871903473003539
material_extraction,kt,Construction,4.561676091602658
material_extraction,kt,Metal Products,4.525974166399256
material_extraction,kt,Natural gas and gaseous fuels,4.189982153942911
blue_water_consumption,Mm3,Electricity,4.136071194704648
climate_change,kt CO2eq,General and special Machinery,4.067076806059689
land_use,km2,Transport,4.0264754364268684
climate_change,kt CO2eq,Transport Equipment,3.6931890485284096
waste_generation,kt,Construction,2.963102341206123
material_extraction,kt,"Electrical, electronic and measuring equipment",2.2592994041439263
material_extraction,kt,"Steam, hot water supply and water distribution",2.1985640230082137
material_extraction,kt,Waste management and disposal,2.0010199895878196
blue_water_consumption,Mm3,Chemical,1.9138159359000724
land_use,km2,Private travel,1.5258
waste_generation,kt,"Electrical, electronic and measuring equipment",1.4906790170055286
land_use,km2,Electricity,1.4378576789367563
land_use,km2,Coal and Petroleum,1.0939529592212889
land_use,km2,Waste management and disposal,1.0930060687434158
waste_generation,kt,Furniture and timber,0.9862830975794014
waste_generation,kt,Non-metallic mineral products,0.9792318832396172
blue_water_consumption,Mm3,Metal Products,0.8873469515383929
waste_generation,kt,Textile,0.481066257519739
blue_water_consumption,Mm3,Paper Products,0.45538352818382977
land_use,km2,Chemical,0.4411702590983143
waste_generation,kt,General and special Machinery,0.4406004531969075
material_extraction,kt,General and special Machinery,0.4375433522659579
land_use,km2,Minerals and Metals,0.39422361471724043
material_extraction,kt,Paper Products,0.3647653909200385
blue_water_consumption,Mm3,"Electrical, electronic and measuring equipment",0.34370330955563816
material_extraction,kt,Furniture and timber,0.3300770849698809
waste_generation,kt,Transport Equipment,0.29348672691969946
blue_water_consumption,Mm3,Services,0.27479806887697816
land_use,km2,General and special Machinery,0.2700889172941776
waste_generation,kt,Minerals and Metals,0.266795757770786
material_extraction,kt,Transport Equipment,0.25161263784767895
land_use,km2,Construction,0.2348759396539572
waste_generation,kt,Natural gas and gaseous fuels,0.2285455179498726
blue_water_consumption,Mm3,Textile,0.22597308139791458
land_use,km2,Metal Products,0.21664114435519707
land_use,km2,"Steam, hot water supply and water distribution",0.16715022069502491
blue_water_consumption,Mm3,Private travel,0.1624
blue_water_consumption,Mm3,General and special Machinery,0.12770046211354846
material_extraction,kt,Textile,0.11484409934731407
land_use,km2,Non-metallic mineral products,0.10091287342318517
blue_water_consumption,Mm3,Non-metallic mineral products,0.0935628250982947
blue_water_consumption,Mm3,Furniture and timber,0.05765983774387874
land_use,km2,Natural gas and gaseous fuels,0.045686929100816065
blue_water_consumption,Mm3,Transport,0.04395939992222331
blue_water_consumption,Mm3,Coal and Petroleum,0.03162358607624976
land_use,km2,Transport Equipment,0.026145795446468945
blue_water_consumption,Mm3,Minerals and Metals,0.020629256198378805
blue_water_consumption,Mm3,Waste management and disposal,0.014749177794906951
blue_water_consumption,Mm3,Transport Equipment,0.011216249748459523
land_use,km2,"Electrical, electronic and measuring equipment",0.008541863016151665
blue_water_consumption,Mm3,Natural gas and gaseous fuels,0.005141649742052712
blue_water_consumption,Mm3,"Steam, hot water supply and water distribution",0.0020455486135742807
blue_water_consumption,Mm3,Construction,0.0014720456643613508
