indicator,unit,purchased_world_region,value
climate_change,kt CO2eq,Denmark,3225.893707742161
material_extraction,kt,Denmark,2435.3323943757323
land_use,km2,Denmark,1705.4214065907481
land_use,km2,Europe,570.0512661370832
land_use,km2,Asia and Pacific,462.89817671286096
climate_change,kt CO2eq,Europe,411.4967116471475
material_extraction,kt,Europe,322.44199305355716
land_use,km2,Africa,236.65398650015905
land_use,km2,Middle East,223.93950106134227
climate_change,kt CO2eq,Asia and Pacific,220.90183310248298
waste_generation,kt,Denmark,212.11710897024986
land_use,km2,America,134.80496517969598
material_extraction,kt,Asia and Pacific,130.64427196397057
material_extraction,kt,Middle East,114.11591948780641
climate_change,kt CO2eq,Middle East,95.09524419678482
climate_change,kt CO2eq,America,55.02394939984194
climate_change,kt CO2eq,Africa,46.360614567231096
waste_generation,kt,Europe,29.605601772999727
material_extraction,kt,America,27.717843574543135
blue_water_consumption,Mm3,Denmark,24.015188957550347
material_extraction,kt,Africa,14.28322223140656
blue_water_consumption,Mm3,Asia and Pacific,12.943896906970528
waste_generation,kt,Asia and Pacific,12.822625515974423
blue_water_consumption,Mm3,Middle East,9.340536551839357
blue_water_consumption,Mm3,Europe,6.098016815017807
waste_generation,kt,Africa,5.4743536789908935
waste_generation,kt,America,2.651790540303703
waste_generation,kt,Middle East,2.5998772084792985
blue_water_consumption,Mm3,America,1.2639905347827858
blue_water_consumption,Mm3,Africa,1.2357420114787765
