indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,24.049454303039358,43.780693439023025
blue_water_consumption,Mm3,imported,30.882188880125405,56.21930656097696
climate_change,kt CO2eq,domestic,3256.4931199732387,79.7109596489024
climate_change,kt CO2eq,imported,828.883764606873,20.289040351097604
land_use,km2,domestic,1707.8304849288388,51.19121557754452
land_use,km2,imported,1628.3483216513937,48.80878442245548
material_extraction,kt,domestic,2436.435750220954,79.99751755516107
material_extraction,kt,imported,609.2034454465202,20.002482444838932
waste_generation,kt,domestic,212.2495843811283,79.97230603902878
waste_generation,kt,imported,53.15427214583545,20.027693960971224
