producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
RoW Middle East,Middle East,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,3.510630355960122,1,6.409857343143357,99.70435983599016
DNK,Denmark,POWB,Production of electricity by biomass and waste,blue_water_consumption,Mm3,3.459899657083167,2,6.317231088098538,99.70435983599016
RoW Asia and Pacific,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,2.894895720906097,3,5.285623011486034,99.70435983599016
IND,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.297653452976766,4,4.195152825633775,99.70435983599016
RoW Asia and Pacific,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,2.161131195630666,5,3.945884715629901,99.70435983599016
RoW Middle East,Middle East,OCER,Cultivation of cereal grains nec,blue_water_consumption,Mm3,2.148847956086462,6,3.923457457500507,99.70435983599016
RoW Asia and Pacific,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.019792379979659,7,3.687822329815426,99.70435983599016
RoW Asia and Pacific,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,1.757071120573238,8,3.208134745804445,99.70435983599016
RoW Middle East,Middle East,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.723309580357586,9,3.1464914981467342,99.70435983599016
IND,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.691830412420786,10,3.0890155023008097,99.70435983599016
RoW Middle East,Middle East,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.688937103224182,11,3.0837327760324773,99.70435983599016
IND,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,1.678151977281769,12,3.06404083706165,99.70435983599016
CHN,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.163438794249228,13,2.124255743973569,99.70435983599016
RoW Asia and Pacific,Asia and Pacific,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.116361528446695,14,2.0383000815133587,99.70435983599016
RoW Middle East,Middle East,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,1.042448905975734,15,1.9033472901742943,99.70435983599016
RoW Middle East,Middle East,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,0.9860904487198712,16,1.8004456359239638,99.70435983599016
IND,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,0.9059591058873426,17,1.6541384420039282,99.70435983599016
IND,Asia and Pacific,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,0.7805898876209187,18,1.4252340223332896,99.70435983599016
CHN,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,0.7231330408255423,19,1.3203268820187455,99.70435983599016
RoW Asia and Pacific,Asia and Pacific,OCER,Cultivation of cereal grains nec,blue_water_consumption,Mm3,0.626418714353014,20,1.1437417753940533,99.70435983599016
OTH,Other,OTHER,All other pairs,blue_water_consumption,Mm3,20.39265184460582,21,37.23376599601115,99.70435983599016
DNK,Denmark,HWAT,Steam and hot water supply,climate_change,kt CO2eq,143.4793191245582,1,4.364041785324574,80.47635162358402
DNK,Denmark,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,127.3154459424055,2,3.872404255888264,80.47635162358402
DNK,Denmark,CHEM,Chemicals nec,climate_change,kt CO2eq,120.374997712653,3,3.661304800800749,80.47635162358402
RoW Asia and Pacific,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,109.5453321465737,4,3.3319115938924266,80.47635162358402
DEU,Europe,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,83.44939987809718,5,2.5381822986776514,80.47635162358402
DNK,Denmark,LANF,Landfill of waste: Food,climate_change,kt CO2eq,60.27893342207946,6,1.8334334581026523,80.47635162358402
DNK,Denmark,MILK,Raw milk,climate_change,kt CO2eq,54.30637727444698,7,1.6517732386891628,80.47635162358402
DNK,Denmark,INCT,Incineration of waste: Textiles,climate_change,kt CO2eq,51.29356463808441,8,1.5601360583856658,80.47635162358402
CHN,Asia and Pacific,POWC,Production of electricity by coal,climate_change,kt CO2eq,48.28192829496582,9,1.4685346560110009,80.47635162358402
DNK,Denmark,INCL,Incineration of waste: Plastic,climate_change,kt CO2eq,47.08295265405727,10,1.4320668233753522,80.47635162358402
RUS,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,44.06807386491304,11,1.3403667993315231,80.47635162358402
DNK,Denmark,TAIR,Air transport (62),climate_change,kt CO2eq,39.82657720983335,12,1.211358181587714,80.47635162358402
JPN,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,36.16302981609746,13,1.0999283671285245,80.47635162358402
RoW Middle East,Middle East,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,35.02269812939709,14,1.0652442387101988,80.47635162358402
DNK,Denmark,TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",climate_change,kt CO2eq,34.59758041246429,15,1.052313932853604,80.47635162358402
NOR,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,31.22883767686741,16,0.9498508451288095,80.47635162358402
CHN,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,31.05165456676006,17,0.9444616747530359,80.47635162358402
RoW Middle East,Middle East,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,26.47480855248054,18,0.8052531297642456,80.47635162358402
DNK,Denmark,WASO,"Waste water treatment, other",climate_change,kt CO2eq,25.62917478585145,19,0.779532481553983,80.47635162358402
DNK,Denmark,SDCL,Quarrying of sand and clay,climate_change,kt CO2eq,23.8167513439309,20,0.7244061282822852,80.47635162358402
OTH,Other,OTHER,All other pairs,climate_change,kt CO2eq,2114.4748293367966,21,64.31349525175857,80.47635162358402
RoW Africa,Africa,CATL,Cattle farming,land_use,km2,213.3825217879929,1,6.398942299751359,99.95426504128045
RoW Asia and Pacific,Asia and Pacific,CATL,Cattle farming,land_use,km2,150.525890202306,2,4.513989608672177,99.95426504128045
