indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,25.9725254597163,47.311054461618646
blue_water_consumption,Mm3,Middle East,12.37021977454394,22.533355193485793
blue_water_consumption,Mm3,Europe,5.563562403448854,10.134478615814118
blue_water_consumption,Mm3,Denmark,4.799982058129502,8.74355529727673
blue_water_consumption,Mm3,America,3.600731411088808,6.55902330930064
blue_water_consumption,Mm3,Africa,2.427950670712126,4.422708395852685
blue_water_consumption,Mm3,Unallocated,0.1624,0.2958247266513909
climate_change,kt CO2eq,Denmark,1547.7882106858162,38.17201528303768
climate_change,kt CO2eq,Europe,982.0290919363009,24.21909486516262
climate_change,kt CO2eq,Asia and Pacific,752.9334044296339,18.56906857318845
climate_change,kt CO2eq,Unallocated,252.90240567336662,6.237154688110206
climate_change,kt CO2eq,Middle East,238.5998950144636,5.8844218970938265
climate_change,kt CO2eq,America,170.78089467129553,4.211849448417097
climate_change,kt CO2eq,Africa,109.73815824477253,2.706395244990123
land_use,km2,Asia and Pacific,950.8338358115712,28.521284756844704
land_use,km2,Europe,934.5846483814734,28.03387288285981
land_use,km2,Africa,531.8566231493312,15.953612111109221
land_use,km2,America,457.0580012865565,13.709946905666827
land_use,km2,Denmark,332.13648482118083,9.962791504613225
land_use,km2,Middle East,125.77390873177593,3.7727238249347153
land_use,km2,Unallocated,1.5258,0.04576801397149445
material_extraction,kt,Denmark,1832.063024073563,60.17544998268206
material_extraction,kt,Europe,520.8258640960879,17.106906434318642
material_extraction,kt,Asia and Pacific,358.1633872328873,11.764138411646254
material_extraction,kt,Middle East,154.88865572507652,5.087431181676945
material_extraction,kt,America,109.6331424090414,3.600980747272934
material_extraction,kt,Africa,45.527871150361186,1.4953962266729026
material_extraction,kt,Unallocated,23.4337,0.76969701573026
waste_generation,kt,Denmark,159.04338958192616,59.95498005087554
waste_generation,kt,Europe,56.68005402367489,21.36682019419282
waste_generation,kt,Asia and Pacific,27.946058997065762,10.534894999874139
waste_generation,kt,Africa,11.199114836121357,4.221758026863781
waste_generation,kt,America,7.147959526849442,2.6945839871953123
waste_generation,kt,Middle East,3.2547807213600612,1.2269627409984016
