indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,23.98202104650862,47.73919276497304
blue_water_consumption,Mm3,imported,26.253476576116846,52.26080723502696
climate_change,kt CO2eq,domestic,5466.834588333606,88.11594409895021
climate_change,kt CO2eq,imported,737.3032033407346,11.884055901049791
land_use,km2,domestic,1713.574637306584,53.52115531129039
land_use,km2,imported,1488.1025823649093,46.47884468870961
material_extraction,kt,domestic,2147.5805880593216,80.97193998217163
material_extraction,kt,imported,504.67226463529744,19.02806001782838
waste_generation,kt,domestic,195.40401148177324,80.45957097820057
waste_generation,kt,imported,47.45586100588307,19.540429021799426
