producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
DNK,Denmark,Denmark,Transport,climate_change,kt CO2eq,1593.0071928925972,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Minerals and Metals,material_extraction,kt,1443.5940153112556,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Food and catering,land_use,km2,535.0697002977828,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,land_use,km2,462.85033270359304,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Private travel,climate_change,kt CO2eq,357.7208129778782,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,land_use,km2,325.34189628573415,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Transport,climate_change,kt CO2eq,314.5742968719657,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GLO,Unallocated,Unallocated,Private travel,climate_change,kt CO2eq,245.5214056733666,2019,EXIOBASE v3.8.2 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Food and catering,land_use,km2,237.42879708466037,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Waste management and disposal,climate_change,kt CO2eq,226.17906964471257,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DEU,Germany,Europe,Transport,climate_change,kt CO2eq,211.03453006544066,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Services,climate_change,kt CO2eq,187.82653123253056,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW America,RoW America,America,Food and catering,land_use,km2,173.99097851136543,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Food and catering,land_use,km2,169.18893056820545,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Operational impact,climate_change,kt CO2eq,163.5946084095433,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,145.71244481386756,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Food and catering,land_use,km2,134.68990740222492,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,climate_change,kt CO2eq,126.62613199146531,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Minerals and Metals,material_extraction,kt,124.14197407436438,2019,EXIOBASE v3.8.2 IOT_2016_ixi
NOR,Norway,Europe,Food and catering,land_use,km2,115.33453976253797,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Food and catering,land_use,km2,107.69338482765615,2019,EXIOBASE v3.8.2 IOT_2016_ixi
SWE,Sweden,Europe,Food and catering,land_use,km2,105.61778772392348,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Non-metallic mineral products,material_extraction,kt,101.68519570634693,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Transport,climate_change,kt CO2eq,100.05699832573066,2019,EXIOBASE v3.8.2 IOT_2016_ixi
JPN,Japan,Asia and Pacific,Transport,climate_change,kt CO2eq,94.92795983109164,2019,EXIOBASE v3.8.2 IOT_2016_ixi
USA,United States,America,Food and catering,land_use,km2,93.04666503923909,2019,EXIOBASE v3.8.2 IOT_2016_ixi
DNK,Denmark,Denmark,Chemical,climate_change,kt CO2eq,92.70804750041913,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Minerals and Metals,material_extraction,kt,92.67146803176301,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Minerals and Metals,material_extraction,kt,91.33809954465521,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CHN,China,Asia and Pacific,Transport,climate_change,kt CO2eq,84.42368166452624,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Food and catering,land_use,km2,78.44597476858107,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Minerals and Metals,material_extraction,kt,76.3015139003836,2019,EXIOBASE v3.8.2 IOT_2016_ixi
CAN,Canada,America,Food and catering,land_use,km2,75.40061392571486,2019,EXIOBASE v3.8.2 IOT_2016_ixi
RUS,Russia,Europe,Coal and Petroleum,climate_change,kt CO2eq,75.09675080698601,2019,EXIOBASE v3.8.2 IOT_2016_ixi
BRA,Brazil,America,Food and catering,land_use,km2,71.29281614911179,2019,EXIOBASE v3.8.2 IOT_2016_ixi
GBR,United Kingdom,Europe,Transport,climate_change,kt CO2eq,59.831886486667756,2019,EXIOBASE v3.8.2 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,land_use,km2,58.08255758054411,2019,EXIOBASE v3.8.2 IOT_2016_ixi
