indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.7128224422848275,9.375227436551212
blue_water_consumption,Mm3,imported,45.556064090653464,90.62477256344879
climate_change,kt CO2eq,domestic,3058.619732345138,48.473679122052424
climate_change,kt CO2eq,imported,3251.2370553845585,51.526320877947576
land_use,km2,domestic,328.8371904561459,10.269749103095103
land_use,km2,imported,2873.1610974771083,89.73025089690489
material_extraction,kt,domestic,1549.7410890508852,58.322835772682296
material_extraction,kt,imported,1107.436101528666,41.6771642273177
waste_generation,kt,domestic,136.29364177372108,56.6922560684189
waste_generation,kt,imported,104.11598597020829,43.3077439315811
