indicator,unit,purchased_world_region,value,expenditure_meur,footprint
land_use,km2 per MEUR,Africa,4.35919762748539,54.202494281199556,236.2793844743955
land_use,km2 per MEUR,Middle East,1.3512760564529975,116.27863089513063,157.1245298057258
land_use,km2 per MEUR,Asia and Pacific,1.207777183627046,363.0142479376446,438.44032599061853
climate_change,kt CO2eq per MEUR,Africa,0.8293858909096269,54.202494281199556,44.95478400893665
land_use,km2 per MEUR,America,0.7641821171458022,169.1956714204742,129.29630639800348
material_extraction,kt per MEUR,Middle East,0.6735370418864205,116.27863089513063,78.31796508770923
climate_change,kt CO2eq per MEUR,Middle East,0.6542073870593943,116.27863089513063,76.07033928874716
climate_change,kt CO2eq per MEUR,Asia and Pacific,0.5538926302514575,363.0142479376446,201.0709166089367
land_use,km2 per MEUR,Europe,0.4829590974196453,1091.1111075691913,526.9620356961661
climate_change,kt CO2eq per MEUR,Denmark,0.4598790074827219,10192.879616164979,4687.491361272818
climate_change,kt CO2eq per MEUR,Europe,0.3341992807496534,1091.1111075691913,364.6485473675814
material_extraction,kt per MEUR,Asia and Pacific,0.31261209809313734,363.0142479376446,113.48264568548943
climate_change,kt CO2eq per MEUR,America,0.2988174321604701,169.1956714204742,50.55861606653274
material_extraction,kt per MEUR,Africa,0.2592742395979996,54.202494281199556,14.053310489072938
material_extraction,kt per MEUR,Europe,0.2519912043567916,1091.1111075691913,274.95040208343335
material_extraction,kt per MEUR,Denmark,0.2079524839388289,10192.8770765464,2119.6341065509723
land_use,km2 per MEUR,Denmark,0.16793646057375097,10192.8770765464,1711.7556992985246
material_extraction,kt per MEUR,America,0.14106709166499545,169.1956714204742,23.867941289592487
waste_generation,kt per MEUR,Africa,0.09723956474175546,54.202494281199556,5.270626951821335
blue_water_consumption,Mm3 per MEUR,Middle East,0.05664425914082561,116.27863089513063,6.586516900964191
blue_water_consumption,Mm3 per MEUR,Asia and Pacific,0.032564631460242376,363.0142479376446,11.821425198906448
waste_generation,kt per MEUR,Asia and Pacific,0.031643395393298995,363.0142479376446,11.487003380891963
waste_generation,kt per MEUR,Europe,0.02398750946500295,1091.1111075691913,26.173038020185828
blue_water_consumption,Mm3 per MEUR,Africa,0.02269104068209245,54.202494281199556,1.2299110028055826
waste_generation,kt per MEUR,Middle East,0.020064136065299238,116.27863089513063,2.3330302717666087
waste_generation,kt per MEUR,Denmark,0.014979818381517046,10192.879616164979,152.68748543481857
waste_generation,kt per MEUR,America,0.012956373900189926,169.1956714204742,2.1921623812173427
blue_water_consumption,Mm3 per MEUR,America,0.006879516086732856,169.1956714204742,1.1639843433427188
blue_water_consumption,Mm3 per MEUR,Europe,0.004996410624251847,1091.1111075691913,5.451639130097908
blue_water_consumption,Mm3 per MEUR,Denmark,0.0023337077076738422,10192.8770765464,23.787195796908353
