indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,24.503323640881398,27.564984728876617
blue_water_consumption,Mm3,imported,64.3896102094034,72.43501527112338
climate_change,kt CO2eq,domestic,6194.201477473938,71.21138502583122
climate_change,kt CO2eq,imported,2504.1288179234252,28.788614974168784
land_use,km2,domestic,1568.2239304925704,28.021656064093012
land_use,km2,imported,4028.2473376781027,71.97834393590699
material_extraction,kt,domestic,2500.149191368331,30.744152525237123
material_extraction,kt,imported,5631.96370169652,69.25584747476287
waste_generation,kt,domestic,228.22987671178726,59.94811337874018
waste_generation,kt,imported,152.48248244099636,40.05188662125981
