producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
DNK,Denmark,Denmark,Transport,climate_change,kt CO2eq,1501.7446975739383,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Minerals and Metals,material_extraction,kt,1493.9927153296667,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Minerals and Metals,material_extraction,kt,1278.5249240819721,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,1272.0927111890273,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Minerals and Metals,material_extraction,kt,1240.66408361115,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Food and catering,land_use,km2,719.0497887560393,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Food and catering,land_use,km2,703.4693473446594,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Food and catering,land_use,km2,526.73491635886,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Food and catering,land_use,km2,391.6595983502803,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Middle East,RoW Middle East,Middle East,Minerals and Metals,material_extraction,kt,390.3052421635753,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Transport,climate_change,kt CO2eq,367.5152336513146,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Private travel,climate_change,kt CO2eq,357.7208129778782,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,Food and catering,land_use,km2,348.5728475537328,2019,EXIOBASE v3.7 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Food and catering,land_use,km2,282.62090232495257,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Waste management and disposal,climate_change,kt CO2eq,249.31724334799102,2019,EXIOBASE v3.7 IOT_2016_ixi
GLO,Unallocated,Unallocated,Private travel,climate_change,kt CO2eq,245.5214056733666,2019,EXIOBASE v3.7 IOT_2016_ixi
DNK,Denmark,Denmark,Services,climate_change,kt CO2eq,244.01136581569173,2019,EXIOBASE v3.7 IOT_2016_ixi
CHN,China,Asia and Pacific,Food and catering,land_use,km2,212.77227042731,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW America,RoW America,America,Food and catering,land_use,km2,203.63562347085082,2019,EXIOBASE v3.7 IOT_2016_ixi
DEU,Germany,Europe,Transport,climate_change,kt CO2eq,190.32516264278942,2019,EXIOBASE v3.7 IOT_2016_ixi
