indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,7.5998674190624325,8.550048516592632
blue_water_consumption,Mm3,imported,81.28696643122235,91.44995148340736
climate_change,kt CO2eq,domestic,3994.001107782716,46.03249143727235
climate_change,kt CO2eq,imported,4682.481487614646,53.96750856272766
land_use,km2,domestic,397.36608747297845,7.100371579696944
land_use,km2,imported,5199.046480697697,92.89962842030306
material_extraction,kt,domestic,1621.5779548255186,19.942632866812975
material_extraction,kt,imported,6509.635038239335,80.05736713318701
waste_generation,kt,domestic,177.22227156545188,46.55017556031875
waste_generation,kt,imported,203.49008758733146,53.44982443968126
