indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,21.400784684620504,30.815210737138177
blue_water_consumption,Mm3,imported,48.04798484408662,69.18478926286183
climate_change,kt CO2eq,domestic,4158.090342433297,69.50239495552614
climate_change,kt CO2eq,imported,1824.567298492624,30.497605044473847
land_use,km2,domestic,1355.17077627055,30.978345927543877
land_use,km2,imported,3019.4035778289135,69.02165407245613
material_extraction,kt,domestic,2220.311275150263,37.440543359622254
material_extraction,kt,imported,3709.92123729975,62.559456640377746
waste_generation,kt,domestic,210.01688863916092,64.81552018722293
waste_generation,kt,imported,114.00564181730454,35.18447981277707
