producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
BRA,America,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,6.548820217037801,1,9.45624149672225,99.71946911237968
DNK,Denmark,POWB,Production of electricity by biomass and waste,blue_water_consumption,Mm3,5.678631635232503,2,8.199723054540431,99.71946911237968
RoW Asia and Pacific,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,4.491664739257987,3,6.485789056513099,99.71946911237968
RoW Asia and Pacific,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,3.612855327457233,4,5.216822471362392,99.71946911237968
RoW Middle East,Middle East,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,3.201955339795085,5,4.623498882447165,99.71946911237968
RoW Asia and Pacific,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.754797971302989,6,3.9778210468426467,99.71946911237968
IND,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.504473236148725,7,3.6163618725530107,99.71946911237968
RoW Middle East,Middle East,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.923164389926846,8,2.7769745246221955,99.71946911237968
RoW Africa,Africa,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.604405432125797,9,2.316698996463989,99.71946911237968
CHN,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.410357475733685,10,2.036501300272042,99.71946911237968
RoW Middle East,Middle East,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,1.385465772187473,11,2.0005586491994998,99.71946911237968
RoW Middle East,Middle East,OCER,Cultivation of cereal grains nec,blue_water_consumption,Mm3,1.357211730299603,12,1.9597609124323332,99.71946911237968
IND,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.341920743748184,13,1.9376813230160346,99.71946911237968
CHN,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.249216818934683,14,1.8038204638570443,99.71946911237968
IND,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.111080853083063,15,1.6043575057691908,99.71946911237968
RoW Middle East,Middle East,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,0.9384686384051304,16,1.355112186279124,99.71946911237968
USA,America,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,0.9278367000853855,17,1.3397600811673978,99.71946911237968
RoW Asia and Pacific,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,0.8739369835240972,18,1.2619309883664707,99.71946911237968
CHN,Asia and Pacific,PLAW,Re-processing of secondary plastic into new plastic,blue_water_consumption,Mm3,0.8007683985200427,19,1.1562783995273846,99.71946911237968
RoW Africa,Africa,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,0.7337644001289458,20,1.0595272338160748,99.71946911237968
OTH,Other,OTHER,All other pairs,blue_water_consumption,Mm3,24.803147476171535,21,35.81477955423023,99.71946911237968
DNK,Denmark,HWAT,Steam and hot water supply,climate_change,kt CO2eq,1263.876160038674,1,24.289828742058265,86.97329391323534
DNK,Denmark,TDRT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",climate_change,kt CO2eq,184.6869882613733,2,3.549410502068504,86.97329391323534
RoW Asia and Pacific,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,126.1587140534783,3,2.4245837175879,86.97329391323534
CHN,Asia and Pacific,POWC,Production of electricity by coal,climate_change,kt CO2eq,104.4164943550915,4,2.0067304423668046,86.97329391323534
CHN,Asia and Pacific,CHEM,Chemicals nec,climate_change,kt CO2eq,92.39093692308258,5,1.7756170312693558,86.97329391323534
DNK,Denmark,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,82.61769397490397,6,1.5877897702040606,86.97329391323534
DNK,Denmark,INCT,Incineration of waste: Textiles,climate_change,kt CO2eq,80.51769160953374,7,1.5474308336044498,86.97329391323534
DEU,Europe,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,79.00182360728296,8,1.5182980947061144,86.97329391323534
DNK,Denmark,TAIR,Air transport (62),climate_change,kt CO2eq,76.50854834641105,9,1.470381035259771,86.97329391323534
DNK,Denmark,INCL,Incineration of waste: Plastic,climate_change,kt CO2eq,75.7001251089568,10,1.4548443374330922,86.97329391323534
RoW Middle East,Middle East,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,53.85240247697547,11,1.0349634520158228,86.97329391323534
RoW Middle East,Middle East,TAIR,Air transport (62),climate_change,kt CO2eq,48.95871127602589,12,0.9409139517990093,86.97329391323534
RoW Middle East,Middle East,TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),climate_change,kt CO2eq,46.08859173203321,13,0.8857545031148254,86.97329391323534
DNK,Denmark,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,43.4206722739545,14,0.8344810407430423,86.97329391323534
RoW Middle East,Middle East,POWG,Production of electricity by gas,climate_change,kt CO2eq,41.09597341847327,15,0.7898037702462476,86.97329391323534
RoW Middle East,Middle East,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,39.08195571829626,16,0.7510973316191619,86.97329391323534
DNK,Denmark,TAUX,Supporting and auxiliary transport activities; activities of travel agencies (63),climate_change,kt CO2eq,37.63206136760219,17,0.7232325086357464,86.97329391323534
IDN,Asia and Pacific,COAL,Mining of coal and lignite; extraction of peat (10),climate_change,kt CO2eq,36.77006005830329,18,0.7066661195856834,86.97329391323534
RoW Asia and Pacific,Asia and Pacific,TAIR,Air transport (62),climate_change,kt CO2eq,36.1473893887359,19,0.6946993111239811,86.97329391323534
DNK,Denmark,TWAI,Inland water transport,climate_change,kt CO2eq,36.00254341301145,20,0.6919155859018711,86.97329391323534
OTH,Other,OTHER,All other pairs,climate_change,kt CO2eq,2618.3888764629346,21,50.321557918656296,86.97329391323534
RoW Africa,Africa,CATL,Cattle farming,land_use,km2,240.7729248527412,1,5.506206086137709,99.95842022878514
BRA,America,FORE,"Forestry, logging and related service activities (02)",land_use,km2,235.0689849556963,2,5.375763393732484,99.95842022878514
RUS,Europe,FORE,"Forestry, logging and related service activities (02)",land_use,km2,213.6297393671755,3,4.885471951644825,99.95842022878514
BRA,America,SUGB,"Cultivation of sugar cane, sugar beet",land_use,km2,208.1442764500704,4,4.760025582133303,99.95842022878514
RoW Asia and Pacific,Asia and Pacific,OMEA,Meat animals nec,land_use,km2,149.9331392481159,5,3.4288023221324813,99.95842022878514
DNK,Denmark,OCER,Cultivation of cereal grains nec,land_use,km2,143.178504933038,6,3.274331429701101,99.95842022878514
AUS,Asia and Pacific,CATL,Cattle farming,land_use,km2,140.5851042987166,7,3.2150232730002277,99.95842022878514
RoW Asia and Pacific,Asia and Pacific,CATL,Cattle farming,land_use,km2,138.0695474695562,8,3.1574953166022244,99.95842022878514
CHN,Asia and Pacific,FORE,"Forestry, logging and related service activities (02)",land_use,km2,134.1244225960802,9,3.06727474631928,99.95842022878514
RoW Asia and Pacific,Asia and Pacific,MILK,Raw milk,land_use,km2,100.4409141451875,10,2.29697077900979,99.95842022878514
DNK,Denmark,WHEA,Cultivation of wheat,land_use,km2,96.14462731496944,11,2.198719529593734,99.95842022878514
RoW Africa,Africa,FORE,"Forestry, logging and related service activities (02)",land_use,km2,89.5301101751476,12,2.047452959424249,99.95842022878514
SWE,Europe,FORE,"Forestry, logging and related service activities (02)",land_use,km2,84.35030086366608,13,1.9289965442216008,99.95842022878514
