indicator,unit,purchased_sector_group,value,expenditure_meur,footprint
material_extraction,kt per MEUR,Minerals and Metals,93.60358364120674,7.818692695280356,731.857655667567
material_extraction,kt per MEUR,Non-metallic mineral products,5.881800778587105,13.244607956944623,77.90214539323786
climate_change,kt CO2eq per MEUR,"Steam, hot water supply and water distribution",2.50301691445644,6.699952640492699,16.77009478521031
climate_change,kt CO2eq per MEUR,Minerals and Metals,1.7586871453135073,7.818692695280356,13.750634336346183
land_use,km2 per MEUR,Food and catering,1.5468474591469688,864.1588371810931,1336.721901592973
climate_change,kt CO2eq per MEUR,Coal and Petroleum,1.3849600877282413,25.544255244228243,35.377773983998935
land_use,km2 per MEUR,Paper Products,1.2794434108266246,57.87551012959729,74.04844008354281
climate_change,kt CO2eq per MEUR,Natural gas and gaseous fuels,0.9247717992879936,23.819838285099777,22.027914709660756
climate_change,kt CO2eq per MEUR,Non-metallic mineral products,0.8732860692186811,13.244607956944623,11.566331621062638
climate_change,kt CO2eq per MEUR,Waste management and disposal,0.816504194424458,302.75139414557606,247.19778318771515
material_extraction,kt per MEUR,Metal Products,0.7678172057563848,62.029688769302155,47.62746230478378
climate_change,kt CO2eq per MEUR,Electricity,0.6806887276233999,107.57809931185747,73.22719954073202
land_use,km2 per MEUR,Textile,0.6640064373530342,12.199746060795654,8.100709918440636
material_extraction,kt per MEUR,Chemical,0.6248371437352428,1251.049609463706,781.702264648393
material_extraction,kt per MEUR,Construction,0.6005143045913901,125.0056169422406,75.06766112808731
climate_change,kt CO2eq per MEUR,Textile,0.5670692627973425,12.199746060795654,6.9181010050101746
climate_change,kt CO2eq per MEUR,Food and catering,0.4574894190349916,864.1588371810931,395.34352437593213
land_use,km2 per MEUR,Minerals and Metals,0.45396026203848017,7.818692695280356,3.5493757847478213
material_extraction,kt per MEUR,Transport Equipment,0.4487221325476204,6.976069849464856,3.130316939653027
climate_change,kt CO2eq per MEUR,Transport,0.4326662354987764,1843.8362563704497,797.7656919199593
material_extraction,kt per MEUR,Paper Products,0.4188627831911895,57.87551012959729,24.241897251493
land_use,km2 per MEUR,Chemical,0.40999464063984686,1251.049609463706,512.9236350546929
climate_change,kt CO2eq per MEUR,Chemical,0.38959723039036137,1251.049609463706,487.4054629280031
climate_change,kt CO2eq per MEUR,Metal Products,0.3678603200043932,62.032228387880835,22.81919538535145
climate_change,kt CO2eq per MEUR,Transport Equipment,0.3471346745196813,6.976069849464856,2.4216357366205448
land_use,km2 per MEUR,Construction,0.3433272418042207,125.0056169422406,42.917833674814425
climate_change,kt CO2eq per MEUR,Paper Products,0.31439467350206224,57.87551012959729,18.195752110960036
material_extraction,kt per MEUR,General and special Machinery,0.3135537379013987,75.33619934187375,23.621946902929405
land_use,km2 per MEUR,Electricity,0.31186741913819277,107.57809931185747,33.55010418818118
land_use,km2 per MEUR,Furniture and timber,0.27543604082100204,73.70805001839491,20.30185347370308
climate_change,kt CO2eq per MEUR,Construction,0.26116217799970864,125.0056169422406,32.64673918283283
land_use,km2 per MEUR,Non-metallic mineral products,0.2511168353860677,13.244607956944623,3.3259440360770656
climate_change,kt CO2eq per MEUR,General and special Machinery,0.24978936518732622,75.33619934187375,18.81818140923251
land_use,km2 per MEUR,Transport Equipment,0.22577237735434158,6.976069849464856,1.5750038745036243
climate_change,kt CO2eq per MEUR,Furniture and timber,0.20889617738987032,73.70805001839491,15.397329891704057
material_extraction,kt per MEUR,Textile,0.20195325541538142,12.199746060795654,2.463778432218658
material_extraction,kt per MEUR,Coal and Petroleum,0.1987707812708808,25.544255244228243,5.077451571878042
climate_change,kt CO2eq per MEUR,"Electrical, electronic and measuring equipment",0.18345108899052615,715.6409232645714,131.28510669907118
material_extraction,kt per MEUR,Electricity,0.18295328759094445,107.57809931185747,19.681766941889443
land_use,km2 per MEUR,Metal Products,0.16649802113959566,62.029688769302155,10.32782043199381
material_extraction,kt per MEUR,"Electrical, electronic and measuring equipment",0.16093436078653742,715.6409232645714,115.17121453827126
material_extraction,kt per MEUR,Furniture and timber,0.15638929685123523,73.70805001839491,11.527150114652457
land_use,km2 per MEUR,Coal and Petroleum,0.15212259222612218,25.544255244228243,3.8858583242377156
land_use,km2 per MEUR,General and special Machinery,0.15207345380868706,75.33619934187375,11.456636030738478
material_extraction,kt per MEUR,Food and catering,0.12976771012023267,864.1588371810931,112.13991348115343
climate_change,kt CO2eq per MEUR,Services,0.12631196748908813,6029.477526805111,761.5951693419946
land_use,km2 per MEUR,"Electrical, electronic and measuring equipment",0.12278042059058408,715.6409232645714,87.86669355025798
land_use,km2 per MEUR,Transport,0.11808531620033472,1843.8362563704497,217.729987355146
waste_generation,kt per MEUR,Electricity,0.11692011126637418,107.57809931185747,12.578043341367428
material_extraction,kt per MEUR,"Steam, hot water supply and water distribution",0.11071104538503196,6.699952640492699,0.7417587608591518
land_use,km2 per MEUR,"Steam, hot water supply and water distribution",0.10719126044912919,6.699952640492699,0.7181763684838837
land_use,km2 per MEUR,Services,0.10261708903201715,6029.477526805111,618.7274321847066
waste_generation,kt per MEUR,Paper Products,0.1020823511808894,57.87551012959729,5.908068149822673
