indicator,unit,contribution_group,value,share_pct
blue_water_consumption,Mm3,Food and food services,22.87125468907371,32.94159768122543
blue_water_consumption,Mm3,Services,17.767980725177658,25.591323283903122
blue_water_consumption,Mm3,Pharmaceuticals and chemical products,12.469065409991643,17.959265540121727
blue_water_consumption,Mm3,Other,7.192364813859763,10.359203782027656
blue_water_consumption,Mm3,Transport,5.806930060056149,8.363754258430285
blue_water_consumption,Mm3,"Medical, electrical equipment and machinery",2.355166320936886,3.392159392713093
blue_water_consumption,Mm3,Heat and electricity,0.7032162560015733,1.012846356836213
blue_water_consumption,Mm3,Individual travel,0.2637285363267545,0.37984970474246615
climate_change,kt CO2eq,Services,1344.9050253037146,22.347871072063448
climate_change,kt CO2eq,Transport,1182.5353852057515,19.64982495382013
climate_change,kt CO2eq,Other,971.1933566055395,16.13801979404738
climate_change,kt CO2eq,Individual travel,850.0725918235596,14.125393486188841
climate_change,kt CO2eq,Pharmaceuticals and chemical products,590.301325978976,9.808854661441362
climate_change,kt CO2eq,Food and food services,577.7044898982973,9.599536930188666
climate_change,kt CO2eq,Operational impacts,198.59996446025002,3.3000742187514467
climate_change,kt CO2eq,"Medical, electrical equipment and machinery",190.0817911584321,3.158530366109859
climate_change,kt CO2eq,Heat and electricity,112.65146175028018,1.8718945173888595
land_use,km2,Food and food services,1796.676401179563,35.237109791343
land_use,km2,Services,1275.4885929336724,25.015373696288442
land_use,km2,Other,732.7038832839645,14.370070850193182
land_use,km2,Pharmaceuticals and chemical products,617.6497984409343,12.113585810987077
land_use,km2,Transport,461.7487009495919,9.055993422459752
land_use,km2,"Medical, electrical equipment and machinery",145.07862854046365,2.845337957854587
land_use,km2,Heat and electricity,66.99102655788373,1.3138538227057195
land_use,km2,Individual travel,2.4818321428016286,0.048674648168234545
material_extraction,kt,Other,2099.4254638602406,38.94194014824614
material_extraction,kt,Services,1266.8285198676826,23.498219511956265
material_extraction,kt,Pharmaceuticals and chemical products,943.6602991613463,17.503818793665694
material_extraction,kt,Transport,470.3547889537151,8.724543145341146
material_extraction,kt,Food and food services,297.28649052160205,5.514324237778727
material_extraction,kt,"Medical, electrical equipment and machinery",207.8603853483052,3.8555723100269734
material_extraction,kt,Heat and electricity,67.63854635888923,1.2546176415232717
material_extraction,kt,Individual travel,38.11362921134729,0.7069642114617777
waste_generation,kt,Other,73.2045865922242,21.368678567455568
waste_generation,kt,Services,66.83230117952807,19.508585845636233
waste_generation,kt,Pharmaceuticals and chemical products,57.613624987167476,16.817621555798507
waste_generation,kt,Operational impacts,49.437,14.430835710115355
waste_generation,kt,Food and food services,42.58027701855222,12.429333943118063
waste_generation,kt,Transport,26.70686496041386,7.795828642028619
waste_generation,kt,Heat and electricity,16.953209916452185,4.948702127220907
waste_generation,kt,"Medical, electrical equipment and machinery",9.251047565880294,2.700413608626759
