indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,37.32694986704929,48.57274251711567
blue_water_consumption,Mm3,Middle East,15.391882691652432,20.029119911971605
blue_water_consumption,Mm3,Europe,8.127346414743696,10.575937925729994
blue_water_consumption,Mm3,Denmark,6.872030763840463,8.942423156743908
blue_water_consumption,Mm3,America,5.498316682208289,7.154839102410078
blue_water_consumption,Mm3,Africa,3.473697382350705,4.5202463404127435
blue_water_consumption,Mm3,Unallocated,0.1573,0.20469104561599905
climate_change,kt CO2eq,Denmark,2006.8463010911976,33.6741614504913
climate_change,kt CO2eq,Europe,1622.5750890402542,27.226228278756388
climate_change,kt CO2eq,Asia and Pacific,1264.989543329621,21.22607102103588
climate_change,kt CO2eq,Middle East,357.1713734570272,5.993207595791409
climate_change,kt CO2eq,America,288.3389690285293,4.838224526838676
climate_change,kt CO2eq,Unallocated,245.5214056733666,4.119761164420535
climate_change,kt CO2eq,Africa,174.160214629461,2.9223459626658155
land_use,km2,Europe,1698.9235062867426,31.23522531058218
land_use,km2,Asia and Pacific,1485.864152269073,27.31806429500801
land_use,km2,America,833.0623740754229,15.316105084028749
land_use,km2,Africa,805.9876938437803,14.818328854482257
land_use,km2,Denmark,457.77394191503345,8.41631313247373
land_use,km2,Middle East,156.0381168141012,2.86880822926514
land_use,km2,Unallocated,1.4769999999999999,0.027155094159927028
material_extraction,kt,Denmark,3019.2256977614093,51.254760522773516
material_extraction,kt,Europe,1279.123204252062,21.714558657099452
material_extraction,kt,Asia and Pacific,925.2801643190093,15.707674081406502
material_extraction,kt,America,280.47100855454056,4.761311613008053
material_extraction,kt,Middle East,274.15771750974193,4.654136379022847
material_extraction,kt,Africa,89.68223096017434,1.5224569910159278
material_extraction,kt,Unallocated,22.6849,0.3851017556736981
waste_generation,kt,Denmark,186.6730580061938,50.50563534552839
waste_generation,kt,Europe,103.68684600554292,28.053164663484285
waste_generation,kt,Asia and Pacific,45.86213258834227,12.408304494579152
waste_generation,kt,Africa,16.529862696057144,4.47226411007321
waste_generation,kt,America,12.224705680630118,3.3074752934718004
waste_generation,kt,Middle East,4.631769869113612,1.2531560928631496
