indicator,unit,purchased_world_region,value
material_extraction,kt per MEUR,Europe,62374.20141520121
climate_change,kt CO2eq per MEUR,Europe,25572.856253342765
climate_change,kt CO2eq per MEUR,America,11296.569604751809
land_use,km2 per MEUR,Europe,9850.357111662619
land_use,km2 per MEUR,America,4694.069532017905
climate_change,kt CO2eq per MEUR,Middle East,3407.517221122815
land_use,km2 per MEUR,Asia and Pacific,3348.044738652826
material_extraction,kt per MEUR,America,2944.5725252048383
land_use,km2 per MEUR,Africa,2730.909869808659
waste_generation,kt per MEUR,Europe,2654.459666743155
material_extraction,kt per MEUR,Asia and Pacific,2591.386613330291
climate_change,kt CO2eq per MEUR,Africa,2166.461484902945
climate_change,kt CO2eq per MEUR,Asia and Pacific,2059.9522273040698
material_extraction,kt per MEUR,Middle East,961.9065388877676
land_use,km2 per MEUR,Middle East,855.7180459442335
material_extraction,kt per MEUR,Africa,716.1823262412727
material_extraction,kt per MEUR,Denmark,386.95702272215345
waste_generation,kt per MEUR,America,371.2024664424785
climate_change,kt CO2eq per MEUR,Denmark,350.4839107108907
blue_water_consumption,Mm3 per MEUR,Europe,220.47856592746737
land_use,km2 per MEUR,Denmark,128.55567680739307
waste_generation,kt per MEUR,Middle East,73.97859672417954
blue_water_consumption,Mm3 per MEUR,Asia and Pacific,60.56594293441542
blue_water_consumption,Mm3 per MEUR,America,56.707341403697406
waste_generation,kt per MEUR,Asia and Pacific,56.693980446762716
waste_generation,kt per MEUR,Africa,47.05883807076375
blue_water_consumption,Mm3 per MEUR,Middle East,32.33235345790625
blue_water_consumption,Mm3 per MEUR,Africa,15.275099911833598
waste_generation,kt per MEUR,Denmark,7.163061302583203
blue_water_consumption,Mm3 per MEUR,Denmark,2.363039719855897
