indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,22.098515688425632,23.138606927476573
blue_water_consumption,Mm3,imported,73.40643738713806,76.86139307252343
climate_change,kt CO2eq,domestic,2906.762609750073,61.683043669083155
climate_change,kt CO2eq,imported,1805.6549962037718,38.316956330916845
land_use,km2,domestic,1552.224921279025,31.96864726344362
land_use,km2,imported,3303.2352065381615,68.03135273655639
material_extraction,kt,domestic,2587.9090387951524,60.75782093336992
material_extraction,kt,imported,1671.475183744994,39.242179066630094
waste_generation,kt,domestic,169.50111919843863,65.33897389577187
waste_generation,kt,imported,89.9169724735017,34.661026104228135
