producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
RoW Middle East,Middle East,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,9.499798479461626,1,9.965448712219436,99.8140410583109
RoW Middle East,Middle East,OCER,Cultivation of cereal grains nec,blue_water_consumption,Mm3,5.940605783489476,2,6.231795588387425,99.8140410583109
IND,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,5.045672912637809,3,5.292995923885803,99.8140410583109
RoW Middle East,Middle East,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,4.790783710011637,4,5.025612854491096,99.8140410583109
RoW Asia and Pacific,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,3.248623568773796,5,3.4078608751453463,99.8140410583109
RoW Asia and Pacific,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,2.90233711136119,6,3.0446005450928455,99.8140410583109
DNK,Denmark,POWB,Production of electricity by biomass and waste,blue_water_consumption,Mm3,2.894991858849627,7,3.036895251413138,99.8140410583109
IND,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,2.840963810361729,8,2.980218917973909,99.8140410583109
RoW Middle East,Middle East,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,2.607374554953365,9,2.7351798521947472,99.8140410583109
IND,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,2.578597834744073,10,2.7049925876994436,99.8140410583109
RoW Asia and Pacific,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,2.28550309683722,11,2.3975312678886187,99.8140410583109
RoW Asia and Pacific,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,2.207374352419377,12,2.3155728982316828,99.8140410583109
CHN,Asia and Pacific,PLAS,"Plastics, basic",blue_water_consumption,Mm3,1.989836999330476,13,2.0873725485204466,99.8140410583109
IND,Asia and Pacific,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,1.746723522622593,14,1.8323424140792088,99.8140410583109
USA,America,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,1.690136582006835,15,1.7729817596709165,99.8140410583109
CHN,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,1.66608809483363,16,1.747754491318944,99.8140410583109
RoW Middle East,Middle East,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,1.638781407829837,17,1.7191093164317868,99.8140410583109
DEU,Europe,CHEM,Chemicals nec,blue_water_consumption,Mm3,1.52106841666805,18,1.5956264047973066,99.8140410583109
IND,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.401354588754182,19,1.4700445816882837,99.8140410583109
RoW Asia and Pacific,Asia and Pacific,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,1.061083509528939,20,1.1130944847360282,99.8140410583109
OTH,Other,OTHER,All other pairs,blue_water_consumption,Mm3,35.76965288008812,21,37.52296872413358,99.8140410583109
RUS,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,100.7131370463075,1,2.5539689921494393,83.66410911413828
RoW Europe,Europe,HWAT,Steam and hot water supply,climate_change,kt CO2eq,94.7328773110933,2,2.4023165029442404,83.66410911413828
DNK,Denmark,HWAT,Steam and hot water supply,climate_change,kt CO2eq,94.0145977775539,3,2.3841017624430907,83.66410911413828
RoW Asia and Pacific,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,84.70578296005485,4,2.1480409555334377,83.66410911413828
USA,America,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,81.95080490635945,5,2.078177889705639,83.66410911413828
NOR,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,77.67250015765433,6,1.969685015909696,83.66410911413828
DNK,Denmark,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,73.88025327190901,7,1.8735180088953525,83.66410911413828
DNK,Denmark,POWT,Transmission of electricity,climate_change,kt CO2eq,68.2083285164155,8,1.7296845391398166,83.66410911413828
DEU,Europe,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,64.15870405140245,9,1.6269907335766198,83.66410911413828
