indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.4365481267033955,4.645359202672129
blue_water_consumption,Mm3,imported,91.06840494886028,95.35464079732787
climate_change,kt CO2eq,domestic,1241.0246059095427,26.329892120909502
climate_change,kt CO2eq,imported,3472.3430000443036,73.6701078790905
land_use,km2,domestic,375.99855102724763,7.7438294441577655
land_use,km2,imported,4479.4615767899395,92.25617055584225
material_extraction,kt,domestic,1946.6958760528387,45.703692701662376
material_extraction,kt,imported,2312.688346487306,54.29630729833763
waste_generation,kt,domestic,131.38828097997097,50.64730841753482
waste_generation,kt,imported,128.02981069196963,49.35269158246518
