country_consuming,sector_consuming,analysis,purchased_country_iso3,purchased_country_name,purchased_world_region,purchased_sector_code,purchased_sector_name,purchased_sector_group,Total (MEUR),value,indicator,unit,component_type,analysis_year,model
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,WHEA,Cultivation of wheat,Food and catering,0.0004914287700220353,1.823920937258031,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OCER,Cultivation of cereal grains nec,Food and catering,0.002013054229276689,0.9709284636545439,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,FVEG,"Cultivation of vegetables, fruit, nuts",Food and catering,0.0005615866707143666,0.2951908745424334,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OILS,Cultivation of oil seeds,Food and catering,0.0009468083898669787,1.335069486336155,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OTCR,Cultivation of crops nec,Food and catering,0.01330892081741039,1.159868032739155,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,CATL,Cattle farming,Food and catering,0.001863002748435206,5.199618170520055,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PIGS,Pigs farming,Food and catering,0.0006526855455854391,0.8290735457406531,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PLTR,Poultry farming,Food and catering,0.0002207463252157052,0.6585999252789826,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OMEA,Meat animals nec,Food and catering,0.009851675615629286,2.80359489484944,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OANP,Animal products nec,Food and catering,0.007841251415105095,0.1036361543103251,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,MILK,Raw milk,Food and catering,0.0009388215683714694,3.089920387318309,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,FORE,"Forestry, logging and related service activities (02)",Food and catering,0.009246951301999198,0.6695495214966329,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Food and catering,1.219177259621409e-05,0.2643257338167961,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,COAL,Mining of coal and lignite; extraction of peat (10),Coal and Petroleum,4.200657763740234e-06,21.03711215147496,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum,0.0007042021205089121,4.474049049284589,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels,0.001448200735991726,2.593733297648271,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,IRON,Mining of iron ores,Minerals and Metals,0.0001304548435026017,1.283513446818311,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals,0.0004484256073400745,0.1600908782847546,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,STON,Quarrying of stone,Minerals and Metals,0.007489365143912781,2.180278728921128,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,SDCL,Quarrying of sand and clay,Minerals and Metals,0.02149716596047912,1.858814199994523,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,CHMF,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Minerals and Metals,0.01449296344212971,0.9399856144028315,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PCAT,Processing of meat cattle,Food and catering,0.01938999645984743,1.432049812586876,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PPIG,Processing of meat pigs,Food and catering,0.0316866395762802,0.4516761830138982,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,PPLT,Processing of meat poultry,Food and catering,0.001528487760525302,0.07667172100270558,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,POME,Production of meat products nec,Food and catering,0.03677880834254187,0.04706061752796566,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,VOIL,Processing vegetable oils and fats,Food and catering,0.005821756859636142,0.05213383762005162,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,DAIR,Processing of dairy products,Food and catering,0.3615887114825815,0.7482930182101463,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,RICE,Processed rice,Food and catering,3.43172105836992e-05,1.051743079291035,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,SUGR,Sugar refining,Food and catering,0.003863150990100032,0.5830609284592684,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,OFOD,Processing of Food products nec,Food and catering,0.1699117356637235,0.5721050261821258,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,BEVR,Manufacture of beverages,Food and catering,0.1784126412151252,0.3753525539199074,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,FSHP,Manufacture of fish products,Food and catering,0.001700496716187167,1.087396846585335,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,TOBC,Manufacture of tobacco products (16),Food and catering,0.00289153855615946,0.4232199545073342,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
DNK,health_and_eldercare,"impact per unit of node output, indexed by the node whose output is bought; the multipliers behind both analyses",AUT,Austria,Europe,TEXT,Manufacture of textiles (17),Textile,0.02495690543211615,0.3849796565327241,climate_change,kt CO2eq per MEUR,MRIO supply-chain node,2022,EXIOBASE v3.8.2 IOT_2022_ixi
