indicator,unit,purchased_sector_group,value,expenditure_meur,footprint
material_extraction,kt per MEUR,Minerals and Metals,99.14197795060156,9.498691661419093,941.7190792559745
material_extraction,kt per MEUR,Non-metallic mineral products,5.739910602789432,16.11691331318276,92.50964161057587
climate_change,kt CO2eq per MEUR,"Steam, hot water supply and water distribution",2.1443511897338405,8.301971500923708,17.80234246514219
climate_change,kt CO2eq per MEUR,Natural gas and gaseous fuels,2.093780878452241,2.0377995143162773,4.266705657194685
climate_change,kt CO2eq per MEUR,Minerals and Metals,1.7350541394421948,9.498691661419093,16.480744286430255
land_use,km2 per MEUR,Food and catering,1.2320493657866602,1284.4301073580693,1582.4812991678014
climate_change,kt CO2eq per MEUR,Coal and Petroleum,1.1483492466711767,42.94597696745867,49.316980298138866
land_use,km2 per MEUR,Paper Products,1.1164346500422544,73.51009314820355,82.06921511848816
climate_change,kt CO2eq per MEUR,Non-metallic mineral products,0.876668119435982,16.11691331318276,14.129184085380672
material_extraction,kt per MEUR,Chemical,0.8704022536118164,1668.4634076887278,1452.2343101211195
climate_change,kt CO2eq per MEUR,Transport,0.8489773655677757,1986.798758790186,1686.7471761510187
material_extraction,kt per MEUR,Metal Products,0.8386426768439385,32.27079952041596,27.06366969369573
land_use,km2 per MEUR,Chemical,0.799825081416057,1668.4634076887278,1334.4788808943485
land_use,km2 per MEUR,Textile,0.7294345370645938,13.55024822728623,9.884019042780865
climate_change,kt CO2eq per MEUR,Chemical,0.6964454650003057,1668.4634076887278,1161.9937738037706
climate_change,kt CO2eq per MEUR,Electricity,0.6677929776240522,112.13825954475429,74.88514224697026
climate_change,kt CO2eq per MEUR,Textile,0.5528377789904879,13.55024822728623,7.491089134742715
material_extraction,kt per MEUR,Construction,0.497441071922749,112.72615168426316,56.07461772754626
climate_change,kt CO2eq per MEUR,Metal Products,0.49015858276394125,32.2736450382239,15.81920411256233
land_use,km2 per MEUR,Minerals and Metals,0.45488551718670023,9.498691661419093,4.320817269001621
material_extraction,kt per MEUR,Transport Equipment,0.4269476349470921,8.024688157744466,3.426121630136937
land_use,km2 per MEUR,Furniture and timber,0.35452546677471297,44.31021593889519,15.709099988625143
climate_change,kt CO2eq per MEUR,Food and catering,0.3472488297300163,1284.4301073580693,446.01685165008877
climate_change,kt CO2eq per MEUR,Waste management and disposal,0.3459972966972343,318.71727849615723,110.27531677036995
land_use,km2 per MEUR,Construction,0.34599217896530965,112.72615168426316,39.00236684761222
climate_change,kt CO2eq per MEUR,Transport Equipment,0.3312329114043134,8.024688157744466,2.6580408216014155
material_extraction,kt per MEUR,General and special Machinery,0.3295463402809699,47.11724185778186,15.527314618365342
climate_change,kt CO2eq per MEUR,General and special Machinery,0.32626195738900177,47.11724185778186,15.372563555290917
material_extraction,kt per MEUR,Textile,0.3248047428879518,13.55024822728623,4.401184891531629
material_extraction,kt per MEUR,Paper Products,0.28261558581308366,73.51009314820355,20.775098038253894
climate_change,kt CO2eq per MEUR,Paper Products,0.27572033570356236,73.51009314820355,20.268227560422822
material_extraction,kt per MEUR,Electricity,0.2710451213927822,112.13825954475429,30.39452817108324
climate_change,kt CO2eq per MEUR,Construction,0.25405140443603175,112.72615168426316,28.638237152056202
land_use,km2 per MEUR,Non-metallic mineral products,0.2264467284743483,16.11691331318276,3.6496222928749056
land_use,km2 per MEUR,Transport Equipment,0.21266659606265312,8.024688157744466,1.7065831149717983
land_use,km2 per MEUR,Metal Products,0.19707379030045222,32.27079952041596,6.359728777514389
land_use,km2 per MEUR,Natural gas and gaseous fuels,0.1893815215780459,2.0377995143162773,0.38592157269221955
climate_change,kt CO2eq per MEUR,"Electrical, electronic and measuring equipment",0.17300276981136598,745.19314916231,128.92047884953402
material_extraction,kt per MEUR,Coal and Petroleum,0.17062760709393776,42.94597696745867,7.327769284268839
climate_change,kt CO2eq per MEUR,Furniture and timber,0.16849593762534945,44.31021593889519,7.46609138100585
material_extraction,kt per MEUR,Natural gas and gaseous fuels,0.1676345973922914,2.0377995143162773,0.34160570114861605
land_use,km2 per MEUR,General and special Machinery,0.1662063928611884,47.11724185778186,7.831186810750124
land_use,km2 per MEUR,Coal and Petroleum,0.16128095597808254,42.94597696745867,6.926368220724449
climate_change,kt CO2eq per MEUR,Services,0.14948319530088341,6877.142352899407,1028.017213450439
land_use,km2 per MEUR,Transport,0.14507483934347307,1986.798758790186,288.23451073929795
material_extraction,kt per MEUR,"Electrical, electronic and measuring equipment",0.1423362661513949,745.19314916231,106.06801041336269
land_use,km2 per MEUR,Electricity,0.13221197238243979,112.13825954475429,14.826020473945919
material_extraction,kt per MEUR,Furniture and timber,0.12829481417732716,44.31021593889519,5.684770920037798
