indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.4326037512126435,4.643956947443984
blue_water_consumption,Mm3,imported,91.0162516403588,95.35604305255602
climate_change,kt CO2eq,domestic,1218.6340130445392,26.064435955734538
climate_change,kt CO2eq,imported,3456.83264625381,73.93556404426548
land_use,km2,domestic,375.98769989101595,7.7494072936394645
land_use,km2,imported,4475.83755130746,92.25059270636054
material_extraction,kt,domestic,1946.3982150722316,45.72049167125647
material_extraction,kt,imported,2310.769947220065,54.27950832874353
waste_generation,kt,domestic,131.3799285631539,50.6720269257452
waste_generation,kt,imported,127.8951321240337,49.32797307425481
