indicator,unit,purchased_sector_group,value
material_extraction,kt per MEUR,Minerals and Metals,16334.23882033325
land_use,km2 per MEUR,Food and catering,15936.181169068259
climate_change,kt CO2eq per MEUR,Electricity,9257.100728171159
climate_change,kt CO2eq per MEUR,"Steam, hot water supply and water distribution",7206.276424444136
climate_change,kt CO2eq per MEUR,Waste management and disposal,6681.892868446073
climate_change,kt CO2eq per MEUR,Food and catering,4029.097476148407
climate_change,kt CO2eq per MEUR,Metal Products,2416.5415904868455
waste_generation,kt per MEUR,Construction,1684.4966951740894
climate_change,kt CO2eq per MEUR,Natural gas and gaseous fuels,1573.5556142191385
material_extraction,kt per MEUR,Non-metallic mineral products,1517.2751896785974
climate_change,kt CO2eq per MEUR,Chemical,1470.9126084954887
climate_change,kt CO2eq per MEUR,Transport,1447.4029109631845
climate_change,kt CO2eq per MEUR,Textile,1404.4244664668033
climate_change,kt CO2eq per MEUR,Minerals and Metals,1240.156966818325
material_extraction,kt per MEUR,Metal Products,1002.1412542376644
land_use,km2 per MEUR,Textile,781.2656561942348
climate_change,kt CO2eq per MEUR,Coal and Petroleum,777.2590155489614
climate_change,kt CO2eq per MEUR,Non-metallic mineral products,734.059950518334
material_extraction,kt per MEUR,Waste management and disposal,593.8251009132831
land_use,km2 per MEUR,Furniture and timber,573.5815885330732
climate_change,kt CO2eq per MEUR,Construction,499.3378101489544
land_use,km2 per MEUR,Waste management and disposal,496.626861655231
land_use,km2 per MEUR,Paper Products,448.8757409494548
material_extraction,kt per MEUR,Chemical,382.4490701608416
material_extraction,kt per MEUR,Food and catering,321.7709507996042
land_use,km2 per MEUR,Services,321.2072833649392
climate_change,kt CO2eq per MEUR,Services,315.4538692633085
land_use,km2 per MEUR,Chemical,291.4225182334056
land_use,km2 per MEUR,Minerals and Metals,245.61614594668194
land_use,km2 per MEUR,Metal Products,238.30440330800346
land_use,km2 per MEUR,Electricity,214.4815870413656
climate_change,kt CO2eq per MEUR,Paper Products,173.6065498292732
blue_water_consumption,Mm3 per MEUR,Food and catering,169.24584440428126
land_use,km2 per MEUR,Non-metallic mineral products,155.3068736130098
material_extraction,kt per MEUR,Services,154.09980724160897
waste_generation,kt per MEUR,Metal Products,152.3372482994329
material_extraction,kt per MEUR,Electricity,144.99130364069504
waste_generation,kt per MEUR,Waste management and disposal,134.614791107404
land_use,km2 per MEUR,Coal and Petroleum,119.03518038451655
land_use,km2 per MEUR,Transport,113.28752754641407
material_extraction,kt per MEUR,Paper Products,99.67993061536475
waste_generation,kt per MEUR,Food and catering,95.50840147674899
climate_change,kt CO2eq per MEUR,Furniture and timber,93.40839302819177
waste_generation,kt per MEUR,Coal and Petroleum,91.43016265507434
climate_change,kt CO2eq per MEUR,"Electrical, electronic and measuring equipment",71.70652781395688
material_extraction,kt per MEUR,Transport,71.13152528541612
material_extraction,kt per MEUR,Construction,70.04312988835936
material_extraction,kt per MEUR,Coal and Petroleum,67.13594510916408
blue_water_consumption,Mm3 per MEUR,Chemical,64.82875893071888
material_extraction,kt per MEUR,"Electrical, electronic and measuring equipment",64.44034223192344
material_extraction,kt per MEUR,Textile,61.73474985933197
waste_generation,kt per MEUR,"Steam, hot water supply and water distribution",54.867518984519364
material_extraction,kt per MEUR,Transport Equipment,53.41957417589199
climate_change,kt CO2eq per MEUR,Transport Equipment,50.53632238366058
land_use,km2 per MEUR,"Electrical, electronic and measuring equipment",46.71802279729941
material_extraction,kt per MEUR,Furniture and timber,42.93845633835257
climate_change,kt CO2eq per MEUR,General and special Machinery,41.96927473236075
land_use,km2 per MEUR,Natural gas and gaseous fuels,41.80908957292009
land_use,km2 per MEUR,Transport Equipment,39.64290379756781
material_extraction,kt per MEUR,General and special Machinery,38.89165471627173
waste_generation,kt per MEUR,Electricity,37.29024186549427
material_extraction,kt per MEUR,Natural gas and gaseous fuels,35.55342509605581
material_extraction,kt per MEUR,"Steam, hot water supply and water distribution",35.217992739369954
