indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,34.68353202314353,34.593438819760706
blue_water_consumption,Mm3,imported,65.57690234376697,65.4065611802393
climate_change,kt CO2eq,domestic,4040.5649568358117,67.92278099920682
climate_change,kt CO2eq,imported,1908.1975899789247,32.07721900079318
land_use,km2,domestic,2923.0900365717252,45.741195514889284
land_use,km2,imported,3467.407639905109,54.25880448511072
material_extraction,kt,domestic,4369.932373001246,69.46548847887448
material_extraction,kt,imported,1920.8639183545824,30.534511521125527
waste_generation,kt,domestic,213.85866554269896,67.74996231284898
waste_generation,kt,imported,101.80005697461239,32.25003768715102
