producing_country_iso3,producing_world_region,producing_sector_code,producing_sector_name,indicator,unit,value,rank,share_pct,mrio_coverage_pct
RoW Middle East,Middle East,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,10.37514285494007,1,8.557081610562188,99.85373552163644
RoW Middle East,Middle East,OCER,Cultivation of cereal grains nec,blue_water_consumption,Mm3,6.534851772428247,2,5.389733973924978,99.85373552163644
IND,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,5.751932965585522,3,4.744007913256112,99.85373552163644
RoW Middle East,Middle East,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,5.21278542723892,4,4.299336495207263,99.85373552163644
RoW Asia and Pacific,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,4.441817961292177,5,3.6634675132150427,99.85373552163644
DNK,Denmark,POWB,Production of electricity by biomass and waste,blue_water_consumption,Mm3,4.263507781800427,6,3.516403055478117,99.85373552163644
RoW Asia and Pacific,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,3.74779393019459,7,3.0910589828625508,99.85373552163644
IND,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,3.504744127851444,8,2.8905993821457256,99.85373552163644
RoW Asia and Pacific,Asia and Pacific,SUGB,"Cultivation of sugar cane, sugar beet",blue_water_consumption,Mm3,3.193142221591529,9,2.63360022761329,99.85373552163644
RoW Middle East,Middle East,FVEG,"Cultivation of vegetables, fruit, nuts",blue_water_consumption,Mm3,3.166028963891478,10,2.6112380912927216,99.85373552163644
IND,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,3.135780725173184,11,2.586290324220294,99.85373552163644
RoW Asia and Pacific,Asia and Pacific,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,3.054864955525197,12,2.519553619565708,99.85373552163644
CHN,Asia and Pacific,PLAS,"Plastics, basic",blue_water_consumption,Mm3,3.039939064780599,13,2.50724322856699,99.85373552163644
CHN,Asia and Pacific,WHEA,Cultivation of wheat,blue_water_consumption,Mm3,2.530743900284815,14,2.0872755578356523,99.85373552163644
RoW Middle East,Middle East,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,2.043367217826518,15,1.68530306404055,99.85373552163644
USA,America,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,2.023503754262126,16,1.6689203229867244,99.85373552163644
IND,Asia and Pacific,OILS,Cultivation of oil seeds,blue_water_consumption,Mm3,2.004029944174671,17,1.6528589554935917,99.85373552163644
IND,Asia and Pacific,PARI,Cultivation of paddy rice,blue_water_consumption,Mm3,1.717107468236093,18,1.4162145953302097,99.85373552163644
USA,America,OTCR,Cultivation of crops nec,blue_water_consumption,Mm3,1.704142981505817,19,1.4055219068013765,99.85373552163644
DEU,Europe,CHEM,Chemicals nec,blue_water_consumption,Mm3,1.558824390691593,20,1.2856678422824366,99.85373552163644
OTH,Other,OTHER,All other pairs,blue_water_consumption,Mm3,48.242224383665814,21,39.78862333731848,99.85373552163644
DNK,Denmark,HWAT,Steam and hot water supply,climate_change,kt CO2eq,132.9121775643927,1,2.320944011816289,88.16101573401703
RUS,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",climate_change,kt CO2eq,118.2646706419671,2,2.065165767093972,88.16101573401703
RoW Asia and Pacific,Asia and Pacific,TWAS,Sea and coastal water transport,climate_change,kt CO2eq,108.0832618946508,3,1.8873755894220325,88.16101573401703
