indicator,unit,purchased_world_region,value,expenditure_meur,footprint
land_use,km2 per MEUR,Africa,5.698642432244658,109.98157105027263,626.7456475520144
land_use,km2 per MEUR,Middle East,2.6279448050723855,171.07217066803406,449.56822219951664
land_use,km2 per MEUR,Asia and Pacific,1.459813329723646,468.393035523054,683.7663968062755
material_extraction,kt per MEUR,Middle East,1.3414755377158138,171.07217066803406,229.48913213511247
climate_change,kt CO2eq per MEUR,Africa,1.0178358026680505,109.98157105027263,111.94318064864748
climate_change,kt CO2eq per MEUR,Middle East,0.8118886777823304,171.07217066803406,138.89155844902334
climate_change,kt CO2eq per MEUR,Asia and Pacific,0.8030018272310542,468.393035523054,376.12046338731244
material_extraction,kt per MEUR,Asia and Pacific,0.7162834246288603,468.393035523054,335.5021675567605
land_use,km2 per MEUR,Europe,0.6408247848382634,2346.415226031032,1503.6410323625614
land_use,km2 per MEUR,America,0.604885214638804,336.7355261053438,203.68634098474146
material_extraction,kt per MEUR,Europe,0.5133010210817914,2346.415226031032,1204.417331403591
climate_change,kt CO2eq per MEUR,Europe,0.5037356113786804,2346.415226031032,1181.9729084329865
material_extraction,kt per MEUR,Africa,0.48303597275012633,109.98157105027263,53.125055156855574
material_extraction,kt per MEUR,Denmark,0.324112179541678,13397.443376507536,4342.274573046075
climate_change,kt CO2eq per MEUR,America,0.294799542564154,336.7355261053438,99.2694790609551
material_extraction,kt per MEUR,America,0.2920102706107146,336.7355261053438,98.3302321022628
climate_change,kt CO2eq per MEUR,Denmark,0.2458536755887751,13397.446912489791,3293.811566941102
land_use,km2 per MEUR,Denmark,0.21804828757008504,13397.443376507536,2921.2895860646463
blue_water_consumption,Mm3 per MEUR,Middle East,0.09737716838335822,171.07217066803406,16.658523568847748
waste_generation,kt per MEUR,Africa,0.09293010457795486,109.98157105027263,10.220598899349609
blue_water_consumption,Mm3 per MEUR,Asia and Pacific,0.049032183292036256,468.393035523054,22.966333170479633
waste_generation,kt per MEUR,Asia and Pacific,0.036170697074097306,468.393035523054,16.942102599521284
blue_water_consumption,Mm3 per MEUR,Africa,0.02933422513947791,109.98157105027263,3.2262241663821833
waste_generation,kt per MEUR,Europe,0.028645050377294798,2346.415226031032,67.21318235571047
waste_generation,kt per MEUR,Middle East,0.017388074122090952,171.07217066803406,2.9746155838027697
waste_generation,kt per MEUR,America,0.013213804874381624,336.7355261053438,4.4495575362282525
waste_generation,kt per MEUR,Denmark,0.012771210868365902,13397.446912489791,171.10161961714482
blue_water_consumption,Mm3 per MEUR,Europe,0.008584275897442538,2346.415226031032,20.14227567021037
blue_water_consumption,Mm3 per MEUR,America,0.007672329075960945,336.7355261053438,2.5835457678470353
blue_water_consumption,Mm3 per MEUR,Denmark,0.0025744580702447162,13397.443376507536,34.49115622129644
