indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,22.112015688425632,23.149470051543904
blue_water_consumption,Mm3,imported,73.40643738713806,76.8505299484561
climate_change,kt CO2eq,domestic,2907.7126097500727,61.690766620390484
climate_change,kt CO2eq,imported,1805.6549962037718,38.30923337960951
land_use,km2,domestic,1552.348121279025,31.970373412927884
land_use,km2,imported,3303.2352065381615,68.02962658707212
material_extraction,kt,domestic,2589.8058387951523,60.77528858332303
material_extraction,kt,imported,1671.475183744994,39.224711416676975
waste_generation,kt,domestic,169.50111919843863,65.33897389577187
waste_generation,kt,imported,89.9169724735017,34.661026104228135
