indicator,unit,producing_world_region,value,share_pct
blue_water_consumption,Mm3,Asia and Pacific,39.30388070198667,41.153761596939816
blue_water_consumption,Mm3,Middle East,27.279974768526515,28.563937146738954
blue_water_consumption,Mm3,Europe,13.063437241491368,13.678282456361785
blue_water_consumption,Mm3,America,6.915729089940422,7.24122557755585
blue_water_consumption,Mm3,Denmark,4.436548126703394,4.6453592026721315
blue_water_consumption,Mm3,Africa,4.327783146915214,4.5314750780423605
blue_water_consumption,Mm3,Unallocated,0.1776,0.18595894168911092
climate_change,kt CO2eq,Europe,1559.5324984450772,33.08743617779997
climate_change,kt CO2eq,Denmark,1241.0246059095427,26.32989212090951
climate_change,kt CO2eq,Asia and Pacific,838.5844860549092,17.791620687417286
climate_change,kt CO2eq,Middle East,322.59319776332336,6.844218926523557
climate_change,kt CO2eq,America,302.2388297149408,6.412375502669425
climate_change,kt CO2eq,Unallocated,255.22901041375133,5.415003279000568
climate_change,kt CO2eq,Africa,194.1649776523014,4.1194533056796905
land_use,km2,Europe,1632.0086187218221,33.61182206753092
land_use,km2,Asia and Pacific,1085.772877588234,22.36189463008426
land_use,km2,Africa,943.14610036972,19.424443318283807
land_use,km2,America,535.7716626120562,11.034415863958847
land_use,km2,Denmark,375.99855102724763,7.7438294441577655
land_use,km2,Middle East,281.0931174981071,5.789216883642188
land_use,km2,Unallocated,1.6692,0.03437779234221419
material_extraction,kt,Denmark,1946.6958760528387,45.703692701662376
material_extraction,kt,Europe,952.3211206275836,22.358187730236118
material_extraction,kt,Asia and Pacific,759.7505715122446,17.837098787466434
material_extraction,kt,Middle East,321.2145903686751,7.541338690903875
material_extraction,kt,America,158.87725763402378,3.7300522642044034
material_extraction,kt,Africa,94.88970634477877,2.2277799181072693
material_extraction,kt,Unallocated,25.6351,0.6018499074195318
waste_generation,kt,Denmark,131.38828097997094,50.64730841753486
waste_generation,kt,Europe,72.36043674012274,27.89336559904604
waste_generation,kt,Asia and Pacific,28.801365588436955,11.10229645234578
waste_generation,kt,Africa,14.432087193003133,5.563253934985353
waste_generation,kt,America,9.610244870325788,3.704539189378852
waste_generation,kt,Middle East,2.8256763000808554,1.0892364067091358
