indicator,unit,origin,value,share_of_total_pct
blue_water_consumption,Mm3,domestic,4.4365481267033955,4.644702655720029
blue_water_consumption,Mm3,imported,91.08190494886027,95.35529734427996
climate_change,kt CO2eq,domestic,1241.0246041817798,26.329892084252847
climate_change,kt CO2eq,imported,3472.3430017720666,73.67010791574714
land_use,km2,domestic,375.99855102724763,7.743632961114821
land_use,km2,imported,4479.5847767899395,92.25636703888519
material_extraction,kt,domestic,1946.6958760528387,45.68334887456954
material_extraction,kt,imported,2314.585146487306,54.316651125430454
waste_generation,kt,domestic,131.38828097997097,50.64730841753482
waste_generation,kt,imported,128.02981069196963,49.35269158246518
