variant,analysis_year,exiobase_release,exiobase_table_year,shipping_correction,care_boundary,capital_treatment,role,indicator,unit,healthcare_footprint,national_footprint,healthcare_share_pct,transport_share_pct,expenditure_meur
2016_uncorrected,2016,v3.8.2,2016,no,health care,excluded,,climate_change,kt CO2-eq,6067.553809713715,86614.13373867093,7.005269865101372,46.99917751011433,33429.843657658625
2016_uncorrected,2016,v3.8.2,2016,no,health care,excluded,,material_extraction,kt,2950.0726132034483,47233.92252096916,6.245665097777524,0.673462753474282,33429.843657658625
2016_uncorrected,2016,v3.8.2,2016,no,health care,excluded,,blue_water_consumption,Mm3,54.26999060774074,1070.4416604167586,5.069869065691223,0.0767126539394772,33429.843657658625
2016_uncorrected,2016,v3.8.2,2016,no,health care,excluded,,land_use,km2,3323.3804082849083,76743.82483988514,4.330485762494454,0.114712117146469,33429.843657658625
2016_uncorrected,2016,v3.8.2,2016,no,health care,excluded,,waste_generation,kt,268.5830606781155,10780.55291525261,2.491366285101362,2.5434920617051735,33429.843657658625
2016a,2016,v3.7,2016,no,health care,excluded,,climate_change,kt CO2-eq,8216.31646151802,79040.33438684596,10.395093246069813,35.05135426109763,33429.843657658625
2016a,2016,v3.7,2016,no,health care,excluded,,material_extraction,kt,7650.22935549232,78480.24912537608,9.747967725319908,0.0809377900226805,33429.843657658625
2016a,2016,v3.7,2016,no,health care,excluded,,blue_water_consumption,Mm3,83.81803524993614,1029.307782207698,8.14314597623658,0.0575452241132974,33429.843657658625
2016a,2016,v3.7,2016,no,health care,excluded,,land_use,km2,5277.645976670658,86986.64719626405,6.067190938814947,0.4781377999361604,33429.843657658625
2016a,2016,v3.7,2016,no,health care,excluded,,waste_generation,kt,368.4113226279323,10976.101331099777,3.3564861649379334,3.4108500327799627,33429.843657658625
2016b,2016,v3.7,2016,yes,health care,excluded,,climate_change,kt CO2-eq,6253.212226689836,66174.16000868398,9.449628413672698,16.61429099271387,33429.843657658625
2016b,2016,v3.7,2016,yes,health care,excluded,,material_extraction,kt,7553.025048324077,77843.17262981998,9.702874116195364,0.0793019978276449,33429.843657658625
2016b,2016,v3.7,2016,yes,health care,excluded,,blue_water_consumption,Mm3,81.56812635323537,1014.5618916501048,8.03973882959188,0.0550558550713469,33429.843657658625
2016b,2016,v3.7,2016,yes,health care,excluded,,land_use,km2,5116.673702985415,85931.6357982245,5.954353894763324,0.4687202702366612,33429.843657658625
2016b,2016,v3.7,2016,yes,health care,excluded,,waste_generation,kt,357.5680751370988,10905.034746571284,3.278926509147748,1.8794336500538655,33429.843657658625
2016c,2016,v3.8.2,2016,yes,health care,excluded,,climate_change,kt CO2-eq,3876.558484803835,74432.54477363416,5.208149871260357,21.258362458025275,33429.843657658625
2016c,2016,v3.8.2,2016,yes,health care,excluded,,material_extraction,kt,2871.205755554929,46795.435212522534,6.135653493797595,0.5629430819293647,33429.843657658625
2016c,2016,v3.8.2,2016,yes,health care,excluded,,blue_water_consumption,Mm3,51.820735331998115,1056.8241867962856,4.903439567284158,0.0671701100539247,33429.843657658625
2016c,2016,v3.8.2,2016,yes,health care,excluded,,land_use,km2,3151.1817117580154,75786.42720532298,4.157976339510945,0.1109849924579649,33429.843657658625
2016c,2016,v3.8.2,2016,yes,health care,excluded,,waste_generation,kt,259.1138405558728,10727.905542600927,2.4153255220874357,1.3056856584928291,33429.843657658625
2016d,2016,v3.8.2,2016,yes,health care plus child and elder care,endogenised,,climate_change,kt CO2-eq,5656.758630581056,91012.90784220408,6.215336664540599,19.895719044319335,41200.71764358245
2016d,2016,v3.8.2,2016,yes,health care plus child and elder care,endogenised,,material_extraction,kt,5578.248800683474,78985.14159268685,7.062402735757021,0.3977812455265793,41200.71764358245
2016d,2016,v3.8.2,2016,yes,health care plus child and elder care,endogenised,,blue_water_consumption,Mm3,72.75604413222543,1227.7185008331553,5.926117760940448,0.0653816009859161,41200.71764358245
2016d,2016,v3.8.2,2016,yes,health care plus child and elder care,endogenised,,land_use,km2,5156.341970951522,96078.1378526596,5.366821304196193,0.0934829968180078,41200.71764358245
2016d,2016,v3.8.2,2016,yes,health care plus child and elder care,endogenised,,waste_generation,kt,358.51075961475647,11676.33247619017,3.0704055433999917,1.361946651555787,41200.71764358245
2019_uncorrected,2019,v3.8.2,2016,no,health care,excluded,the only configuration reproducing the submitted transport finding; NOT variant a,climate_change,kt CO2-eq,6400.681001203737,86614.13373867093,7.389880525175767,46.986520786381234,35271.231705222825
2019_uncorrected,2019,v3.8.2,2016,no,health care,excluded,the only configuration reproducing the submitted transport finding; NOT variant a,material_extraction,kt,3126.922854051277,47233.92252096916,6.620078721311157,0.6702520756545557,35271.231705222825
2019_uncorrected,2019,v3.8.2,2016,no,health care,excluded,the only configuration reproducing the submitted transport finding; NOT variant a,blue_water_consumption,Mm3,57.47410799643617,1070.4416604167586,5.369195736838155,0.076485571424523,35271.231705222825
2019_uncorrected,2019,v3.8.2,2016,no,health care,excluded,the only configuration reproducing the submitted transport finding; NOT variant a,land_use,km2,3515.24050784478,76743.82483988514,4.5804864628246245,0.1145433840854188,35271.231705222825
2019_uncorrected,2019,v3.8.2,2016,no,health care,excluded,the only configuration reproducing the submitted transport finding; NOT variant a,waste_generation,kt,275.253157345653,10780.55291525261,2.553237848832573,2.6173010657256497,35271.231705222825
2019a,2019,v3.7,2016,no,health care,excluded,the configuration the manuscript was submitted on,climate_change,kt CO2-eq,8676.482595397387,79040.33438684596,10.9772847783414,35.00815685391849,35271.231705222825
2019a,2019,v3.7,2016,no,health care,excluded,the configuration the manuscript was submitted on,material_extraction,kt,8131.212993064838,78480.24912537608,10.360839935758642,0.0803926516845749,35271.231705222825
2019a,2019,v3.7,2016,no,health care,excluded,the configuration the manuscript was submitted on,blue_water_consumption,Mm3,88.88683385028472,1029.307782207698,8.635593297433047,0.0572933621318389,35271.231705222825
2019a,2019,v3.7,2016,no,health care,excluded,the configuration the manuscript was submitted on,land_use,km2,5596.412568170701,86986.64719626405,6.4336455634894945,0.4763506699528727,35271.231705222825
2019a,2019,v3.7,2016,no,health care,excluded,the configuration the manuscript was submitted on,waste_generation,kt,380.71235915278544,10976.101331099777,3.4685572560638804,3.4808579058691835,35271.231705222825
2019b,2019,v3.7,2016,yes,health care,excluded,the submitted configuration plus the Danish shipping correction,climate_change,kt CO2-eq,6607.356157104874,66174.16000868398,9.984797927526088,16.60339549842205,35271.231705222825
2019b,2019,v3.7,2016,yes,health care,excluded,the submitted configuration plus the Danish shipping correction,material_extraction,kt,8028.758931630164,77843.17262981998,10.314018121808315,0.0787637196679094,35271.231705222825
2019b,2019,v3.7,2016,yes,health care,excluded,the submitted configuration plus the Danish shipping correction,blue_water_consumption,Mm3,86.51541316903923,1014.5618916501048,8.527366726570888,0.0548126848739411,35271.231705222825
2019b,2019,v3.7,2016,yes,health care,excluded,the submitted configuration plus the Danish shipping correction,land_use,km2,5426.7465965910615,85931.6357982245,6.315190611911042,0.4669358086573434,35271.231705222825
2019b,2019,v3.7,2016,yes,health care,excluded,the submitted configuration plus the Danish shipping correction,waste_generation,kt,369.28349579332144,10905.034746571284,3.3863578097211473,1.9201079869912017,35271.231705222825
2019c,2019,v3.8.2,2016,yes,health care,excluded,"2019 on the current release, comparable with 2022c",climate_change,kt CO2-eq,4091.0846348750665,74432.54477363416,5.496365396772286,21.268029835596572,35271.231705222825
2019c,2019,v3.8.2,2016,yes,health care,excluded,"2019 on the current release, comparable with 2022c",material_extraction,kt,3043.7868446870275,46795.435212522534,6.504452476750351,0.5602677696132243,35271.231705222825
2019c,2019,v3.8.2,2016,yes,health care,excluded,"2019 on the current release, comparable with 2022c",blue_water_consumption,Mm3,54.89227177763962,1056.8241867962856,5.194077923598914,0.0669786619068839,35271.231705222825
2019c,2019,v3.8.2,2016,yes,health care,excluded,"2019 on the current release, comparable with 2022c",land_use,km2,3333.7205021818963,75786.42720532298,4.398835814162443,0.1108204452963546,35271.231705222825
2019c,2019,v3.8.2,2016,yes,health care,excluded,"2019 on the current release, comparable with 2022c",waste_generation,kt,265.2713576869985,10727.905542600927,2.4727227195802173,1.3455555862542743,35271.231705222825
2019d,2019,v3.8.2,2016,yes,health care plus child and elder care,endogenised,"2019 on the widest boundary, comparable with Schmidt & Merciai",climate_change,kt CO2-eq,5959.60289624945,91012.90784220408,6.548085362333507,19.888406214632855,43362.33120831012
2019d,2019,v3.8.2,2016,yes,health care plus child and elder care,endogenised,"2019 on the widest boundary, comparable with Schmidt & Merciai",material_extraction,kt,5890.624923356981,78985.14159268685,7.457889932936941,0.396501042927015,43362.33120831012
2019d,2019,v3.8.2,2016,yes,health care plus child and elder care,endogenised,"2019 on the widest boundary, comparable with Schmidt & Merciai",blue_water_consumption,Mm3,76.84752380184501,1227.7185008331553,6.259376538652361,0.0652122848052963,43362.33120831012
2019d,2019,v3.8.2,2016,yes,health care plus child and elder care,endogenised,"2019 on the widest boundary, comparable with Schmidt & Merciai",land_use,km2,5439.126785204173,96078.1378526596,5.661149254938031,0.0933742026896705,43362.33120831012
2019d,2019,v3.8.2,2016,yes,health care plus child and elder care,endogenised,"2019 on the widest boundary, comparable with Schmidt & Merciai",waste_generation,kt,369.60837484588086,11676.33247619017,3.1654492161778447,1.3904603190828355,43362.33120831012
2022_uncorrected,2022,v3.8.2,2022,no,health care,excluded,"2022 without the shipping correction, for the bridge",climate_change,kt CO2-eq,6063.93242395457,86291.67003489644,7.027251206868878,32.313049448629215,40596.97766008925
2022_uncorrected,2022,v3.8.2,2022,no,health care,excluded,"2022 without the shipping correction, for the bridge",material_extraction,kt,4340.878084857017,54467.89279711464,7.969608997040122,0.5899221107282429,40596.97766008925
2022_uncorrected,2022,v3.8.2,2022,no,health care,excluded,"2022 without the shipping correction, for the bridge",blue_water_consumption,Mm3,97.58579626855384,1289.7959466438017,7.565987203052034,0.0404279581289243,40596.97766008925
2022_uncorrected,2022,v3.8.2,2022,no,health care,excluded,"2022 without the shipping correction, for the bridge",land_use,km2,4990.6477415147565,100333.23276498372,4.974072502183436,0.0969977382718328,40596.97766008925
2022_uncorrected,2022,v3.8.2,2022,no,health care,excluded,"2022 without the shipping correction, for the bridge",waste_generation,kt,264.7401429789632,10621.459422026775,2.4925025126956215,1.553214080520394,40596.97766008925
2022c,2022,v3.8.2,2022,yes,health care,excluded,the headline of the resubmission,climate_change,kt CO2-eq,4652.07075929835,77240.6211863052,6.022829293510607,14.942116461368308,40596.97766008925
2022c,2022,v3.8.2,2022,yes,health care,excluded,the headline of the resubmission,material_extraction,kt,4256.2044622923,53925.07396917576,7.892811542039237,0.5220994487926152,40596.97766008925
2022c,2022,v3.8.2,2022,yes,health care,excluded,the headline of the resubmission,blue_water_consumption,Mm3,95.44235539157152,1276.054948805772,7.479486324698919,0.036182652989037,40596.97766008925
2022c,2022,v3.8.2,2022,yes,health care,excluded,the headline of the resubmission,land_use,km2,4851.7624511984795,99442.87815130444,4.878944114847943,0.093578465962417,40596.97766008925
2022c,2022,v3.8.2,2022,yes,health care,excluded,the headline of the resubmission,waste_generation,kt,259.2750606871883,10586.42431340197,2.4491277981268604,0.9065301618327803,40596.97766008925
2022d,2022,v3.8.2,2022,yes,health care plus child and elder care,endogenised,"the widest boundary, comparable with Schmidt & Merciai (2023)",climate_change,kt CO2-eq,6472.267679584303,95112.19776732936,6.804876589454121,14.551509775154653,49709.03368460669
2022d,2022,v3.8.2,2022,yes,health care plus child and elder care,endogenised,"the widest boundary, comparable with Schmidt & Merciai (2023)",material_extraction,kt,7107.022795126533,86872.76191686076,8.180956422138527,0.4241904380753367,49709.03368460669
2022d,2022,v3.8.2,2022,yes,health care plus child and elder care,endogenised,"the widest boundary, comparable with Schmidt & Merciai (2023)",blue_water_consumption,Mm3,121.41737679294113,1489.3351422597063,8.152454967840185,0.0387428681224883,49709.03368460669
2022d,2022,v3.8.2,2022,yes,health care plus child and elder care,endogenised,"the widest boundary, comparable with Schmidt & Merciai (2023)",land_use,km2,7165.178445088191,123104.84004875136,5.820387274985024,0.0855335191479695,49709.03368460669
2022d,2022,v3.8.2,2022,yes,health care plus child and elder care,endogenised,"the widest boundary, comparable with Schmidt & Merciai (2023)",waste_generation,kt,355.6575319630764,11554.681624014636,3.0780383530767015,0.943492718260535,49709.03368460669
