producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0684,100.0
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,5.022503753882024,99.62840015458994
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.014264291512325946,0.28295221115828995
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.003661664384710205,0.0726342442790114
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0005673915565435427,0.011255006628111231
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00019510525294526442,0.003870186099446743
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.6948529822363215e-05,0.0005345618528697208
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.5988698038019e-05,0.00031715823106183807
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.8385217988768215e-06,3.6469656260557384e-05
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,3.7834467425546445e-10,7.504996800439784e-09
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,31.985189728683583,40.63758179920272
America,Food and catering,Scope 3,blue_water_consumption,Mm3,16.063308070537936,20.408632908526595
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,12.143906752477184,15.42898473330372
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,4.833996165903013,6.141652317064465
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.6058805259479123,4.581316105183265
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,1.8273295047724918,2.3216448879681226
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.6019058630824292,2.035241344441882
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.786783516093461,0.9996182534705967
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.7420103397126635,0.9427333754061367
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,0.3833660072746498,0.4870712855483355
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.3657065060947363,0.4646346694200813
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.3419090718984654,0.43439973297088913
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.28443766709849694,0.36138159759370897
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.27041321779136834,0.34356336013000804
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.2646683180863566,0.33626439352480864
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.2631586993054901,0.33434640406739224
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.253356821001478,0.32189299563855583
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.24456733506851908,0.3107258443224814
America,Textile,Scope 3,blue_water_consumption,Mm3,0.2282304777357314,0.2899696636702934
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.17905469375683755,0.22749121783540388
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.16471078112754625,0.20926709824324435
Europe,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.1588429598262975,0.20181195821952394
Africa,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.13176423128220646,0.16740809644589563
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.1285960243511024,0.16338285009245337
Asia and Pacific,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.1031857104472849,0.13109872989279178
Middle East,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.09547105539512014,0.12129716459352974
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.0884,0.11231330067202863
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.0822120323387959,0.10445141071182946
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.07806786351745305,0.09918619262509727
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.06945261934999487,0.08824041764158289
Middle East,Electricity,Scope 3,blue_water_consumption,Mm3,0.05660536721996145,0.0719178238487118
Middle East,Services,Scope 3,blue_water_consumption,Mm3,0.05583132411985809,0.07093439245238807
