producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.0684,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,5.041219155118371,99.99964636460767
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.7827598181570077e-05,0.00035363539231919594
Food and catering,Scope 3,blue_water_consumption,Mm3,70.23418710663206,89.22558721457662
Chemical,Scope 3,blue_water_consumption,Mm3,3.336998558244914,4.239326575269532
Electricity,Scope 3,blue_water_consumption,Mm3,1.1103600239900717,1.4106025746363386
Metal Products,Scope 3,blue_water_consumption,Mm3,1.0114951443434228,1.2850045246727517
Textile,Scope 3,blue_water_consumption,Mm3,0.5756307092588708,0.7312818752267736
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.5170722114640209,0.6568890963338347
Paper Products,Scope 3,blue_water_consumption,Mm3,0.4612649106004248,0.5859914409960582
Services,Scope 3,blue_water_consumption,Mm3,0.44777395605456416,0.5688525177589739
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.4337151804945843,0.5509922340918096
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.15019376285472416,0.19080631867118442
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.09870591717322462,0.12539610386553038
Private travel,Scope 3,blue_water_consumption,Mm3,0.0953,0.12106922300729829
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0691795336634696,0.08788575434043547
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.06679563549533776,0.08485724753094709
Transport,Scope 3,blue_water_consumption,Mm3,0.048233276231938356,0.061275606259151794
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.041713262849639714,0.05299257421096623
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.010282961314068676,0.01306348516797903
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0038101720346033013,0.004840446671076165
Construction,Scope 3,blue_water_consumption,Mm3,0.0016547669699746041,0.002102217747250437
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0009311775495871957,0.0011829689654812357
Private travel,Outside protocol,climate_change,kt CO2eq,224.23761012569273,100.0
