producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.0828451910688205,100.00000000000001
Electricity,Scope 2,blue_water_consumption,Mm3,0.033494410868419235,99.78654404999685
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,7.164875144019477e-05,0.2134559500031503
Food and catering,Scope 3,blue_water_consumption,Mm3,38.11681088277874,84.82734214366305
Electricity,Scope 3,blue_water_consumption,Mm3,3.4411588417659225,7.658152706921559
Chemical,Scope 3,blue_water_consumption,Mm3,1.3175982090004839,2.9322587985255315
Metal Products,Scope 3,blue_water_consumption,Mm3,0.6738590431468328,1.499644652471268
Paper Products,Scope 3,blue_water_consumption,Mm3,0.37152991918185824,0.8268240401320122
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.21489417588160656,0.4782378525383245
Services,Scope 3,blue_water_consumption,Mm3,0.20659357109415127,0.45976520947093397
Textile,Scope 3,blue_water_consumption,Mm3,0.1863392448705878,0.41469006754105564
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.09565509209932979,0.21287634084202586
Private travel,Scope 3,blue_water_consumption,Mm3,0.0884,0.19673044181373942
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.07552600405315699,0.16807991115162724
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.04522745663847334,0.10065178197509732
Transport,Scope 3,blue_water_consumption,Mm3,0.03401606358611789,0.07570130337173332
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.02312143436218315,0.051455769201806195
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.017015551669114507,0.037867386850332675
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.012355739668265016,0.02749717334698329
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.007838801215829782,0.017444918851586774
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.003884804864878292,0.008645468070448765
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.001571158224591872,0.003496545833520921
Construction,Scope 3,blue_water_consumption,Mm3,0.0011851439280549142,0.002637487427365542
Private travel,Outside protocol,climate_change,kt CO2eq,224.23761012569273,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,195.9599983729744,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,11.124418974773898,58.92141023792376
Electricity,Scope 2,climate_change,kt CO2eq,7.755677292191988,41.07858976207625
Transport,Scope 3,climate_change,kt CO2eq,807.0401712260114,24.862786637119118
Food and catering,Scope 3,climate_change,kt CO2eq,392.2069390800655,12.082865006746212
Private travel,Scope 3,climate_change,kt CO2eq,316.8201,9.760394624079726
Waste management and disposal,Scope 3,climate_change,kt CO2eq,313.8006069153781,9.667371977882123
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,293.45313158842924,9.040519739672657
Electricity,Scope 3,climate_change,kt CO2eq,244.20415741811695,7.523288280136607
Services,Scope 3,climate_change,kt CO2eq,227.45088610726987,7.007164021485906
"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,197.42263644931046,6.0820725688537305
Chemical,Scope 3,climate_change,kt CO2eq,151.1010371858125,4.655025836559218
Metal Products,Scope 3,climate_change,kt CO2eq,66.89217895338811,2.06077222957012
