producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0684,100.0
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.023308471797892763,55.04880318669926
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.0154563679011874,36.50409009871698
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0022274970815795835,5.260793135906372
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.0008232689562512884,1.9443561609428945
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00040297425201571635,0.9517247840558138
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,6.18676198288935e-05,0.14611590399925714
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,3.2484852192449294e-05,0.07672112742512904
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.8533568136850194e-05,0.06738917893028681
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.71972972928569e-09,6.423324012258852e-06
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,31.138070445192977,42.86315742868815
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,14.353377068144663,19.758162664192476
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,4.896411083513459,6.740161998079461
America,Food and catering,Scope 3,blue_water_consumption,Mm3,4.854926902820114,6.683056887119269
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,4.8354657906368175,6.656267664045276
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,3.019242229814526,4.156142405794516
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,1.346813914025114,1.8539587070951002
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.3436357529637872,1.8495838047341735
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,1.3140558777998137,1.8088655833496474
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.8282068897584955,1.1400694324244136
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.5404691354949039,0.7439835965700116
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.4724430174473665,0.6503421420596452
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.3591282367898593,0.4943585113183314
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.29707387222145587,0.4089374829885781
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.2373611926521472,0.3267399046455946
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.22178843234715995,0.30530319816351587
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.2107563104523162,0.290116914274041
