producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0709,100.0
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.019385673415449552,54.83013114915191
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.012976325905406,36.70203433121485
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0018642134158374354,5.272711651013063
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.000687829363316369,1.9454456593093075
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.00033905925199496055,0.9589898094229252
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,5.172311904435043e-05,0.14629284935671988
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,2.7305855986291895e-05,0.07723144988479214
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.3743813414808975e-05,0.06715662518473198
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.289456236380334e-09,6.475461698479582e-06
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,25.11177180550355,43.769356251666586
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,12.601260129702055,21.963764568614504
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,3.934471850374297,6.857712048954055
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,3.6283954200435407,6.3242264620688955
America,Food and catering,Scope 3,blue_water_consumption,Mm3,3.527731729528688,6.14877150150787
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,2.407517418498742,4.196258567038658
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.0872029539552874,1.8949747464296465
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,0.9033654761539299,1.5745494048560986
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,0.6847174227098589,1.193449870380814
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.6017945898343124,1.0489168982895434
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.2862086436987493,0.4988564003122785
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.2749484107767879,0.4792300214945935
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.23722225986201084,0.41347403453428183
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.20274131135250403,0.35337437566125823
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.18232148764281322,0.31778299861832865
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.16256690964316445,0.28335113260883965
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.14453467130333766,0.25192127293888744
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.12705468622816815,0.22145398054890036
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.11855830105833935,0.20664493751402732
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.11542168987582366,0.2011778819301437
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.09535065608177001,0.16619443929314742
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.0915,0.15948281658683164
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.07381152830723824,0.12865213585810936
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.06084362011653405,0.10604931046474382
Europe,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.04822516496625353,0.08405557529161431
Europe,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.040498603139167776,0.07058832017996479
Europe,Textile,Scope 3,blue_water_consumption,Mm3,0.035075428652283545,0.06113582682466269
Denmark,Paper Products,Scope 3,blue_water_consumption,Mm3,0.033719428373227604,0.05877234328590453
America,Metal Products,Scope 3,blue_water_consumption,Mm3,0.033560346299627855,0.0584950661584055
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.03159802283340586,0.055074772459525516
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.029025418989841456,0.050590771290850545
Asia and Pacific,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.028101057159662872,0.04897962562721952
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.02658358678694723,0.046334702685932525
