producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.0709,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,0.03528040720799061,99.78654404999685
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,7.546922191539579e-05,0.21345595000315035
Food and catering,Scope 3,blue_water_consumption,Mm3,48.66995588756262,84.83083768421132
Electricity,Scope 3,blue_water_consumption,Mm3,4.10079078749665,7.147602896429477
Chemical,Scope 3,blue_water_consumption,Mm3,1.9138159359000646,3.3357459659683664
Metal Products,Scope 3,blue_water_consumption,Mm3,0.8873469515383845,1.5466294111593482
Paper Products,Scope 3,blue_water_consumption,Mm3,0.45538352818382394,0.7937251114973232
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.3437033095556351,0.5990685451163756
Services,Scope 3,blue_water_consumption,Mm3,0.2747980688769732,0.4789679783292005
Textile,Scope 3,blue_water_consumption,Mm3,0.2259730813979105,0.39386692343326923
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.12770046211354658,0.22257955603615726
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.09356282509829084,0.16307828278138278
Private travel,Scope 3,blue_water_consumption,Mm3,0.0915,0.15948281658683164
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0576598377438775,0.10050003636429822
Transport,Scope 3,blue_water_consumption,Mm3,0.04395939992222155,0.07662042530123324
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.03162358607624818,0.055119328721488205
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.020629256198377226,0.03595641401757984
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.014749177794905682,0.025707545541765166
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.011216249748458378,0.01954971695546977
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.005141649742052285,0.008961800904540488
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.001970079391658547,0.0034338121342226986
Construction,Scope 3,blue_water_consumption,Mm3,0.001472045664361227,0.0025657485103471288
Private travel,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,164.3446991455533,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,11.72200837591568,59.83036031970872
Electricity,Scope 2,climate_change,kt CO2eq,7.870065469667253,40.16963968029129
Transport,Scope 3,climate_change,kt CO2eq,3007.407222435124,51.128969985636424
Food and catering,Scope 3,climate_change,kt CO2eq,458.69309119205445,7.798247313241352
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,363.48292986107316,6.179578100537366
Waste management and disposal,Scope 3,climate_change,kt CO2eq,336.10877125019005,5.714189667751528
Private travel,Scope 3,climate_change,kt CO2eq,327.9446,5.575390484290576
Electricity,Scope 3,climate_change,kt CO2eq,324.1216068073297,5.510395726432324
"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,246.97086068224013,4.198754870623927
Chemical,Scope 3,climate_change,kt CO2eq,241.0412435167087,4.097945370726109
Services,Scope 3,climate_change,kt CO2eq,185.70533999197377,3.157178942642132
Metal Products,Scope 3,climate_change,kt CO2eq,87.6512219106596,1.4901595835916592
Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,81.61250817993385,1.3874953315452978
