consuming_country_iso3,model,analysis_year,indicator,unit,scope,value,basis
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 1,163.39469914555332,national accounts (DRIVHUS/AFFALD) + medical gases
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 2,1179.5208890976744,"GHG Protocol strict: generation of purchased electricity/steam/heat, traced through T&D with the energy-block inverse; basis of this folder's partition"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 2 (OECD first-tier convention),1161.2725926707978,Doucet et al. 2025: F A Y restricted to energy sectors; under-counts on EXIOBASE ixi because T&D sit between the buyer and generation. Not added to the total
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 2 (Hertwich & Wood 2018 convention),1181.5222891180558,"cradle-to-gate embodied emissions of purchased energy (E_Z = mhat Z, m = s L). Broader than the corporate standard, which puts upstream fuel in Scope 3 cat. 3. THIS IS THE MANUSCRIPT'S REPORTED SCOPE 2. Not added to this folder's total"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,self-supply loop removed,0.8212942062300371,"s_h (L_hh - 1) E_H, overlaps national-accounts Scope 1"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 3,7061.118094296659,"footprint residual after Scope 2, plus pMDI (climate) and commuting"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Outside protocol,293.4753186512448,patient and visitor travel
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,TOTAL,8697.509001191132,S1+S2+S3+outside
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 1 component: direct operations,150.9246439492933,national accounts (DRIVHUS / AFFALD01) or EXIOBASE direct row of the Danish health industry. Component
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 1 component: anaesthetic gases,12.47005519626,Medstat N01AB volatiles + NID N2O. Component
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 3 component: pMDI propellant,12.8,"Danish EPA F-gas inventory, MDI line. Component"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Scope 3 component: employee commuting,331.6146,"bottom-up commuting, GHG Protocol Scope 3 cat. 7. Component"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,climate_change,kt CO2eq,Outside protocol component: patient and visitor travel,293.4753186512448,TU purpose 33 + NHS visitor ratio. Component
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,material_extraction,kt,Scope 1,0.0,EXIOBASE direct of the sector
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,material_extraction,kt,Scope 2,0.019491839712421445,"GHG Protocol strict: generation of purchased electricity/steam/heat, traced through T&D with the energy-block inverse; basis of this folder's partition"
DNK,EXIOBASE v3.7 IOT_2016_ixi,2019,material_extraction,kt,Scope 2 (OECD first-tier convention),0.016719523680325307,Doucet et al. 2025: F A Y restricted to energy sectors; under-counts on EXIOBASE ixi because T&D sit between the buyer and generation. Not added to the total
