producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.1084252496002659,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,5.3100281511442695,99.99964636460768
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,1.8778205290938727e-05,0.0003536353923191958
Food and catering,Scope 3,blue_water_consumption,Mm3,57.486747842005606,89.78054174571713
Chemical,Scope 3,blue_water_consumption,Mm3,2.3649717656394893,3.6935198859395206
Electricity,Scope 3,blue_water_consumption,Mm3,0.9522179821339097,1.487136592436143
Metal Products,Scope 3,blue_water_consumption,Mm3,0.800416413250106,1.250058872720729
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.4467192111140405,0.6976684938286238
Textile,Scope 3,blue_water_consumption,Mm3,0.4020950135707641,0.6279761772374287
Paper Products,Scope 3,blue_water_consumption,Mm3,0.39110031798733164,0.6108050941119274
Services,Scope 3,blue_water_consumption,Mm3,0.3818800461678658,0.5964052362304291
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.30854615884157843,0.481875255328247
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.11378946284655427,0.17771190757555602
Private travel,Scope 3,blue_water_consumption,Mm3,0.0864,0.1349361217675613
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.07967675022501182,0.1244360147037704
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.06287606623774458,0.09819736724677723
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.05243716382162946,0.08189430002987214
Transport,Scope 3,blue_water_consumption,Mm3,0.0449704522014141,0.07023308349759616
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0415178476878092,0.06484094156399636
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00856410707112469,0.013375085585413359
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.003127021218177368,0.00488365874844594
Construction,Scope 3,blue_water_consumption,Mm3,0.00141226677308398,0.002205622699781722
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.000831460963987705,0.0012985430310372555
Private travel,Outside protocol,climate_change,kt CO2eq,293.4753186512448,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,163.5946084095433,100.0
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,1146.4753838825097,97.19839593172068
Electricity,Scope 2,climate_change,kt CO2eq,33.04550521516478,2.8016040682793135
Transport,Scope 3,climate_change,kt CO2eq,1062.4818567256236,24.451585602308484
Food and catering,Scope 3,climate_change,kt CO2eq,479.11842712967643,11.026263799655666
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,423.38459012316207,9.743624780567155
Electricity,Scope 3,climate_change,kt CO2eq,400.8548398510999,9.225132992788586
Services,Scope 3,climate_change,kt CO2eq,367.5816174632658,8.459394697747872
Chemical,Scope 3,climate_change,kt CO2eq,321.41394349122555,7.396908006760231
Waste management and disposal,Scope 3,climate_change,kt CO2eq,315.41046059977344,7.258745952600803
Private travel,Scope 3,climate_change,kt CO2eq,309.7669,7.1288670240961345
