consuming_country_iso3,model,analysis_year,indicator,unit,scope,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,value
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWC,Production of electricity by coal,Electricity,0.008770708500189147
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWG,Production of electricity by gas,Electricity,0.002949077273920198
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWH,Production of electricity by hydro,Electricity,4.278778548743608e-06
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWW,Production of electricity by wind,Electricity,0.00017903824830780524
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWP,Production of electricity by petroleum and other oil derivatives,Electricity,0.0006830798271850772
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWB,Production of electricity by biomass and waste,Electricity,0.002119718232887297
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWS,Production of electricity by solar photovoltaic,Electricity,2.9855013940984527e-05
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWM,Production of electricity by Geothermal,Electricity,3.3057667316835356e-07
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,POWT,Transmission of electricity,Electricity,0.0006743754396725521
DNK,EXIOBASE v3.8.2 IOT_2016_ixi with Danish sea-transport reallocation (Rørmose Jensen & Iliev 2022) and capital endogenised (Södersten et al. 2018),2019,climate_change,kt CO2eq,Scope 2,AUT,Austria,Europe,HWAT,Steam and hot water supply,"Steam, hot water supply and water distribution",0.03548865259943581
