producing_world_region,producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Denmark,Private travel,Outside protocol,blue_water_consumption,Mm3,0.0761,100.0
Denmark,Electricity,Scope 2,blue_water_consumption,Mm3,0.0404665849300418,57.067679162929686
Europe,Electricity,Scope 2,blue_water_consumption,Mm3,0.028306006828852058,39.91832073018367
Asia and Pacific,Electricity,Scope 2,blue_water_consumption,Mm3,0.0010282621280236627,1.450098478013205
Middle East,Electricity,Scope 2,blue_water_consumption,Mm3,0.0006549855947898518,0.9236882194143018
America,Electricity,Scope 2,blue_water_consumption,Mm3,0.0003744151589132156,0.5280159963964285
Africa,Electricity,Scope 2,blue_water_consumption,Mm3,3.174795297228434e-05,0.04477229787080605
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.399112119585776e-05,0.033833287625607354
Europe,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.3599230630886925e-05,0.0332806270769745
Middle East,"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,2.20671686958105e-07,0.00031120048932813615
Asia and Pacific,Food and catering,Scope 3,blue_water_consumption,Mm3,35.65577469221912,36.59299955332376
Middle East,Food and catering,Scope 3,blue_water_consumption,Mm3,27.663098527968796,28.39023302159283
Europe,Food and catering,Scope 3,blue_water_consumption,Mm3,7.758562301991971,7.9624989024058985
America,Food and catering,Scope 3,blue_water_consumption,Mm3,6.551408710770353,6.7236148448957005
Africa,Food and catering,Scope 3,blue_water_consumption,Mm3,4.171171132397579,4.280811865741626
Europe,Chemical,Scope 3,blue_water_consumption,Mm3,3.9861151439644087,4.090891614098555
Denmark,Electricity,Scope 3,blue_water_consumption,Mm3,2.999721289203196,3.078570042116132
Asia and Pacific,Chemical,Scope 3,blue_water_consumption,Mm3,2.8476122318150545,2.9224627434497137
Denmark,Food and catering,Scope 3,blue_water_consumption,Mm3,1.320728215837325,1.355444031980151
Asia and Pacific,Metal Products,Scope 3,blue_water_consumption,Mm3,0.6721274658762545,0.6897945780421822
Europe,Electricity,Scope 3,blue_water_consumption,Mm3,0.4558656967364105,0.4678482905236487
America,Chemical,Scope 3,blue_water_consumption,Mm3,0.3009525047632577,0.3088631495861674
Asia and Pacific,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.2567306178936522,0.2634788745161396
Europe,Services,Scope 3,blue_water_consumption,Mm3,0.2440399904087605,0.2504546693237229
Asia and Pacific,Textile,Scope 3,blue_water_consumption,Mm3,0.21961646741200488,0.22538916524126912
Europe,Metal Products,Scope 3,blue_water_consumption,Mm3,0.21144299678149908,0.2170008519957159
Europe,Paper Products,Scope 3,blue_water_consumption,Mm3,0.20774448423728978,0.213205122719141
Asia and Pacific,Paper Products,Scope 3,blue_water_consumption,Mm3,0.19827749018741953,0.20348928532593974
Denmark,Chemical,Scope 3,blue_water_consumption,Mm3,0.14366201550588478,0.14743822325037384
Asia and Pacific,Electricity,Scope 3,blue_water_consumption,Mm3,0.1309329752620008,0.1343745956057799
Asia and Pacific,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.11733483431706034,0.12041902263563697
Africa,Chemical,Scope 3,blue_water_consumption,Mm3,0.10693250172136991,0.10974326098655149
Asia and Pacific,Services,Scope 3,blue_water_consumption,Mm3,0.09967938574217744,0.1022994942453197
Denmark,Private travel,Scope 3,blue_water_consumption,Mm3,0.095,0.09749710916600475
Europe,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.05292888718527548,0.05432014202039951
Africa,Metal Products,Scope 3,blue_water_consumption,Mm3,0.05273142215776081,0.05411748655361987
America,Electricity,Scope 3,blue_water_consumption,Mm3,0.05154955520116285,0.052904553799018546
Europe,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.049648856444230026,0.05095389449168835
Denmark,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0473019023286833,0.048545249843150846
Africa,Services,Scope 3,blue_water_consumption,Mm3,0.04272153827377172,0.0438444892717639
Europe,Textile,Scope 3,blue_water_consumption,Mm3,0.042222658955137556,0.043332496730821415
Asia and Pacific,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.04201600244824273,0.04312040818332046
America,Metal Products,Scope 3,blue_water_consumption,Mm3,0.03952833637556875,0.04056735291325666
Asia and Pacific,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.03398708668976773,0.03488044948659738
Middle East,Electricity,Scope 3,blue_water_consumption,Mm3,0.03362555468521643,0.034509414483284304
Middle East,Chemical,Scope 3,blue_water_consumption,Mm3,0.03360193570504459,0.03448517466972426
Europe,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0335146572101504,0.03439560202820276
America,Textile,Scope 3,blue_water_consumption,Mm3,0.03196733998391156,0.032807613012191726
Asia and Pacific,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0303422966503225,0.03113985483014519
Africa,Textile,Scope 3,blue_water_consumption,Mm3,0.030125600217378843,0.03091746245352844
Africa,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.028272770893219775,0.029015930844228315
Europe,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.025876304163540437,0.026556472124688896
Middle East,Metal Products,Scope 3,blue_water_consumption,Mm3,0.02205081128223424,0.02263042478718906
Asia and Pacific,Transport,Scope 3,blue_water_consumption,Mm3,0.021617014518606238,0.022185225519617498
Africa,Electricity,Scope 3,blue_water_consumption,Mm3,0.0212200442271445,0.021777820721277437
Middle East,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.019562758405384684,0.020076972545662816
Europe,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.018425908067221032,0.01891023968750123
Middle East,Textile,Scope 3,blue_water_consumption,Mm3,0.014118279290162038,0.014489383338832339
Europe,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.013808089412266383,0.014171040008438843
America,Paper Products,Scope 3,blue_water_consumption,Mm3,0.01272952538925364,0.013064125542184118
Denmark,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0126061476295381,0.012937504753682612
Africa,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.011715847455056919,0.01202380271892572
Europe,Transport,Scope 3,blue_water_consumption,Mm3,0.011602325576101873,0.011907296876555087
Europe,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.009211967655592587,0.00945410753843174
America,Services,Scope 3,blue_water_consumption,Mm3,0.008759982653473383,0.008990241947978973
Middle East,Services,Scope 3,blue_water_consumption,Mm3,0.007395620897753683,0.007590017452828178
Africa,Paper Products,Scope 3,blue_water_consumption,Mm3,0.0073869458312238265,0.007581114359054664
Africa,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.007329500360912012,0.007522158913895891
Denmark,Metal Products,Scope 3,blue_water_consumption,Mm3,0.006728555769185007,0.006905418277450334
Asia and Pacific,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.006633948870765657,0.006808324602681402
Denmark,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.006412787138473101,0.0065813495547164536
Asia and Pacific,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.005684493331639633,0.005833912283245214
Europe,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.005516712225006101,0.005661720989882662
America,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.005242873993667749,0.005380684822149809
Africa,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0052354141138134,0.005373028856670601
Africa,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.004660818007186835,0.004783329284732374
Asia and Pacific,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00419535730559021,0.004305633781194991
Europe,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.004103506601077492,0.004211368747880772
Denmark,Textile,Scope 3,blue_water_consumption,Mm3,0.004052708035882512,0.004159234924130336
Europe,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.003999340163465383,0.004104464257993387
America,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.0036281187515888194,0.003723485157798779
America,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0034637434768602492,0.0035547892198576903
Middle East,Paper Products,Scope 3,blue_water_consumption,Mm3,0.003454945956991041,0.003545760454014761
Africa,Transport,Scope 3,blue_water_consumption,Mm3,0.00344168366359584,0.003532149556467987
America,Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.003317801675455374,0.003405011285716064
Europe,Construction,Scope 3,blue_water_consumption,Mm3,0.002514546969397051,0.0025806427408247437
Africa,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.002321773661517854,0.0023828023172185347
America,Transport,Scope 3,blue_water_consumption,Mm3,0.002300728609766824,0.002361204088713541
America,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.002191899972271701,0.002249514851342493
Middle East,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.002182734897853929,0.002240108869647503
Asia and Pacific,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0018454166081147898,0.0018939240473486933
America,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.001238797273820692,0.0012713595056867905
America,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.0010724027908684225,0.00110059128390765
Africa,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.0008219361523212499,0.0008435410396879032
Asia and Pacific,"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.0007671699068304001,0.000787335243738076
Denmark,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.0006659783079320065,0.0006834837872698733
Denmark,Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.000662847670353194,0.0006802708597563925
Africa,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.0005932092783636867,0.0006088019975885396
Africa,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0005668121591191755,0.0005817110205711696
America,Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.0005149134467446654,0.0005284481318769308
Middle East,Transport,Scope 3,blue_water_consumption,Mm3,0.0004651233220940686,0.00047734925589326525
America,Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.00042948202047414047,0.00044077110984214277
Asia and Pacific,Construction,Scope 3,blue_water_consumption,Mm3,0.00040308604133833134,0.0004136813029016421
Middle East,"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.0003895483752068217,0.00039978779434715026
Africa,Construction,Scope 3,blue_water_consumption,Mm3,0.0002375200829739,0.00024376338377710352
Middle East,Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.0001414094617609942,0.00014512646032018554
Denmark,Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.00013339233239743312,0.00013689859782800557
Middle East,General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.00012459050746941566,0.0001278654137662479
Denmark,Services,Scope 3,blue_water_consumption,Mm3,6.0609364912705795e-05,6.220250386711888e-05
Denmark,Minerals and Metals,Scope 3,blue_water_consumption,Mm3,5.573118243212652e-05,5.7196096605637524e-05
