producing_sector_group,scope,indicator,unit,value,share_of_scope_pct
Private travel,Outside protocol,blue_water_consumption,Mm3,0.0761,100.0
Electricity,Scope 2,blue_water_consumption,Mm3,0.07086200259359288,99.93257488480809
"Steam, hot water supply and water distribution",Scope 2,blue_water_consumption,Mm3,4.781102351370279e-05,0.06742511519191
Food and catering,Scope 3,blue_water_consumption,Mm3,83.12074358118514,85.29991198663467
Chemical,Scope 3,blue_water_consumption,Mm3,7.418876333475021,7.613376288760617
Electricity,Scope 3,blue_water_consumption,Mm3,3.692915115315131,3.789731909734705
Metal Products,Scope 3,blue_water_consumption,Mm3,1.0046095882425023,1.0309473395689386
Paper Products,Scope 3,blue_water_consumption,Mm3,0.4768952939308611,0.4893980112125787
Services,Scope 3,blue_water_consumption,Mm3,0.40265712734084946,0.4132135498693994
Textile,Scope 3,blue_water_consumption,Mm3,0.34210305389447737,0.35107193620153354
"Electrical, electronic and measuring equipment",Scope 3,blue_water_consumption,Mm3,0.32985345845010833,0.3385011943113818
General and special Machinery,Scope 3,blue_water_consumption,Mm3,0.15742557748099026,0.16155278844994836
Non-metallic mineral products,Scope 3,blue_water_consumption,Mm3,0.1279251685494133,0.1312789701824847
Private travel,Scope 3,blue_water_consumption,Mm3,0.1015,0.1041610155735324
Furniture and timber,Scope 3,blue_water_consumption,Mm3,0.08843373848443063,0.09075219715765981
Coal and Petroleum,Scope 3,blue_water_consumption,Mm3,0.06321281075990595,0.06487005483753025
Transport,Scope 3,blue_water_consumption,Mm3,0.03945194485522839,0.04048625263518804
Minerals and Metals,Scope 3,blue_water_consumption,Mm3,0.03475077063092716,0.03566182818601237
Waste management and disposal,Scope 3,blue_water_consumption,Mm3,0.016881021013414266,0.017323589090397745
Transport Equipment,Scope 3,blue_water_consumption,Mm3,0.011950357346205552,0.012263658696033436
Natural gas and gaseous fuels,Scope 3,blue_water_consumption,Mm3,0.006969026004987127,0.0071517322782050875
"Steam, hot water supply and water distribution",Scope 3,blue_water_consumption,Mm3,0.00491543728610898,0.005044304824720387
Construction,Scope 3,blue_water_consumption,Mm3,0.0032170506911210306,0.003301391794469959
Private travel,Outside protocol,climate_change,kt CO2eq,263.56770753446403,100.0
Operational impact,Scope 1,climate_change,kt CO2eq,130.1262816237094,100.0
Electricity,Scope 2,climate_change,kt CO2eq,63.24878686359306,86.23869457431034
"Steam, hot water supply and water distribution",Scope 2,climate_change,kt CO2eq,10.092753353127994,13.761305425689654
Transport,Scope 3,climate_change,kt CO2eq,1959.441482683899,34.875067017528345
Coal and Petroleum,Scope 3,climate_change,kt CO2eq,655.8017380649288,11.672269760206754
Food and catering,Scope 3,climate_change,kt CO2eq,621.467127197387,11.061166103573877
Chemical,Scope 3,climate_change,kt CO2eq,436.52193002705854,7.769423939857666
Electricity,Scope 3,climate_change,kt CO2eq,381.14882536753277,6.7838672120678485
Private travel,Scope 3,climate_change,kt CO2eq,363.7266,6.473778198103043
"Steam, hot water supply and water distribution",Scope 3,climate_change,kt CO2eq,298.4370619384354,5.311724094644084
Waste management and disposal,Scope 3,climate_change,kt CO2eq,231.65137742397982,4.123040868410229
Services,Scope 3,climate_change,kt CO2eq,195.10228674501005,3.47252285186152
Minerals and Metals,Scope 3,climate_change,kt CO2eq,118.231571212048,2.1043414697743406
Natural gas and gaseous fuels,Scope 3,climate_change,kt CO2eq,117.3034833766205,2.0878229231656644
Metal Products,Scope 3,climate_change,kt CO2eq,77.65327114270643,1.3821096772549408
Non-metallic mineral products,Scope 3,climate_change,kt CO2eq,69.45560692975766,1.2362037691988428
Paper Products,Scope 3,climate_change,kt CO2eq,22.21833110051919,0.3954523740545121
"Electrical, electronic and measuring equipment",Scope 3,climate_change,kt CO2eq,17.89811003662548,0.31855903456704915
