producing_world_region,scope,indicator,unit,value,share_of_scope_pct
Denmark,Scope 2,blue_water_consumption,Mm3,0.0404665849300418,57.067679162929686
Europe,Scope 2,blue_water_consumption,Mm3,0.028329606059482947,39.95160135726065
Asia and Pacific,Scope 2,blue_water_consumption,Mm3,0.0010522532492195204,1.483931765638812
Middle East,Scope 2,blue_water_consumption,Mm3,0.0006552062664768099,0.9239994199036299
America,Scope 2,blue_water_consumption,Mm3,0.0003744151589132156,0.5280159963964285
Africa,Scope 2,blue_water_consumption,Mm3,3.174795297228434e-05,0.04477229787080605
Asia and Pacific,Scope 3,blue_water_consumption,Mm3,39.30282844873745,41.26002095276461
Middle East,Scope 3,blue_water_consumption,Mm3,27.27931956226004,28.63776835257686
Europe,Scope 3,blue_water_consumption,Mm3,13.035107635431883,13.684226692767158
America,Scope 3,blue_water_consumption,Mm3,6.915354674781509,7.259723791875073
Denmark,Scope 3,blue_water_consumption,Mm3,4.396081541773351,4.6149965201666525
Africa,Scope 3,blue_water_consumption,Mm3,4.327751398962242,4.543263689849645
Denmark,Outside protocol,climate_change,kt CO2eq,263.56770753446403,100.0
Denmark,Scope 1,climate_change,kt CO2eq,131.0762816237094,100.0
Denmark,Scope 2,climate_change,kt CO2eq,62.7074282279024,85.50056085896846
Europe,Scope 2,climate_change,kt CO2eq,7.832286096827634,10.67919500147334
Asia and Pacific,Scope 2,climate_change,kt CO2eq,1.76403779853122,2.405236913921586
Middle East,Scope 2,climate_change,kt CO2eq,0.5471906830938111,0.7460856173416683
America,Scope 2,climate_change,kt CO2eq,0.33165626412467614,0.45220793447294183
Africa,Scope 2,climate_change,kt CO2eq,0.15894114624131225,0.21671367382202245
Europe,Scope 3,climate_change,kt CO2eq,1551.7002123482496,36.566097827108564
Denmark,Scope 3,climate_change,kt CO2eq,1037.0689409524252,24.43871828240201
Asia and Pacific,Scope 3,climate_change,kt CO2eq,836.8204482563781,19.719826117933234
Middle East,Scope 3,climate_change,kt CO2eq,322.0460070802295,7.5890727513044105
America,Scope 3,climate_change,kt CO2eq,301.90717345081606,7.114497472679827
Africa,Scope 3,climate_change,kt CO2eq,194.00603650606007,4.571787548571956
Asia and Pacific,Scope 2,land_use,km2,0.02767649693160258,40.91472486581434
Europe,Scope 2,land_use,km2,0.018829674933160987,27.836289076140424
Africa,Scope 2,land_use,km2,0.011759802668217507,17.384753996702003
America,Scope 2,land_use,km2,0.009332314900075769,13.79614975989775
Middle East,Scope 2,land_use,km2,4.605382568823541e-05,0.06808230144548201
Europe,Scope 3,land_use,km2,1631.989789046889,33.6234616959629
Asia and Pacific,Scope 3,land_use,km2,1085.745201091302,22.369326343511858
Africa,Scope 3,land_use,km2,943.1343405670518,19.43115182891159
America,Scope 3,land_use,km2,535.762330297156,11.038172120799146
Denmark,Scope 3,land_use,km2,375.99855102724763,7.746600476946355
Middle East,Scope 3,land_use,km2,281.09307144428146,5.79128753386815
Europe,Scope 2,material_extraction,kt,0.23095469566148805,88.21390174511767
Asia and Pacific,Scope 2,material_extraction,kt,0.022625144695962066,8.641748051332124
America,Scope 2,material_extraction,kt,0.007060903448727173,2.6969351771514796
Middle East,Scope 2,material_extraction,kt,0.0010948613147830325,0.4181858618209767
Africa,Scope 2,material_extraction,kt,7.652549854331251e-05,0.02922916457775917
Denmark,Scope 3,material_extraction,kt,1946.6958760528382,45.983269425804075
Europe,Scope 3,material_extraction,kt,952.090165931922,22.48950088006339
Asia and Pacific,Scope 3,material_extraction,kt,759.7279463675487,17.945676711950664
Middle East,Scope 3,material_extraction,kt,321.21349550736034,7.5874443917085435
America,Scope 3,material_extraction,kt,158.87019673057506,3.7527027975243135
Africa,Scope 3,material_extraction,kt,94.88962981928023,2.2414057929490077
Denmark,Scope 1,waste_generation,kt,42.75704592555413,100.0
Denmark,Scope 2,waste_generation,kt,0.23252174179637164,49.59433314477567
Europe,Scope 2,waste_generation,kt,0.20785747279724118,44.33371551794553
Asia and Pacific,Scope 2,waste_generation,kt,0.014756386263019877,3.1473750828087885
America,Scope 2,waste_generation,kt,0.009913191636347215,2.114374874120607
Middle East,Scope 2,waste_generation,kt,0.0022559584869868182,0.4811711623181819
Africa,Scope 2,waste_generation,kt,0.0015426496244424284,0.3290302180312271
Denmark,Scope 3,waste_generation,kt,85.9188183441458,40.20302855117184
Europe,Scope 3,waste_generation,kt,72.15257926732548,33.761546774375795
Asia and Pacific,Scope 3,waste_generation,kt,28.78660920217393,13.469795022213308
Africa,Scope 3,waste_generation,kt,14.430544543378689,6.75232277942449
America,Scope 3,waste_generation,kt,9.600331678689441,4.492175474680154
Middle East,Scope 3,waste_generation,kt,2.8234203415938683,1.3211313981344088
